name,injury,week,team,year
['Geno Atkins'],NA,week_1,Cincinnati Bengals,2011
['Cedric Benson'],Probable: personal/legal,week_1,Cincinnati Bengals,2011
['Andre Caldwell'],NA,week_1,Cincinnati Bengals,2011
['Nate Clements'],NA,week_1,Cincinnati Bengals,2011
['Kyle Cook'],NA,week_1,Cincinnati Bengals,2011
['Chris Crocker'],NA,week_1,Cincinnati Bengals,2011
['Andy Dalton'],NA,week_1,Cincinnati Bengals,2011
['Carlos Dunlap'],Probable: knee,week_1,Cincinnati Bengals,2011
['Jonathan Fanene'],NA,week_1,Cincinnati Bengals,2011
['Robert Geathers'],NA,week_1,Cincinnati Bengals,2011
['Brandon Ghee'],NA,week_1,Cincinnati Bengals,2011
['A.J. Green'],NA,week_1,Cincinnati Bengals,2011
['Jermaine Gresham'],NA,week_1,Cincinnati Bengals,2011
['Leon Hall'],NA,week_1,Cincinnati Bengals,2011
['Andrew Hawkins'],NA,week_1,Cincinnati Bengals,2011
['Thomas Howard'],NA,week_1,Cincinnati Bengals,2011
['Otis Hudson'],Out: knee,week_1,Cincinnati Bengals,2011
['Kelly Jennings'],Questionable: hamstring,week_1,Cincinnati Bengals,2011
['Brandon Johnson'],NA,week_1,Cincinnati Bengals,2011
['Michael Johnson'],NA,week_1,Cincinnati Bengals,2011
['Adam Jones'],Physically Unable to Perform: neck,week_1,Cincinnati Bengals,2011
['Manny Lawson'],NA,week_1,Cincinnati Bengals,2011
['Donald Lee'],NA,week_1,Cincinnati Bengals,2011
['Brian Leonard'],Probable: finger,week_1,Cincinnati Bengals,2011
['Rey Maualuga'],NA,week_1,Cincinnati Bengals,2011
['Taylor Mays'],Questionable: knee,week_1,Cincinnati Bengals,2011
['Jeromy Miles'],NA,week_1,Cincinnati Bengals,2011
['Dontay Moch'],Out: foot,week_1,Cincinnati Bengals,2011
['Roddrick Muckelroy'],Injured Reserve: Achilles,week_1,Cincinnati Bengals,2011
['Reggie Nelson'],NA,week_1,Cincinnati Bengals,2011
['Domata Peko'],NA,week_1,Cincinnati Bengals,2011
['Chris Pressley'],NA,week_1,Cincinnati Bengals,2011
['Keith Rivers'],Out: wrist,week_1,Cincinnati Bengals,2011
['Frostee Rucker'],NA,week_1,Cincinnati Bengals,2011
['Bo Scaife'],Injured Reserve: shoulder,week_1,Cincinnati Bengals,2011
['Bernard Scott'],Probable: hamstring,week_1,Cincinnati Bengals,2011
['Jordan Shipley'],NA,week_1,Cincinnati Bengals,2011
['Jerome Simpson'],NA,week_1,Cincinnati Bengals,2011
['Pat Sims'],NA,week_1,Cincinnati Bengals,2011
['Dan Skuta'],NA,week_1,Cincinnati Bengals,2011
['Andre Smith'],NA,week_1,Cincinnati Bengals,2011
['Morgan Trent'],NA,week_1,Cincinnati Bengals,2011
['Ryan Whalen'],NA,week_1,Cincinnati Bengals,2011
['Andrew Whitworth'],NA,week_1,Cincinnati Bengals,2011
['Bobbie Williams'],NA,week_1,Cincinnati Bengals,2011
