"","name","injury","week","team","year"
"1","['Mike Tolbert']","Probable: concussion","week_7","Los Angeles Chargers",2011
"2","['Kris Dielman']","Out: concussion/seizure","week_8","Los Angeles Chargers",2011
"3","['Curtis Brinkley']","Questionable: concussion","week_9","Los Angeles Chargers",2011
"4","['Kris Dielman']","Out: concussion/seizure","week_9","Los Angeles Chargers",2011
"5","['Kris Dielman']","Out: concussion/seizure","week_10","Los Angeles Chargers",2011
"6","['Kris Dielman']","Injured Reserve: concussion","week_11","Los Angeles Chargers",2011
"7","['Takeo Spikes']","Probable: concussion","week_11","Los Angeles Chargers",2011
"8","['Kris Dielman']","Injured Reserve: concussion","week_12","Los Angeles Chargers",2011
"9","['Scott Mruczkowski']","Injured Reserve: concussion","week_12","Los Angeles Chargers",2011
"10","['Kris Dielman']","Injured Reserve: concussion","week_13","Los Angeles Chargers",2011
"11","['Scott Mruczkowski']","Injured Reserve: concussion","week_13","Los Angeles Chargers",2011
"12","['Kris Dielman']","Injured Reserve: concussion","week_14","Los Angeles Chargers",2011
"13","['Scott Mruczkowski']","Injured Reserve: concussion","week_14","Los Angeles Chargers",2011
"14","['Kris Dielman']","Injured Reserve: concussion","week_15","Los Angeles Chargers",2011
"15","['Scott Mruczkowski']","Injured Reserve: concussion","week_15","Los Angeles Chargers",2011
"16","['Kris Dielman']","Injured Reserve: concussion","week_16","Los Angeles Chargers",2011
"17","['Scott Mruczkowski']","Injured Reserve: concussion","week_16","Los Angeles Chargers",2011
"18","['Kris Dielman']","Injured Reserve: concussion","week_17","Los Angeles Chargers",2011
"19","['Scott Mruczkowski']","Injured Reserve: concussion","week_17","Los Angeles Chargers",2011
