name,injury,week,team,year
['Joseph Addai'],NA,week_1,Indianapolis Colts,2011
['Jamaal Anderson'],NA,week_1,Indianapolis Colts,2011
['Pat Angerer'],NA,week_1,Indianapolis Colts,2011
['Antoine Bethea'],Probable: hamstring,week_1,Indianapolis Colts,2011
['Gary Brackett'],Questionable: elbow,week_1,Indianapolis Colts,2011
['Tyler Brayton'],NA,week_1,Indianapolis Colts,2011
['Stevie Brown'],NA,week_1,Indianapolis Colts,2011
['Melvin Bullitt'],NA,week_1,Indianapolis Colts,2011
['Delone Carter'],NA,week_1,Indianapolis Colts,2011
['Anthony Castonzo'],NA,week_1,Indianapolis Colts,2011
['Dallas Clark'],NA,week_1,Indianapolis Colts,2011
['Austin Collie'],Probable: foot,week_1,Indianapolis Colts,2011
['Kerry Collins'],NA,week_1,Indianapolis Colts,2011
['Kavell Conner'],NA,week_1,Indianapolis Colts,2011
['Ryan Diem'],NA,week_1,Indianapolis Colts,2011
['A.J. Edds'],NA,week_1,Indianapolis Colts,2011
['Brody Eldridge'],NA,week_1,Indianapolis Colts,2011
['Eric Foster'],NA,week_1,Indianapolis Colts,2011
['Dwight Freeney'],NA,week_1,Indianapolis Colts,2011
['Anthony Gonzalez'],Questionable: hamstring,week_1,Indianapolis Colts,2011
['Chris Gronkowski'],NA,week_1,Indianapolis Colts,2011
['Ben Ijalana'],NA,week_1,Indianapolis Colts,2011
['Terrence Johnson'],NA,week_1,Indianapolis Colts,2011
['Ryan Mahaffey'],NA,week_1,Indianapolis Colts,2011
['Peyton Manning'],Out: neck,week_1,Indianapolis Colts,2011
['Robert Mathis'],NA,week_1,Indianapolis Colts,2011
['Pat McAfee'],NA,week_1,Indianapolis Colts,2011
['Fili Moala'],NA,week_1,Indianapolis Colts,2011
['Adrian Moten'],NA,week_1,Indianapolis Colts,2011
['Drake Nevis'],Questionable: foot,week_1,Indianapolis Colts,2011
['Quinn Ojinnaka'],NA,week_1,Indianapolis Colts,2011
['Seth Olsen'],NA,week_1,Indianapolis Colts,2011
['Mike Pollak'],NA,week_1,Indianapolis Colts,2011
['Jerraud Powers'],NA,week_1,Indianapolis Colts,2011
['Joe Reitz'],NA,week_1,Indianapolis Colts,2011
['Jeff Saturday'],NA,week_1,Indianapolis Colts,2011
['Ernie Sims'],NA,week_1,Indianapolis Colts,2011
['Chad Spann'],Injured Reserve: hamstring,week_1,Indianapolis Colts,2011
['Jacob Tamme'],NA,week_1,Indianapolis Colts,2011
['Philip Wheeler'],NA,week_1,Indianapolis Colts,2011
['Blair White'],Questionable: back,week_1,Indianapolis Colts,2011
