"","name","injury","week","team","year"
"1","['Michael Vick']","Probable: concussion","week_3","Philadelphia Eagles",2011
"2","['Riley Cooper']","Probable: concussion","week_4","Philadelphia Eagles",2011
"3","['Akeem Jordan']","Probable: concussion","week_9","Philadelphia Eagles",2011
"4","['Nate Allen']","Questionable: concussion","week_10","Philadelphia Eagles",2011
"5","['Nate Allen']","Probable: concussion","week_11","Philadelphia Eagles",2011
"6","['King Dunlap']","Doubtful: concussion","week_11","Philadelphia Eagles",2011
"7","['King Dunlap']","Questionable: concussion","week_12","Philadelphia Eagles",2011
"8","['King Dunlap']","Doubtful: concussion","week_13","Philadelphia Eagles",2011
"9","['Nnamdi Asomugha']","Questionable: concussion/stinger","week_14","Philadelphia Eagles",2011
"10","['King Dunlap']","Questionable: concussion","week_14","Philadelphia Eagles",2011
