"","name","injury","week","team","year"
"1","['Mike Wright']","Out: concussion","week_2","New England Patriots",2011
"2","['Kyle Arrington']","Questionable: concussion","week_3","New England Patriots",2011
"3","['Mike Wright']","Questionable: concussion","week_3","New England Patriots",2011
"4","['Mike Wright']","Doubtful: concussion","week_4","New England Patriots",2011
"5","['Mike Wright']","Questionable: concussion","week_5","New England Patriots",2011
"6","['Mike Wright']","Injured Reserve: concussion","week_6","New England Patriots",2011
"7","['Mike Wright']","Injured Reserve: concussion","week_8","New England Patriots",2011
"8","['Mike Wright']","Injured Reserve: concussion","week_9","New England Patriots",2011
"9","['Nate Solder']","Questionable: concussion","week_10","New England Patriots",2011
"10","['Mike Wright']","Injured Reserve: concussion","week_10","New England Patriots",2011
"11","['Nate Solder']","Questionable: concussion","week_11","New England Patriots",2011
"12","['Mike Wright']","Injured Reserve: concussion","week_11","New England Patriots",2011
"13","['Mike Wright']","Injured Reserve: concussion","week_12","New England Patriots",2011
"14","['Antwaun Molden']","Questionable: concussion","week_13","New England Patriots",2011
"15","['Mike Wright']","Injured Reserve: concussion","week_13","New England Patriots",2011
"16","['Mike Wright']","Injured Reserve: concussion","week_14","New England Patriots",2011
"17","['Mike Wright']","Injured Reserve: concussion","week_15","New England Patriots",2011
"18","['Mike Wright']","Injured Reserve: concussion","week_16","New England Patriots",2011
"19","['Mike Wright']","Injured Reserve: concussion","week_17","New England Patriots",2011
"20","['Mike Wright']","Injured Reserve: concussion","week_19","New England Patriots",2011
"21","['Aaron Hernandez']","Questionable: concussion","week_20","New England Patriots",2011
"22","['Nate Solder']","Questionable: concussion","week_20","New England Patriots",2011
"23","['Mike Wright']","Injured Reserve: concussion","week_20","New England Patriots",2011
"24","['Mike Wright']","Injured Reserve: concussion","week_21","New England Patriots",2011
