"","name","injury","week","team","year"
"1","['Darryl Blackstock']","Probable: concussion","week_1","Oakland Raiders",2011
"2","['Joe Porter']","Probable: concussion","week_2","Oakland Raiders",2011
"3","['Ricky Brown']","Questionable: concussion","week_4","Oakland Raiders",2011
"4","['Michael Huff']","Questionable: concussion","week_4","Oakland Raiders",2011
"5","['Ricky Brown']","Questionable: concussion","week_5","Oakland Raiders",2011
"6","['Ricky Brown']","Injured Reserve: concussion","week_6","Oakland Raiders",2011
"7","['Matt Giordano']","Probable: concussion/groin","week_6","Oakland Raiders",2011
"8","['Ricky Brown']","Injured Reserve: concussion","week_7","Oakland Raiders",2011
"9","['Ricky Brown']","Injured Reserve: concussion","week_9","Oakland Raiders",2011
"10","['Ricky Brown']","Injured Reserve: concussion","week_10","Oakland Raiders",2011
"11","['Ricky Brown']","Injured Reserve: concussion","week_11","Oakland Raiders",2011
"12","['Ricky Brown']","Injured Reserve: concussion","week_12","Oakland Raiders",2011
"13","['Samson Satele']","Questionable: concussion","week_12","Oakland Raiders",2011
"14","['Ricky Brown']","Injured Reserve: concussion","week_13","Oakland Raiders",2011
"15","['Ricky Brown']","Injured Reserve: concussion","week_14","Oakland Raiders",2011
"16","['Ricky Brown']","Injured Reserve: concussion","week_15","Oakland Raiders",2011
"17","['Ricky Brown']","Injured Reserve: concussion","week_16","Oakland Raiders",2011
"18","['Bryan McCann']","Probable: concussion","week_16","Oakland Raiders",2011
"19","['Ricky Brown']","Injured Reserve: concussion","week_17","Oakland Raiders",2011
"20","['DeMarcus Van Dyke']","Probable: concussion","week_17","Oakland Raiders",2011
