name,injury,week,team,year
['C.J. Ah You'],NA,week_1,Los Angeles Rams,2011
['Danario Alexander'],NA,week_1,Los Angeles Rams,2011
['Danny Amendola'],NA,week_1,Los Angeles Rams,2011
['Tim Atchison'],NA,week_1,Los Angeles Rams,2011
['Justin Bannan'],NA,week_1,Los Angeles Rams,2011
['Ron Bartell'],NA,week_1,Los Angeles Rams,2011
['Jacob Bell'],NA,week_1,Los Angeles Rams,2011
['Sam Bradford'],NA,week_1,Los Angeles Rams,2011
['Chris Chamberlain'],NA,week_1,Los Angeles Rams,2011
['Mark Clayton'],Physically Unable to Perform: knee,week_1,Los Angeles Rams,2011
['Jermelle Cudjo'],Injured Reserve: back,week_1,Los Angeles Rams,2011
['Dominique Curry'],NA,week_1,Los Angeles Rams,2011
['Craig Dahl'],NA,week_1,Los Angeles Rams,2011
['A.J. Feeley'],NA,week_1,Los Angeles Rams,2011
['Bradley Fletcher'],NA,week_1,Los Angeles Rams,2011
['Brandon Gibson'],NA,week_1,Los Angeles Rams,2011
['Gary Gibson'],NA,week_1,Los Angeles Rams,2011
['Josh Gordy'],NA,week_1,Los Angeles Rams,2011
['James Hall'],Probable: back,week_1,Los Angeles Rams,2011
['Al Harris'],NA,week_1,Los Angeles Rams,2011
['Michael Hoomanawanui'],Doubtful: calf,week_1,Los Angeles Rams,2011
['Josh Hull'],NA,week_1,Los Angeles Rams,2011
['Brian Jackson'],NA,week_1,Los Angeles Rams,2011
['Steven Jackson'],NA,week_1,Los Angeles Rams,2011
['Marquis Johnson'],NA,week_1,Los Angeles Rams,2011
['Donnie Jones'],NA,week_1,Los Angeles Rams,2011
['Bryan Kehl'],NA,week_1,Los Angeles Rams,2011
['Lance Kendricks'],NA,week_1,Los Angeles Rams,2011
['Justin King'],NA,week_1,Los Angeles Rams,2011
['James Laurinaitis'],NA,week_1,Los Angeles Rams,2011
['Mark LeVoir'],NA,week_1,Los Angeles Rams,2011
['Ben Leber'],NA,week_1,Los Angeles Rams,2011
['Brandon Lloyd'],NA,week_1,Los Angeles Rams,2011
['Chris Long'],NA,week_1,Los Angeles Rams,2011
['Jake McQuaide'],NA,week_1,Los Angeles Rams,2011
['Brit Miller'],NA,week_1,Los Angeles Rams,2011
['Jerome Murphy'],Injured Reserve: ankle,week_1,Los Angeles Rams,2011
['Jerious Norwood'],NA,week_1,Los Angeles Rams,2011
['Austin Pettis'],NA,week_1,Los Angeles Rams,2011
['Brady Poppinga'],NA,week_1,Los Angeles Rams,2011
['Quinn Porter'],NA,week_1,Los Angeles Rams,2011
['Fred Robbins'],NA,week_1,Los Angeles Rams,2011
['Rodger Saffold'],NA,week_1,Los Angeles Rams,2011
['Greg Salas'],NA,week_1,Los Angeles Rams,2011
['Darell Scott'],NA,week_1,Los Angeles Rams,2011
['Eugene Sims'],Probable: oblique,week_1,Los Angeles Rams,2011
['Jason Smith'],NA,week_1,Los Angeles Rams,2011
['Stephen Spach'],NA,week_1,Los Angeles Rams,2011
['Darian Stewart'],NA,week_1,Los Angeles Rams,2011
['Cadillac Williams'],NA,week_1,Los Angeles Rams,2011
['Tony Wragge'],NA,week_1,Los Angeles Rams,2011
['C.J. Ah You'],Out: wrist,week_2,Los Angeles Rams,2011
['Danario Alexander'],NA,week_2,Los Angeles Rams,2011
['Danny Amendola'],Out: elbow,week_2,Los Angeles Rams,2011
['Tim Atchison'],NA,week_2,Los Angeles Rams,2011
['Justin Bannan'],NA,week_2,Los Angeles Rams,2011
['Ron Bartell'],Out: neck,week_2,Los Angeles Rams,2011
['Jacob Bell'],NA,week_2,Los Angeles Rams,2011
['Sam Bradford'],Probable: right hand/finger,week_2,Los Angeles Rams,2011
['Chris Chamberlain'],NA,week_2,Los Angeles Rams,2011
['Mark Clayton'],Physically Unable to Perform: knee,week_2,Los Angeles Rams,2011
['Jermelle Cudjo'],Injured Reserve: back,week_2,Los Angeles Rams,2011
['Dominique Curry'],NA,week_2,Los Angeles Rams,2011
