"","name","injury","week","team","year"
"1","['Matt Lawrence']","Injured Reserve: concussion","week_1","Baltimore Ravens",2011
"2","['Jason Phillips']","Questionable: concussion","week_1","Baltimore Ravens",2011
"3","['Matt Lawrence']","Injured Reserve: concussion","week_2","Baltimore Ravens",2011
"4","['Jason Phillips']","Questionable: concussion","week_2","Baltimore Ravens",2011
"5","['Matt Lawrence']","Injured Reserve: concussion","week_3","Baltimore Ravens",2011
"6","['Matt Lawrence']","Injured Reserve: concussion","week_4","Baltimore Ravens",2011
"7","['Matt Lawrence']","Injured Reserve: concussion","week_6","Baltimore Ravens",2011
"8","['Matt Lawrence']","Injured Reserve: concussion","week_7","Baltimore Ravens",2011
"9","['Tom Zbikowski']","Doubtful: concussion","week_7","Baltimore Ravens",2011
"10","['Matt Lawrence']","Injured Reserve: concussion","week_8","Baltimore Ravens",2011
"11","['Tom Zbikowski']","Probable: concussion","week_8","Baltimore Ravens",2011
"12","['Matt Lawrence']","Injured Reserve: concussion","week_9","Baltimore Ravens",2011
"13","['Brendon Ayanbadejo']","Probable: concussion","week_10","Baltimore Ravens",2011
"14","['Matt Lawrence']","Injured Reserve: concussion","week_10","Baltimore Ravens",2011
"15","['Matt Lawrence']","Injured Reserve: concussion","week_11","Baltimore Ravens",2011
"16","['Matt Lawrence']","Injured Reserve: concussion","week_12","Baltimore Ravens",2011
"17","['Matt Lawrence']","Injured Reserve: concussion","week_13","Baltimore Ravens",2011
"18","['Matt Lawrence']","Injured Reserve: concussion","week_14","Baltimore Ravens",2011
"19","['Matt Lawrence']","Injured Reserve: concussion","week_15","Baltimore Ravens",2011
"20","['Matt Lawrence']","Injured Reserve: concussion","week_16","Baltimore Ravens",2011
"21","['Dannell Ellerbe']","Questionable: concussion","week_17","Baltimore Ravens",2011
"22","['Matt Lawrence']","Injured Reserve: concussion","week_17","Baltimore Ravens",2011
"23","['Cary Williams']","Questionable: concussion","week_17","Baltimore Ravens",2011
"24","['Dannell Ellerbe']","Probable: concussion","week_19","Baltimore Ravens",2011
"25","['Matt Lawrence']","Injured Reserve: concussion","week_19","Baltimore Ravens",2011
"26","['Jimmy Smith']","Probable: concussion","week_19","Baltimore Ravens",2011
"27","['Tom Zbikowski']","Probable: concussion","week_19","Baltimore Ravens",2011
"28","['Matt Lawrence']","Injured Reserve: concussion","week_20","Baltimore Ravens",2011
