name,injury,week,team,year
['Mister Alexander'],NA,week_1,Houston Texans,2011
['Jason Allen'],NA,week_1,Houston Texans,2011
['Thomas Austin'],NA,week_1,Houston Texans,2011
['Dominique Barber'],NA,week_1,Houston Texans,2011
['Connor Barwin'],NA,week_1,Houston Texans,2011
['Bryan Braman'],NA,week_1,Houston Texans,2011
['Mike Brisiel'],NA,week_1,Houston Texans,2011
['Duane Brown'],NA,week_1,Houston Texans,2011
['Tim Bulman'],NA,week_1,Houston Texans,2011
['Rashad Butler'],NA,week_1,Houston Texans,2011
['Antoine Caldwell'],Probable: ankle,week_1,Houston Texans,2011
['Roc Carmichael'],Questionable: shoulder,week_1,Houston Texans,2011
['James Casey'],NA,week_1,Houston Texans,2011
['Shaun Cody'],NA,week_1,Houston Texans,2011
['Brian Cushing'],NA,week_1,Houston Texans,2011
['Owen Daniels'],NA,week_1,Houston Texans,2011
['Devard Darling'],Injured Reserve: knee,week_1,Houston Texans,2011
['Jake Delhomme'],NA,week_1,Houston Texans,2011
['Tim Dobbins'],NA,week_1,Houston Texans,2011
['Joel Dreessen'],NA,week_1,Houston Texans,2011
['Arian Foster'],Questionable: hamstring,week_1,Houston Texans,2011
['Garrett Graham'],NA,week_1,Houston Texans,2011
['Brandon Harris'],NA,week_1,Houston Texans,2011
['Brett Hartmann'],NA,week_1,Houston Texans,2011
['Kareem Jackson'],NA,week_1,Houston Texans,2011
['Tim Jamison'],NA,week_1,Houston Texans,2011
['Lestar Jean'],Injured Reserve: shoulder,week_1,Houston Texans,2011
['Andre Johnson'],NA,week_1,Houston Texans,2011
['Bryant Johnson'],NA,week_1,Houston Texans,2011
['Jacoby Jones'],NA,week_1,Houston Texans,2011
['Johnathan Joseph'],NA,week_1,Houston Texans,2011
['Matt Leinart'],NA,week_1,Houston Texans,2011
['Jeff Maehl'],NA,week_1,Houston Texans,2011
['Danieal Manning'],NA,week_1,Houston Texans,2011
['Brice McCain'],NA,week_1,Houston Texans,2011
['Sherrick McManis'],NA,week_1,Houston Texans,2011
['Earl Mitchell'],Probable: knee,week_1,Houston Texans,2011
['Chris Myers'],NA,week_1,Houston Texans,2011
['Jesse Nading'],NA,week_1,Houston Texans,2011
['Derek Newton'],NA,week_1,Houston Texans,2011
['Troy Nolan'],NA,week_1,Houston Texans,2011
['Glover Quin'],Probable: ankle,week_1,Houston Texans,2011
['Neil Rackers'],NA,week_1,Houston Texans,2011
['Brooks Reed'],Probable: wrist,week_1,Houston Texans,2011
['DeMeco Ryans'],Probable: elbow/ankle,week_1,Houston Texans,2011
['Matt Schaub'],NA,week_1,Houston Texans,2011
['Darryl Sharpton'],NA,week_1,Houston Texans,2011
['Antonio Smith'],NA,week_1,Houston Texans,2011
['Wade Smith'],NA,week_1,Houston Texans,2011
['Ben Tate'],NA,week_1,Houston Texans,2011
['Lawrence Vickers'],NA,week_1,Houston Texans,2011
['Kevin Walter'],NA,week_1,Houston Texans,2011
['Derrick Ward'],NA,week_1,Houston Texans,2011
['J.J. Watt'],NA,week_1,Houston Texans,2011
['Jon Weeks'],Probable: ankle,week_1,Houston Texans,2011
['Mario Williams'],Probable: groin/Achilles,week_1,Houston Texans,2011
['Eric Winston'],NA,week_1,Houston Texans,2011
['T.J. Yates'],NA,week_1,Houston Texans,2011
['Mister Alexander'],NA,week_2,Houston Texans,2011
['Jason Allen'],Probable: knee,week_2,Houston Texans,2011
['Thomas Austin'],Probable: knee,week_2,Houston Texans,2011
['Dominique Barber'],NA,week_2,Houston Texans,2011
['Connor Barwin'],NA,week_2,Houston Texans,2011
['Bryan Braman'],NA,week_2,Houston Texans,2011
['Mike Brisiel'],NA,week_2,Houston Texans,2011
['Duane Brown'],NA,week_2,Houston Texans,2011
['Tim Bulman'],NA,week_2,Houston Texans,2011
['Rashad Butler'],NA,week_2,Houston Texans,2011
['Antoine Caldwell'],Probable: ankle,week_2,Houston Texans,2011
['Roc Carmichael'],Questionable: shoulder,week_2,Houston Texans,2011
['James Casey'],NA,week_2,Houston Texans,2011
['Shaun Cody'],Questionable: neck,week_2,Houston Texans,2011
['Brian Cushing'],NA,week_2,Houston Texans,2011
['Owen Daniels'],NA,week_2,Houston Texans,2011
['Devard Darling'],Injured Reserve: knee,week_2,Houston Texans,2011
['Jake Delhomme'],NA,week_2,Houston Texans,2011
['Tim Dobbins'],NA,week_2,Houston Texans,2011
['Joel Dreessen'],NA,week_2,Houston Texans,2011
['Arian Foster'],Probable: hamstring,week_2,Houston Texans,2011
['Garrett Graham'],NA,week_2,Houston Texans,2011
['Brandon Harris'],Probable: ankle,week_2,Houston Texans,2011
['Brett Hartmann'],NA,week_2,Houston Texans,2011
['Kareem Jackson'],NA,week_2,Houston Texans,2011
['Tim Jamison'],NA,week_2,Houston Texans,2011
['Lestar Jean'],Injured Reserve: shoulder,week_2,Houston Texans,2011
['Andre Johnson'],NA,week_2,Houston Texans,2011
['Bryant Johnson'],NA,week_2,Houston Texans,2011
['Jacoby Jones'],NA,week_2,Houston Texans,2011
['Johnathan Joseph'],NA,week_2,Houston Texans,2011
['Matt Leinart'],NA,week_2,Houston Texans,2011
['Jeff Maehl'],NA,week_2,Houston Texans,2011
['Danieal Manning'],NA,week_2,Houston Texans,2011
['Brice McCain'],NA,week_2,Houston Texans,2011
['Sherrick McManis'],Questionable: hamstring,week_2,Houston Texans,2011
['Earl Mitchell'],Questionable: knee,week_2,Houston Texans,2011
['Chris Myers'],NA,week_2,Houston Texans,2011
['Jesse Nading'],NA,week_2,Houston Texans,2011
['Derek Newton'],NA,week_2,Houston Texans,2011
['Troy Nolan'],NA,week_2,Houston Texans,2011
['Glover Quin'],NA,week_2,Houston Texans,2011
['Neil Rackers'],NA,week_2,Houston Texans,2011
['Brooks Reed'],Probable: wrist,week_2,Houston Texans,2011
['DeMeco Ryans'],"Probable: elbow, achilles",week_2,Houston Texans,2011
['Matt Schaub'],NA,week_2,Houston Texans,2011
['Darryl Sharpton'],NA,week_2,Houston Texans,2011
['Antonio Smith'],Questionable: groin,week_2,Houston Texans,2011
['Wade Smith'],NA,week_2,Houston Texans,2011
['Ben Tate'],Probable: quadricep,week_2,Houston Texans,2011
['Lawrence Vickers'],NA,week_2,Houston Texans,2011
['Kevin Walter'],Doubtful: shoulder,week_2,Houston Texans,2011
['Derrick Ward'],Questionable: ankle,week_2,Houston Texans,2011
['J.J. Watt'],NA,week_2,Houston Texans,2011
['Jon Weeks'],NA,week_2,Houston Texans,2011
['Mario Williams'],Probable: elbow,week_2,Houston Texans,2011
['Eric Winston'],NA,week_2,Houston Texans,2011
['T.J. Yates'],NA,week_2,Houston Texans,2011
