name,injury,week,team,year
['Mike Adams'],NA,week_1,Denver Broncos,2012
['Robert Ayers'],NA,week_1,Denver Broncos,2012
['Lance Ball'],NA,week_1,Denver Broncos,2012
['Jeremy Beal'],Injured Reserve: knee,week_1,Denver Broncos,2012
['Philip Blake'],NA,week_1,Denver Broncos,2012
['Omar Bolden'],NA,week_1,Denver Broncos,2012
['Keith Brooking'],NA,week_1,Denver Broncos,2012
['Quinton Carter'],NA,week_1,Denver Broncos,2012
['Tony Carter'],NA,week_1,Denver Broncos,2012
['Ryan Clady'],NA,week_1,Denver Broncos,2012
['Chris Clark'],NA,week_1,Denver Broncos,2012
['Eric Decker'],NA,week_1,Denver Broncos,2012
['Joel Dreessen'],NA,week_1,Denver Broncos,2012
['Elvis Dumervil'],NA,week_1,Denver Broncos,2012
['Mario Fannin'],Injured Reserve: Achilles,week_1,Denver Broncos,2012
['Orlando Franklin'],NA,week_1,Denver Broncos,2012
"[""D'Andre Goodwin""]",Injured Reserve: ankle,week_1,Denver Broncos,2012
['Virgil Green'],NA,week_1,Denver Broncos,2012
['Tyler Grisham'],Injured Reserve: knee,week_1,Denver Broncos,2012
['Chris Gronkowski'],NA,week_1,Denver Broncos,2012
['Chris Harris'],NA,week_1,Denver Broncos,2012
['Ronnie Hillman'],NA,week_1,Denver Broncos,2012
['Trindon Holliday'],NA,week_1,Denver Broncos,2012
['Jason Hunter'],Injured Reserve: triceps,week_1,Denver Broncos,2012
['Nate Irving'],NA,week_1,Denver Broncos,2012
['Malik Jackson'],NA,week_1,Denver Broncos,2012
['Dan Koppen'],NA,week_1,Denver Broncos,2012
['Chris Kuper'],Out: forearm,week_1,Denver Broncos,2012
['Jim Leonhard'],NA,week_1,Denver Broncos,2012
['Peyton Manning'],NA,week_1,Denver Broncos,2012
['Joe Mays'],NA,week_1,Denver Broncos,2012
['Willis McGahee'],NA,week_1,Denver Broncos,2012
['Von Miller'],NA,week_1,Denver Broncos,2012
['Knowshon Moreno'],NA,week_1,Denver Broncos,2012
['Tracy Porter'],NA,week_1,Denver Broncos,2012
['Manuel Ramirez'],NA,week_1,Denver Broncos,2012
['Brandon Stokley'],NA,week_1,Denver Broncos,2012
['Jacob Tamme'],NA,week_1,Denver Broncos,2012
['Demaryius Thomas'],NA,week_1,Denver Broncos,2012
['Danny Trevathan'],NA,week_1,Denver Broncos,2012
['Kevin Vickerson'],NA,week_1,Denver Broncos,2012
['J.D. Walton'],NA,week_1,Denver Broncos,2012
['Ty Warren'],Questionable: elbow,week_1,Denver Broncos,2012
['D.J. Williams'],NA,week_1,Denver Broncos,2012
['Matt Willis'],NA,week_1,Denver Broncos,2012
['Derek Wolfe'],NA,week_1,Denver Broncos,2012
['Wesley Woodyard'],NA,week_1,Denver Broncos,2012
['Mike Adams'],NA,week_2,Denver Broncos,2012
