"","name","injury","week","team","year"
"1","['Austin Collie']","Probable: concussion","week_1","Indianapolis Colts",2012
"2","['Korey Lindsey']","Injured Reserve: concussion","week_1","Indianapolis Colts",2012
"3","['Jabin Sambrano']","Injured Reserve: concussion","week_1","Indianapolis Colts",2012
"4","['Austin Collie']","Probable: concussion","week_2","Indianapolis Colts",2012
"5","['Winston Justice']","Questionable: concussion","week_2","Indianapolis Colts",2012
"6","['Korey Lindsey']","Injured Reserve: concussion","week_2","Indianapolis Colts",2012
"7","['Jabin Sambrano']","Injured Reserve: concussion","week_2","Indianapolis Colts",2012
"8","['Austin Collie']","Probable: concussion","week_3","Indianapolis Colts",2012
"9","['Winston Justice']","Probable: concussion","week_3","Indianapolis Colts",2012
"10","['Korey Lindsey']","Injured Reserve: concussion","week_3","Indianapolis Colts",2012
"11","['Jabin Sambrano']","Injured Reserve: concussion","week_3","Indianapolis Colts",2012
"12","['Korey Lindsey']","Injured Reserve: concussion","week_5","Indianapolis Colts",2012
"13","['Korey Lindsey']","Injured Reserve: concussion","week_6","Indianapolis Colts",2012
"14","['Korey Lindsey']","Injured Reserve: concussion","week_7","Indianapolis Colts",2012
"15","['Korey Lindsey']","Injured Reserve: concussion","week_8","Indianapolis Colts",2012
"16","['Korey Lindsey']","Injured Reserve: concussion","week_9","Indianapolis Colts",2012
"17","['Korey Lindsey']","Injured Reserve: concussion","week_10","Indianapolis Colts",2012
"18","['Korey Lindsey']","Injured Reserve: concussion","week_11","Indianapolis Colts",2012
"19","['Korey Lindsey']","Injured Reserve: concussion","week_12","Indianapolis Colts",2012
"20","['Korey Lindsey']","Injured Reserve: concussion","week_13","Indianapolis Colts",2012
"21","['Winston Justice']","Questionable: concussion","week_14","Indianapolis Colts",2012
"22","['Korey Lindsey']","Injured Reserve: concussion","week_14","Indianapolis Colts",2012
"23","['Joe Reitz']","Questionable: concussion","week_14","Indianapolis Colts",2012
"24","['Korey Lindsey']","Injured Reserve: concussion","week_15","Indianapolis Colts",2012
"25","['Joe Reitz']","Probable: concussion","week_15","Indianapolis Colts",2012
"26","['Korey Lindsey']","Injured Reserve: concussion","week_16","Indianapolis Colts",2012
"27","['Korey Lindsey']","Injured Reserve: concussion","week_17","Indianapolis Colts",2012
"28","['Korey Lindsey']","Injured Reserve: concussion","week_18","Indianapolis Colts",2012
