name,injury,week,team,year
['Alex Albright'],NA,week_1,Dallas Cowboys,2012
['Miles Austin'],Probable: hamstring,week_1,Dallas Cowboys,2012
['Ben Bass'],NA,week_1,Dallas Cowboys,2012
['Josh Brent'],NA,week_1,Dallas Cowboys,2012
['Dez Bryant'],Probable: knee,week_1,Dallas Cowboys,2012
['Victor Butler'],NA,week_1,Dallas Cowboys,2012
['Brandon Carr'],NA,week_1,Dallas Cowboys,2012
['Bruce Carter'],NA,week_1,Dallas Cowboys,2012
['Barry Church'],NA,week_1,Dallas Cowboys,2012
['Morris Claiborne'],NA,week_1,Dallas Cowboys,2012
['Danny Coale'],NA,week_1,Dallas Cowboys,2012
['Kenyon Coleman'],NA,week_1,Dallas Cowboys,2012
['Dan Connor'],Questionable: hip,week_1,Dallas Cowboys,2012
['Ryan Cook'],NA,week_1,Dallas Cowboys,2012
['Phil Costa'],Probable: back,week_1,Dallas Cowboys,2012
['Lance Dunbar'],NA,week_1,Dallas Cowboys,2012
['Eric Frampton'],NA,week_1,Dallas Cowboys,2012
['Dwayne Harris'],NA,week_1,Dallas Cowboys,2012
['Jason Hatcher'],NA,week_1,Dallas Cowboys,2012
['Andre Holmes'],Questionable: knee,week_1,Dallas Cowboys,2012
['Mike Jenkins'],Questionable: shoulder,week_1,Dallas Cowboys,2012
['Matt Johnson'],Out: hamstring,week_1,Dallas Cowboys,2012
['Chris Jones'],NA,week_1,Dallas Cowboys,2012
['Felix Jones'],NA,week_1,Dallas Cowboys,2012
['Kevin Kowalski'],Physically Unable to Perform: ankle,week_1,Dallas Cowboys,2012
['Sean Lee'],NA,week_1,Dallas Cowboys,2012
['Orie Lemon'],NA,week_1,Dallas Cowboys,2012
['Sean Lissemore'],NA,week_1,Dallas Cowboys,2012
['Nate Livings'],NA,week_1,Dallas Cowboys,2012
['Danny McCray'],Questionable: neck,week_1,Dallas Cowboys,2012
['Caleb McSurdy'],Injured Reserve: Achilles,week_1,Dallas Cowboys,2012
['Brian Moorman'],NA,week_1,Dallas Cowboys,2012
['DeMarco Murray'],Probable: wrist,week_1,Dallas Cowboys,2012
['Kevin Ogletree'],NA,week_1,Dallas Cowboys,2012
['Charlie Peprah'],NA,week_1,Dallas Cowboys,2012
['John Phillips'],NA,week_1,Dallas Cowboys,2012
['Jay Ratliff'],Questionable: ankle,week_1,Dallas Cowboys,2012
['Tony Romo'],NA,week_1,Dallas Cowboys,2012
['Orlando Scandrick'],NA,week_1,Dallas Cowboys,2012
['Gerald Sensabaugh'],NA,week_1,Dallas Cowboys,2012
['Ernie Sims'],NA,week_1,Dallas Cowboys,2012
['Tyron Smith'],NA,week_1,Dallas Cowboys,2012
['Marcus Spears'],NA,week_1,Dallas Cowboys,2012
['Anthony Spencer'],NA,week_1,Dallas Cowboys,2012
['Phillip Tanner'],Questionable: hand,week_1,Dallas Cowboys,2012
['Lawrence Vickers'],NA,week_1,Dallas Cowboys,2012
