"","name","injury","week","team","year"
"1","['Michael Vick']","Out: concussion","week_11","Philadelphia Eagles",2012
"2","['LeSean McCoy']","Doubtful: concussion","week_12","Philadelphia Eagles",2012
"3","['Michael Vick']","Out: concussion","week_12","Philadelphia Eagles",2012
"4","['LeSean McCoy']","Doubtful: concussion","week_13","Philadelphia Eagles",2012
"5","['Michael Vick']","Out: concussion","week_13","Philadelphia Eagles",2012
"6","['LeSean McCoy']","Doubtful: concussion","week_14","Philadelphia Eagles",2012
"7","['Michael Vick']","Doubtful: concussion","week_14","Philadelphia Eagles",2012
"8","['Brent Celek']","Doubtful: concussion","week_15","Philadelphia Eagles",2012
"9","['LeSean McCoy']","Doubtful: concussion","week_15","Philadelphia Eagles",2012
"10","['Michael Vick']","Doubtful: concussion","week_15","Philadelphia Eagles",2012
"11","['Brent Celek']","Probable: concussion","week_16","Philadelphia Eagles",2012
"12","['LeSean McCoy']","Probable: concussion","week_16","Philadelphia Eagles",2012
"13","['Michael Vick']","Probable: concussion","week_16","Philadelphia Eagles",2012
"14","['Fletcher Cox']","Doubtful: concussion","week_17","Philadelphia Eagles",2012
"15","['Mychal Kendricks']","Doubtful: concussion","week_17","Philadelphia Eagles",2012
