name,injury,week,team,year
['Don Barclay'],NA,week_1,Green Bay Packers,2012
['Cedric Benson'],NA,week_1,Green Bay Packers,2012
['Desmond Bishop'],Injured Reserve: knee,week_1,Green Bay Packers,2012
['Jarrett Boykin'],NA,week_1,Green Bay Packers,2012
['Jaymes Brooks'],Physically Unable to Perform: hamstring,week_1,Green Bay Packers,2012
['Bryan Bulaga'],NA,week_1,Green Bay Packers,2012
['Randall Cobb'],NA,week_1,Green Bay Packers,2012
['DeMarco Cosby'],Injured Reserve: hamstring,week_1,Green Bay Packers,2012
['Tom Crabtree'],Questionable: shoulder,week_1,Green Bay Packers,2012
['Mason Crosby'],NA,week_1,Green Bay Packers,2012
['Evan Dietrich-Smith'],NA,week_1,Green Bay Packers,2012
['Ray Dominguez'],Injured Reserve: ankle,week_1,Green Bay Packers,2012
['Donald Driver'],NA,week_1,Green Bay Packers,2012
['Jermichael Finley'],NA,week_1,Green Bay Packers,2012
['Rob Francois'],Questionable: hamstring,week_1,Green Bay Packers,2012
['Alex Green'],Probable: knee,week_1,Green Bay Packers,2012
['Davon House'],Questionable: shoulder,week_1,Green Bay Packers,2012
['Greg Jennings'],NA,week_1,Green Bay Packers,2012
['M.D. Jennings'],NA,week_1,Green Bay Packers,2012
['Johnny Jones'],Injured Reserve: undisclosed,week_1,Green Bay Packers,2012
['John Kuhn'],NA,week_1,Green Bay Packers,2012
['T.J. Lang'],NA,week_1,Green Bay Packers,2012
['Jamari Lattimore'],Questionable: ankle,week_1,Green Bay Packers,2012
['Terrell Manning'],NA,week_1,Green Bay Packers,2012
['Clay Matthews'],NA,week_1,Green Bay Packers,2012
['Mike McCabe'],Injured Reserve: hip,week_1,Green Bay Packers,2012
['Jerron McMillian'],NA,week_1,Green Bay Packers,2012
['Dezman Moses'],NA,week_1,Green Bay Packers,2012
['Mike Neal'],NA,week_1,Green Bay Packers,2012
['Jordy Nelson'],NA,week_1,Green Bay Packers,2012
['Marshall Newhouse'],NA,week_1,Green Bay Packers,2012
['Nick Perry'],NA,week_1,Green Bay Packers,2012
['Ryan Pickett'],NA,week_1,Green Bay Packers,2012
