"","name","injury","week","team","year"
"1","['Terrell Manning']","Questionable: concussion","week_2","Green Bay Packers",2012
"2","['Terrell Manning']","Probable: concussion","week_3","Green Bay Packers",2012
"3","['Jerel Worthy']","Questionable: concussion","week_9","Green Bay Packers",2012
"4","['Jerel Worthy']","Probable: concussion","week_11","Green Bay Packers",2012
"5","['Johnny White']","Questionable: concussion","week_13","Green Bay Packers",2012
"6","['Johnny White']","Injured Reserve: concussion","week_14","Green Bay Packers",2012
"7","['Johnny White']","Injured Reserve: concussion","week_15","Green Bay Packers",2012
"8","['Alex Green']","Questionable: concussion","week_16","Green Bay Packers",2012
"9","['T.J. Lang']","Questionable: concussion","week_16","Green Bay Packers",2012
"10","['Johnny White']","Injured Reserve: concussion","week_16","Green Bay Packers",2012
"11","['Alex Green']","Probable: concussion","week_17","Green Bay Packers",2012
"12","['Johnny White']","Injured Reserve: concussion","week_17","Green Bay Packers",2012
"13","['Alex Green']","Probable: concussion","week_18","Green Bay Packers",2012
