"","name","injury","week","team","year"
"1","['Jon Condo']","Doubtful: concussion","week_2","Oakland Raiders",2012
"2","['Darrius Heyward-Bey']","Out: concussion","week_4","Oakland Raiders",2012
"3","['Brandon Myers']","Questionable: concussion","week_4","Oakland Raiders",2012
"4","['Darrius Heyward-Bey']","Probable: concussion","week_6","Oakland Raiders",2012
"5","['Matt Giordano']","Questionable: concussion","week_11","Oakland Raiders",2012
"6","['Brandon Myers']","Questionable: concussion","week_11","Oakland Raiders",2012
"7","['Phillip Adams']","Doubtful: concussion","week_14","Oakland Raiders",2012
"8","['Matt Giordano']","Questionable: concussion","week_14","Oakland Raiders",2012
"9","['Mike Mitchell']","Doubtful: concussion","week_14","Oakland Raiders",2012
"10","['Phillip Adams']","Questionable: concussion","week_16","Oakland Raiders",2012
"11","['Mike Brisiel']","Doubtful: concussion","week_17","Oakland Raiders",2012
