name,injury,week,team,year
['Xavier Adibi'],NA,week_1,Tennessee Titans,2012
['Al Afalava'],NA,week_1,Tennessee Titans,2012
['Eugene Amano'],Injured Reserve: triceps,week_1,Tennessee Titans,2012
['Jordan Babineaux'],NA,week_1,Tennessee Titans,2012
['Patrick Bailey'],NA,week_1,Tennessee Titans,2012
['Dave Ball'],Injured Reserve: concussion,week_1,Tennessee Titans,2012
['Kenny Britt'],NA,week_1,Tennessee Titans,2012
['Zach Brown'],NA,week_1,Tennessee Titans,2012
['Tommie Campbell'],NA,week_1,Tennessee Titans,2012
['Jurrell Casey'],Probable: elbow,week_1,Tennessee Titans,2012
['Jared Cook'],NA,week_1,Tennessee Titans,2012
['Keyunta Dawson'],NA,week_1,Tennessee Titans,2012
['Zach Diles'],Probable: hamstring,week_1,Tennessee Titans,2012
['Leger Douzable'],Injured Reserve: shoulder,week_1,Tennessee Titans,2012
['Ryan Durand'],Injured Reserve: finger,week_1,Tennessee Titans,2012
['Darren Evans'],NA,week_1,Tennessee Titans,2012
['Michael Griffin'],NA,week_1,Tennessee Titans,2012
['Jamie Harper'],NA,week_1,Tennessee Titans,2012
['Leroy Harris'],NA,week_1,Tennessee Titans,2012
['Lavelle Hawkins'],NA,week_1,Tennessee Titans,2012
['Steve Hutchinson'],NA,week_1,Tennessee Titans,2012
['Chris Johnson'],NA,week_1,Tennessee Titans,2012
['Robert Johnson'],NA,week_1,Tennessee Titans,2012
['Jake Locker'],NA,week_1,Tennessee Titans,2012
['Marc Mariani'],Injured Reserve: leg,week_1,Tennessee Titans,2012
"[""Sen'Derrick Marks""]",Questionable: knee,week_1,Tennessee Titans,2012
['Markelle Martin'],Physically Unable to Perform: knee,week_1,Tennessee Titans,2012
['Mike Martin'],NA,week_1,Tennessee Titans,2012
['Kevin Matthews'],NA,week_1,Tennessee Titans,2012
['Colin McCarthy'],Questionable: ankle,week_1,Tennessee Titans,2012
['Gerald McRath'],Injured Reserve: knee,week_1,Tennessee Titans,2012
['Derrick Morgan'],NA,week_1,Tennessee Titans,2012
['Ryan Mouton'],NA,week_1,Tennessee Titans,2012
['Michael Otto'],Out: hand,week_1,Tennessee Titans,2012
['Javon Ringer'],Out: elbow,week_1,Tennessee Titans,2012
['Michael Roos'],NA,week_1,Tennessee Titans,2012
['Scott Solomon'],Questionable: knee,week_1,Tennessee Titans,2012
['Craig Stevens'],NA,week_1,Tennessee Titans,2012
['David Stewart'],NA,week_1,Tennessee Titans,2012
['Byron Stingily'],NA,week_1,Tennessee Titans,2012
['Fernando Velasco'],NA,week_1,Tennessee Titans,2012
['Alterraun Verner'],NA,week_1,Tennessee Titans,2012
['Nate Washington'],NA,week_1,Tennessee Titans,2012
['Damian Williams'],NA,week_1,Tennessee Titans,2012
['Kamerion Wimbley'],NA,week_1,Tennessee Titans,2012
['Will Witherspoon'],NA,week_1,Tennessee Titans,2012
['Kendall Wright'],NA,week_1,Tennessee Titans,2012
['Xavier Adibi'],NA,week_2,Tennessee Titans,2012
['Al Afalava'],NA,week_2,Tennessee Titans,2012
['Eugene Amano'],Injured Reserve: triceps,week_2,Tennessee Titans,2012
['Jordan Babineaux'],NA,week_2,Tennessee Titans,2012
['Patrick Bailey'],NA,week_2,Tennessee Titans,2012
