"","name","injury","week","team","year"
"1","['Dave Ball']","Injured Reserve: concussion","week_1","Tennessee Titans",2012
"2","['Dave Ball']","Injured Reserve: concussion","week_2","Tennessee Titans",2012
"3","['Dave Ball']","Injured Reserve: concussion","week_3","Tennessee Titans",2012
"4","['Dave Ball']","Injured Reserve: concussion","week_4","Tennessee Titans",2012
"5","['Dave Ball']","Injured Reserve: concussion","week_5","Tennessee Titans",2012
"6","['Dave Ball']","Injured Reserve: concussion","week_6","Tennessee Titans",2012
"7","['Dave Ball']","Injured Reserve: concussion","week_7","Tennessee Titans",2012
"8","['Dave Ball']","Injured Reserve: concussion","week_8","Tennessee Titans",2012
"9","['Craig Stevens']","Probable: concussion","week_8","Tennessee Titans",2012
"10","['Dave Ball']","Injured Reserve: concussion","week_9","Tennessee Titans",2012
"11","['Fernando Velasco']","Probable: concussion","week_9","Tennessee Titans",2012
"12","['Dave Ball']","Injured Reserve: concussion","week_10","Tennessee Titans",2012
"13","['Dave Ball']","Injured Reserve: concussion","week_12","Tennessee Titans",2012
"14","['Dave Ball']","Injured Reserve: concussion","week_13","Tennessee Titans",2012
"15","['Colin McCarthy']","Doubtful: concussion","week_13","Tennessee Titans",2012
"16","['Dave Ball']","Injured Reserve: concussion","week_14","Tennessee Titans",2012
"17","['Colin McCarthy']","Questionable: concussion","week_14","Tennessee Titans",2012
"18","['Dave Ball']","Injured Reserve: concussion","week_15","Tennessee Titans",2012
"19","['Colin McCarthy']","Questionable: concussion","week_15","Tennessee Titans",2012
"20","['Dave Ball']","Injured Reserve: concussion","week_16","Tennessee Titans",2012
"21","['Colin McCarthy']","Probable: concussion","week_16","Tennessee Titans",2012
"22","['Dave Ball']","Injured Reserve: concussion","week_17","Tennessee Titans",2012
"23","['Colin McCarthy']","Questionable: concussion","week_17","Tennessee Titans",2012
"24","['Craig Stevens']","Doubtful: concussion","week_17","Tennessee Titans",2012
