name,injury,week,team,year
['Josh Aubrey'],NA,week_1,Cleveland Browns,2013
['Gary Barnidge'],Probable: shoulder,week_1,Cleveland Browns,2013
['Travis Benjamin'],NA,week_1,Cleveland Browns,2013
['Davone Bess'],Probable: knee,week_1,Cleveland Browns,2013
['Armonty Bryant'],NA,week_1,Cleveland Browns,2013
['Desmond Bryant'],Questionable: back,week_1,Cleveland Browns,2013
['Jordan Cameron'],Probable: groin,week_1,Cleveland Browns,2013
['Jason Campbell'],NA,week_1,Cleveland Browns,2013
['Tank Carder'],NA,week_1,Cleveland Browns,2013
['Josh Cooper'],NA,week_1,Cleveland Browns,2013
['Oniel Cousins'],NA,week_1,Cleveland Browns,2013
['Billy Cundiff'],NA,week_1,Cleveland Browns,2013
['Armanti Edwards'],NA,week_1,Cleveland Browns,2013
['Chris Faulk'],Out: knee,week_1,Cleveland Browns,2013
['Reid Fragel'],NA,week_1,Cleveland Browns,2013
['Garrett Gilkey'],Probable: shoulder,week_1,Cleveland Browns,2013
['Josh Gordon'],NA,week_1,Cleveland Browns,2013
['MarQueis Gray'],NA,week_1,Cleveland Browns,2013
['John Greco'],NA,week_1,Cleveland Browns,2013
['Quentin Groves'],NA,week_1,Cleveland Browns,2013
['Joe Haden'],NA,week_1,Cleveland Browns,2013
['Montario Hardesty'],Injured Reserve: knee,week_1,Cleveland Browns,2013
['Brian Hoyer'],NA,week_1,Cleveland Browns,2013
['John Hughes'],Probable: knee,week_1,Cleveland Browns,2013
"[""D'Qwell Jackson""]",NA,week_1,Cleveland Browns,2013
['Paul Kruger'],NA,week_1,Cleveland Browns,2013
['Spencer Lanning'],NA,week_1,Cleveland Browns,2013
['Shawn Lauvao'],Out: ankle,week_1,Cleveland Browns,2013
['Dion Lewis'],Injured Reserve: fibula,week_1,Cleveland Browns,2013
['Greg Little'],NA,week_1,Cleveland Browns,2013
['Brandon Magee'],NA,week_1,Cleveland Browns,2013
['Eric Martin'],Probable: foot,week_1,Cleveland Browns,2013
['Willis McGahee'],NA,week_1,Cleveland Browns,2013
['Barkevious Mingo'],Doubtful: lung,week_1,Cleveland Browns,2013
['Chris Ogbonnaya'],NA,week_1,Cleveland Browns,2013
['Chris Owens'],Probable: foot,week_1,Cleveland Browns,2013
['Jason Pinkston'],Injured Reserve: ankle,week_1,Cleveland Browns,2013
['Jordan Poyer'],NA,week_1,Cleveland Browns,2013
['Bobby Rainey'],NA,week_1,Cleveland Browns,2013
['Craig Robertson'],NA,week_1,Cleveland Browns,2013
['Ahtyba Rubin'],Questionable: calf,week_1,Cleveland Browns,2013
['Mitchell Schwartz'],NA,week_1,Cleveland Browns,2013
['Jabaal Sheard'],Probable: illness,week_1,Cleveland Browns,2013
['Buster Skrine'],Questionable: shoulder,week_1,Cleveland Browns,2013
['Andre Smith'],NA,week_1,Cleveland Browns,2013
['Phil Taylor'],NA,week_1,Cleveland Browns,2013
['Joe Thomas'],NA,week_1,Cleveland Browns,2013
['Martin Wallace'],NA,week_1,Cleveland Browns,2013
['T.J. Ward'],NA,week_1,Cleveland Browns,2013
['Brandon Weeden'],NA,week_1,Cleveland Browns,2013
['Fozzy Whittaker'],NA,week_1,Cleveland Browns,2013
['Billy Winn'],NA,week_1,Cleveland Browns,2013
['Josh Aubrey'],NA,week_2,Cleveland Browns,2013
['Gary Barnidge'],NA,week_2,Cleveland Browns,2013
['Travis Benjamin'],Questionable: thigh,week_2,Cleveland Browns,2013
['Davone Bess'],NA,week_2,Cleveland Browns,2013
['Armonty Bryant'],NA,week_2,Cleveland Browns,2013
['Desmond Bryant'],NA,week_2,Cleveland Browns,2013
['Jordan Cameron'],NA,week_2,Cleveland Browns,2013
['Jason Campbell'],NA,week_2,Cleveland Browns,2013
['Tank Carder'],NA,week_2,Cleveland Browns,2013
['Josh Cooper'],NA,week_2,Cleveland Browns,2013
