"","name","injury","week","team","year"
"1","['Chris Ogbonnaya']","Questionable: concussion","week_6","Cleveland Browns",2013
"2","['Jason Campbell']","Doubtful: concussion","week_14","Cleveland Browns",2013
"3","['Brandon Weeden']","Questionable: concussion/knee","week_14","Cleveland Browns",2013
"4","['Willis McGahee']","Doubtful: concussion","week_15","Cleveland Browns",2013
"5","['Brandon Weeden']","Questionable: concussion/knee","week_15","Cleveland Browns",2013
"6","['Jordan Cameron']","Questionable: concussion","week_16","Cleveland Browns",2013
"7","['Willis McGahee']","Probable: concussion/knee","week_16","Cleveland Browns",2013
"8","['Jordan Cameron']","Questionable: concussion","week_17","Cleveland Browns",2013
"9","['Jason Pinkston']","Questionable: concussion","week_17","Cleveland Browns",2013
"10","['Phil Taylor']","Questionable: concussion","week_17","Cleveland Browns",2013
