name,injury,week,team,year
['Colt Anderson'],NA,week_1,Philadelphia Eagles,2013
['Connor Barwin'],NA,week_1,Philadelphia Eagles,2013
['Arrelious Benn'],Injured Reserve: knee,week_1,Philadelphia Eagles,2013
['Brandon Boykin'],NA,week_1,Philadelphia Eagles,2013
['Roc Carmichael'],NA,week_1,Philadelphia Eagles,2013
['James Casey'],NA,week_1,Philadelphia Eagles,2013
['Brent Celek'],NA,week_1,Philadelphia Eagles,2013
['Patrick Chung'],NA,week_1,Philadelphia Eagles,2013
['Trent Cole'],NA,week_1,Philadelphia Eagles,2013
['Kurt Coleman'],NA,week_1,Philadelphia Eagles,2013
['Riley Cooper'],NA,week_1,Philadelphia Eagles,2013
['Fletcher Cox'],NA,week_1,Philadelphia Eagles,2013
['Jon Dorenbos'],NA,week_1,Philadelphia Eagles,2013
['Zach Ertz'],NA,week_1,Philadelphia Eagles,2013
['Bradley Fletcher'],NA,week_1,Philadelphia Eagles,2013
['Nick Foles'],NA,week_1,Philadelphia Eagles,2013
['Clifton Geathers'],NA,week_1,Philadelphia Eagles,2013
['Najee Goode'],NA,week_1,Philadelphia Eagles,2013
['Brandon Hughes'],Out: hand,week_1,Philadelphia Eagles,2013
['Phillip Hunt'],Injured Reserve: knee,week_1,Philadelphia Eagles,2013
['DeSean Jackson'],NA,week_1,Philadelphia Eagles,2013
['Damaris Johnson'],NA,week_1,Philadelphia Eagles,2013
['Lane Johnson'],NA,week_1,Philadelphia Eagles,2013
['Donnie Jones'],NA,week_1,Philadelphia Eagles,2013
['Jason Kelce'],NA,week_1,Philadelphia Eagles,2013
['Dennis Kelly'],Out: back,week_1,Philadelphia Eagles,2013
['Mychal Kendricks'],NA,week_1,Philadelphia Eagles,2013
['Jake Knott'],NA,week_1,Philadelphia Eagles,2013
['Joe Kruger'],Injured Reserve: shoulder,week_1,Philadelphia Eagles,2013
['Bennie Logan'],NA,week_1,Philadelphia Eagles,2013
['Jeremy Maclin'],Injured Reserve: knee,week_1,Philadelphia Eagles,2013
['Jeff Maehl'],NA,week_1,Philadelphia Eagles,2013
['Curtis Marsh'],Injured Reserve: hand,week_1,Philadelphia Eagles,2013
['Evan Mathis'],NA,week_1,Philadelphia Eagles,2013
['Casey Matthews'],NA,week_1,Philadelphia Eagles,2013
['LeSean McCoy'],NA,week_1,Philadelphia Eagles,2013
['Jason Peters'],NA,week_1,Philadelphia Eagles,2013
['Jason Phillips'],Injured Reserve: knee,week_1,Philadelphia Eagles,2013
['Chris Polk'],NA,week_1,Philadelphia Eagles,2013
['Brad Smith'],NA,week_1,Philadelphia Eagles,2013
['Damion Square'],NA,week_1,Philadelphia Eagles,2013
['Cedric Thornton'],NA,week_1,Philadelphia Eagles,2013
['Julian Vandervelde'],NA,week_1,Philadelphia Eagles,2013
['Michael Vick'],NA,week_1,Philadelphia Eagles,2013
['Cary Williams'],NA,week_1,Philadelphia Eagles,2013
['Earl Wolff'],NA,week_1,Philadelphia Eagles,2013
['Colt Anderson'],NA,week_2,Philadelphia Eagles,2013
['Connor Barwin'],NA,week_2,Philadelphia Eagles,2013
['Arrelious Benn'],Injured Reserve: knee,week_2,Philadelphia Eagles,2013
['Brandon Boykin'],NA,week_2,Philadelphia Eagles,2013
['Roc Carmichael'],NA,week_2,Philadelphia Eagles,2013
['James Casey'],NA,week_2,Philadelphia Eagles,2013
['Brent Celek'],NA,week_2,Philadelphia Eagles,2013
['Patrick Chung'],NA,week_2,Philadelphia Eagles,2013
['Trent Cole'],NA,week_2,Philadelphia Eagles,2013
['Kurt Coleman'],NA,week_2,Philadelphia Eagles,2013
['Riley Cooper'],NA,week_2,Philadelphia Eagles,2013
['Fletcher Cox'],NA,week_2,Philadelphia Eagles,2013
['Jon Dorenbos'],NA,week_2,Philadelphia Eagles,2013
['Zach Ertz'],NA,week_2,Philadelphia Eagles,2013
['Bradley Fletcher'],Doubtful: concussion,week_2,Philadelphia Eagles,2013
['Nick Foles'],NA,week_2,Philadelphia Eagles,2013
['Clifton Geathers'],NA,week_2,Philadelphia Eagles,2013
['Najee Goode'],NA,week_2,Philadelphia Eagles,2013
['Brandon Hughes'],Probable: hand,week_2,Philadelphia Eagles,2013
['Phillip Hunt'],Injured Reserve: knee,week_2,Philadelphia Eagles,2013
['DeSean Jackson'],NA,week_2,Philadelphia Eagles,2013
['Damaris Johnson'],NA,week_2,Philadelphia Eagles,2013
['Lane Johnson'],NA,week_2,Philadelphia Eagles,2013
['Donnie Jones'],NA,week_2,Philadelphia Eagles,2013
['Jason Kelce'],NA,week_2,Philadelphia Eagles,2013
['Dennis Kelly'],Doubtful: back,week_2,Philadelphia Eagles,2013
['Mychal Kendricks'],NA,week_2,Philadelphia Eagles,2013
