name,injury,week,team,year
['Prince Amukamara'],NA,week_1,New York Giants,2013
['David Baas'],Questionable: knee,week_1,New York Giants,2013
['Ramses Barden'],Injured Reserve: knee,week_1,New York Giants,2013
['Will Beatty'],NA,week_1,New York Giants,2013
['James Brewer'],NA,week_1,New York Giants,2013
['Andre Brown'],Injured Reserve: leg,week_1,New York Giants,2013
['Stevie Brown'],Injured Reserve: knee,week_1,New York Giants,2013
['Selvish Capers'],Injured Reserve: knee,week_1,New York Giants,2013
['John Conner'],NA,week_1,New York Giants,2013
['Dan Connor'],Questionable: neck,week_1,New York Giants,2013
['Jim Cordle'],NA,week_1,New York Giants,2013
['Victor Cruz'],Questionable: heel,week_1,New York Giants,2013
['Zak DeOssie'],NA,week_1,New York Giants,2013
['David Diehl'],Out: hand,week_1,New York Giants,2013
['Mark Herzlich'],NA,week_1,New York Giants,2013
['Will Hill'],NA,week_1,New York Giants,2013
['Peyton Hillis'],NA,week_1,New York Giants,2013
['Jayron Hosley'],Probable: ankle,week_1,New York Giants,2013
['Henry Hynoski'],Probable: knee,week_1,New York Giants,2013
['Brandon Jacobs'],NA,week_1,New York Giants,2013
['Cullen Jenkins'],NA,week_1,New York Giants,2013
['Jerrel Jernigan'],NA,week_1,New York Giants,2013
['Linval Joseph'],NA,week_1,New York Giants,2013
['Mathias Kiwanuka'],NA,week_1,New York Giants,2013
['Markus Kuhn'],Physically Unable to Perform: knee,week_1,New York Giants,2013
['Eli Manning'],NA,week_1,New York Giants,2013
['Trumaine McBride'],NA,week_1,New York Giants,2013
['Damontre Moore'],Questionable: shoulder,week_1,New York Giants,2013
['Brandon Mosley'],NA,week_1,New York Giants,2013
['Ryan Mundy'],NA,week_1,New York Giants,2013
['Louis Murphy'],NA,week_1,New York Giants,2013
['Brandon Myers'],NA,week_1,New York Giants,2013
['Ryan Nassib'],NA,week_1,New York Giants,2013
['Hakeem Nicks'],NA,week_1,New York Giants,2013
['Bear Pascoe'],NA,week_1,New York Giants,2013
['Spencer Paysinger'],NA,week_1,New York Giants,2013
['Jason Pierre-Paul'],Questionable: back,week_1,New York Giants,2013
['Rueben Randle'],NA,week_1,New York Giants,2013
['Adrien Robinson'],Out: foot,week_1,New York Giants,2013
['Shaun Rogers'],NA,week_1,New York Giants,2013
['Antrel Rolle'],NA,week_1,New York Giants,2013
['Aaron Ross'],NA,week_1,New York Giants,2013
"[""Da'Rel Scott""]",NA,week_1,New York Giants,2013
['Laron Scott'],Injured Reserve: hamstring,week_1,New York Giants,2013
['Chris Snee'],NA,week_1,New York Giants,2013
['Cooper Taylor'],NA,week_1,New York Giants,2013
['Terrell Thomas'],NA,week_1,New York Giants,2013
['Justin Trattou'],NA,week_1,New York Giants,2013
['Justin Tuck'],NA,week_1,New York Giants,2013
['Corey Webster'],NA,week_1,New York Giants,2013
['Jacquian Williams'],NA,week_1,New York Giants,2013
['David Wilson'],NA,week_1,New York Giants,2013
['Prince Amukamara'],Doubtful: concussion,week_2,New York Giants,2013
['David Baas'],Questionable: knee,week_2,New York Giants,2013
['Ramses Barden'],Injured Reserve: knee,week_2,New York Giants,2013
['Will Beatty'],NA,week_2,New York Giants,2013
['James Brewer'],NA,week_2,New York Giants,2013
['Andre Brown'],Injured Reserve: leg,week_2,New York Giants,2013
['Stevie Brown'],Injured Reserve: knee,week_2,New York Giants,2013
['Selvish Capers'],NA,week_2,New York Giants,2013
['John Conner'],NA,week_2,New York Giants,2013
['Dan Connor'],Questionable: neck,week_2,New York Giants,2013
['Jim Cordle'],NA,week_2,New York Giants,2013
['Victor Cruz'],NA,week_2,New York Giants,2013
['Zak DeOssie'],NA,week_2,New York Giants,2013
['David Diehl'],Out: hand,week_2,New York Giants,2013
['Mark Herzlich'],NA,week_2,New York Giants,2013
['Will Hill'],NA,week_2,New York Giants,2013
['Peyton Hillis'],NA,week_2,New York Giants,2013
['Jayron Hosley'],NA,week_2,New York Giants,2013
['Henry Hynoski'],NA,week_2,New York Giants,2013
['Brandon Jacobs'],NA,week_2,New York Giants,2013
['Cullen Jenkins'],NA,week_2,New York Giants,2013
['Jerrel Jernigan'],NA,week_2,New York Giants,2013
['Linval Joseph'],NA,week_2,New York Giants,2013
['Mathias Kiwanuka'],NA,week_2,New York Giants,2013
['Markus Kuhn'],Physically Unable to Perform: knee,week_2,New York Giants,2013
['Eli Manning'],NA,week_2,New York Giants,2013
['Trumaine McBride'],NA,week_2,New York Giants,2013
['Damontre Moore'],Questionable: shoulder,week_2,New York Giants,2013
['Brandon Mosley'],NA,week_2,New York Giants,2013
['Ryan Mundy'],NA,week_2,New York Giants,2013
['Louis Murphy'],NA,week_2,New York Giants,2013
['Brandon Myers'],NA,week_2,New York Giants,2013
['Ryan Nassib'],NA,week_2,New York Giants,2013
['Hakeem Nicks'],NA,week_2,New York Giants,2013
['Bear Pascoe'],NA,week_2,New York Giants,2013
['Spencer Paysinger'],NA,week_2,New York Giants,2013
['Jason Pierre-Paul'],NA,week_2,New York Giants,2013
['Rueben Randle'],NA,week_2,New York Giants,2013
['Adrien Robinson'],Out: foot,week_2,New York Giants,2013
['Shaun Rogers'],NA,week_2,New York Giants,2013
['Antrel Rolle'],Questionable: groin,week_2,New York Giants,2013
['Aaron Ross'],NA,week_2,New York Giants,2013
"[""Da'Rel Scott""]",Questionable: knee,week_2,New York Giants,2013
['Laron Scott'],Injured Reserve: hamstring,week_2,New York Giants,2013
['Chris Snee'],NA,week_2,New York Giants,2013
['Cooper Taylor'],NA,week_2,New York Giants,2013
['Terrell Thomas'],NA,week_2,New York Giants,2013
['Justin Trattou'],NA,week_2,New York Giants,2013
