"","name","injury","week","team","year"
"1","['Dwight Lowery']","Doubtful: concussion","week_4","Jacksonville Jaguars",2013
"2","['Stephen Burton']","Questionable: concussion","week_5","Jacksonville Jaguars",2013
"3","['Dwight Lowery']","Questionable: concussion","week_5","Jacksonville Jaguars",2013
"4","['Jeremy Mincey']","Questionable: concussion","week_5","Jacksonville Jaguars",2013
"5","['Stephen Burton']","Questionable: concussion","week_6","Jacksonville Jaguars",2013
"6","['Dwight Lowery']","Injured Reserve: concussion","week_6","Jacksonville Jaguars",2013
"7","['Jeremy Mincey']","Questionable: concussion","week_6","Jacksonville Jaguars",2013
"8","['Stephen Burton']","Questionable: concussion","week_7","Jacksonville Jaguars",2013
"9","['Dwight Lowery']","Injured Reserve: concussion","week_7","Jacksonville Jaguars",2013
"10","['Jeremy Mincey']","Questionable: concussion","week_7","Jacksonville Jaguars",2013
"11","['Ace Sanders']","Questionable: concussion","week_7","Jacksonville Jaguars",2013
"12","['Stephen Burton']","Questionable: concussion","week_8","Jacksonville Jaguars",2013
"13","['Dwight Lowery']","Injured Reserve: concussion","week_8","Jacksonville Jaguars",2013
"14","['Jeremy Mincey']","Questionable: concussion","week_8","Jacksonville Jaguars",2013
"15","['Ace Sanders']","Questionable: concussion","week_8","Jacksonville Jaguars",2013
"16","['Will Rackley']","Questionable: concussion","week_10","Jacksonville Jaguars",2013
"17","['Denard Robinson']","Questionable: concussion","week_10","Jacksonville Jaguars",2013
"18","['Cecil Shorts']","Questionable: concussion","week_10","Jacksonville Jaguars",2013
"19","['Stephen Burton']","Questionable: concussion","week_11","Jacksonville Jaguars",2013
"20","['Paul Posluszny']","Questionable: concussion","week_11","Jacksonville Jaguars",2013
"21","['Will Rackley']","Questionable: concussion","week_11","Jacksonville Jaguars",2013
"22","['Stephen Burton']","Questionable: concussion","week_12","Jacksonville Jaguars",2013
"23","['Paul Posluszny']","Questionable: concussion","week_12","Jacksonville Jaguars",2013
"24","['Will Rackley']","Questionable: concussion","week_12","Jacksonville Jaguars",2013
"25","['Stephen Burton']","Doubtful: concussion","week_13","Jacksonville Jaguars",2013
"26","['Stephen Burton']","Questionable: concussion","week_14","Jacksonville Jaguars",2013
"27","['Stephen Burton']","Questionable: concussion","week_15","Jacksonville Jaguars",2013
"28","['Chris Prosinski']","Questionable: concussion","week_15","Jacksonville Jaguars",2013
"29","['Russell Allen']","Injured Reserve: concussion","week_16","Jacksonville Jaguars",2013
"30","['Stephen Burton']","Injured Reserve: concussion","week_16","Jacksonville Jaguars",2013
"31","['Will Rackley']","Injured Reserve: concussion","week_16","Jacksonville Jaguars",2013
"32","['Russell Allen']","Injured Reserve: concussion","week_17","Jacksonville Jaguars",2013
"33","['Stephen Burton']","Injured Reserve: concussion","week_17","Jacksonville Jaguars",2013
"34","['Will Rackley']","Injured Reserve: concussion","week_17","Jacksonville Jaguars",2013
