"","name","injury","week","team","year"
"1","['Brandon Meriweather']","Doubtful: concussion","week_3","Washington Redskins",2013
"2","['Reed Doughty']","Questionable: concussion","week_8","Washington Redskins",2013
"3","['Reed Doughty']","Probable: concussion","week_9","Washington Redskins",2013
"4","['Jordan Reed']","Questionable: concussion","week_12","Washington Redskins",2013
"5","['Jordan Reed']","Questionable: concussion","week_13","Washington Redskins",2013
"6","['Reed Doughty']","Questionable: concussion/shoulder","week_14","Washington Redskins",2013
"7","['Jordan Reed']","Questionable: concussion","week_14","Washington Redskins",2013
"8","['Jordan Reed']","Questionable: concussion","week_15","Washington Redskins",2013
"9","['Jordan Reed']","Questionable: concussion","week_16","Washington Redskins",2013
"10","['Jordan Reed']","Injured Reserve: concussion","week_17","Washington Redskins",2013
