name,injury,week,team,year
['Jared Allen'],NA,week_1,Chicago Bears,2014
['David Bass'],NA,week_1,Chicago Bears,2014
['Martellus Bennett'],NA,week_1,Chicago Bears,2014
['Taylor Boggs'],NA,week_1,Chicago Bears,2014
['Jonathan Bostic'],NA,week_1,Chicago Bears,2014
['Lance Briggs'],NA,week_1,Chicago Bears,2014
['Eben Britton'],NA,week_1,Chicago Bears,2014
['Jermon Bushrod'],NA,week_1,Chicago Bears,2014
['Jimmy Clausen'],NA,week_1,Chicago Bears,2014
['Chris Conte'],Probable: concussion,week_1,Chicago Bears,2014
['Brian De La Puente'],Probable: knee,week_1,Chicago Bears,2014
['Ahmad Dixon'],NA,week_1,Chicago Bears,2014
['Shaun Draughn'],Questionable: neck,week_1,Chicago Bears,2014
['David Fales'],Questionable: shoulder,week_1,Chicago Bears,2014
['Ego Ferguson'],NA,week_1,Chicago Bears,2014
['Tony Fiammetta'],Questionable: hamstring,week_1,Chicago Bears,2014
['Kyle Fuller'],NA,week_1,Chicago Bears,2014
['Roberto Garza'],Questionable: ankle,week_1,Chicago Bears,2014
['Robbie Gould'],NA,week_1,Chicago Bears,2014
['Lamarr Houston'],NA,week_1,Chicago Bears,2014
['Demontre Hurst'],NA,week_1,Chicago Bears,2014
['Alshon Jeffery'],NA,week_1,Chicago Bears,2014
['Tim Jennings'],NA,week_1,Chicago Bears,2014
['Kyle Long'],NA,week_1,Chicago Bears,2014
['Al Louis-Jean'],NA,week_1,Chicago Bears,2014
['Brandon Marshall'],NA,week_1,Chicago Bears,2014
['Shea McClellin'],NA,week_1,Chicago Bears,2014
['Danny McCray'],NA,week_1,Chicago Bears,2014
['Sherrick McManis'],NA,week_1,Chicago Bears,2014
['Zach Miller'],Injured Reserve: foot,week_1,Chicago Bears,2014
['Jordan Mills'],Probable: foot,week_1,Chicago Bears,2014
['Terrance Mitchell'],NA,week_1,Chicago Bears,2014
['Josh Morgan'],NA,week_1,Chicago Bears,2014
['Ryan Mundy'],NA,week_1,Chicago Bears,2014
['Michael Ola'],NA,week_1,Chicago Bears,2014
['Jay Ratliff'],NA,week_1,Chicago Bears,2014
['Trevor Scott'],NA,week_1,Chicago Bears,2014
['Darryl Sharpton'],NA,week_1,Chicago Bears,2014
['Matt Slauson'],Questionable: ankle,week_1,Chicago Bears,2014
['Will Sutton'],NA,week_1,Chicago Bears,2014
['Charles Tillman'],NA,week_1,Chicago Bears,2014
['Brock Vereen'],NA,week_1,Chicago Bears,2014
['Cornelius Washington'],NA,week_1,Chicago Bears,2014
['Chris Williams'],NA,week_1,Chicago Bears,2014
['D.J. Williams'],NA,week_1,Chicago Bears,2014
['Marquess Wilson'],Injured Reserve: clavicle,week_1,Chicago Bears,2014
['Willie Young'],NA,week_1,Chicago Bears,2014
['Jared Allen'],NA,week_2,Chicago Bears,2014
['David Bass'],NA,week_2,Chicago Bears,2014
['Martellus Bennett'],NA,week_2,Chicago Bears,2014
['Taylor Boggs'],NA,week_2,Chicago Bears,2014
['Jonathan Bostic'],NA,week_2,Chicago Bears,2014
['Lance Briggs'],NA,week_2,Chicago Bears,2014
['Eben Britton'],NA,week_2,Chicago Bears,2014
['Jermon Bushrod'],NA,week_2,Chicago Bears,2014
['Jimmy Clausen'],NA,week_2,Chicago Bears,2014
['Chris Conte'],NA,week_2,Chicago Bears,2014
['Brian De La Puente'],NA,week_2,Chicago Bears,2014
