"","name","injury","week","team","year"
"1","['J.K. Schaffer']","Injured Reserve: concussion","week_1","Cincinnati Bengals",2014
"2","['Andre Smith']","Probable: concussion","week_1","Cincinnati Bengals",2014
"3","['James Wright']","Questionable: concussion","week_1","Cincinnati Bengals",2014
"4","['Vontaze Burfict']","Questionable: concussion","week_2","Cincinnati Bengals",2014
"5","['J.K. Schaffer']","Injured Reserve: concussion","week_2","Cincinnati Bengals",2014
"6","['James Wright']","Probable: concussion","week_2","Cincinnati Bengals",2014
"7","['J.K. Schaffer']","Injured Reserve: concussion","week_3","Cincinnati Bengals",2014
"8","['Vontaze Burfict']","Questionable: concussion","week_5","Cincinnati Bengals",2014
"9","['Emmanuel Lamur']","Probable: concussion","week_5","Cincinnati Bengals",2014
"10","['J.K. Schaffer']","Injured Reserve: concussion","week_5","Cincinnati Bengals",2014
"11","['Vontaze Burfict']","Probable: concussion","week_6","Cincinnati Bengals",2014
"12","['J.K. Schaffer']","Injured Reserve: concussion","week_6","Cincinnati Bengals",2014
"13","['J.K. Schaffer']","Injured Reserve: concussion","week_7","Cincinnati Bengals",2014
"14","['J.K. Schaffer']","Injured Reserve: concussion","week_8","Cincinnati Bengals",2014
"15","['J.K. Schaffer']","Injured Reserve: concussion","week_9","Cincinnati Bengals",2014
"16","['Leon Hall']","Questionable: concussion","week_10","Cincinnati Bengals",2014
"17","['J.K. Schaffer']","Injured Reserve: concussion","week_10","Cincinnati Bengals",2014
"18","['Leon Hall']","Probable: concussion","week_11","Cincinnati Bengals",2014
"19","['J.K. Schaffer']","Injured Reserve: concussion","week_11","Cincinnati Bengals",2014
"20","['J.K. Schaffer']","Injured Reserve: concussion","week_12","Cincinnati Bengals",2014
"21","['J.K. Schaffer']","Injured Reserve: concussion","week_13","Cincinnati Bengals",2014
"22","['Adam Jones']","Questionable: concussion","week_14","Cincinnati Bengals",2014
"23","['J.K. Schaffer']","Injured Reserve: concussion","week_14","Cincinnati Bengals",2014
"24","['J.K. Schaffer']","Injured Reserve: concussion","week_15","Cincinnati Bengals",2014
"25","['J.K. Schaffer']","Injured Reserve: concussion","week_16","Cincinnati Bengals",2014
"26","['J.K. Schaffer']","Injured Reserve: concussion","week_17","Cincinnati Bengals",2014
"27","['Cedric Peerman']","Questionable: concussion","week_18","Cincinnati Bengals",2014
"28","['Dane Sanzenbacher']","Injured Reserve: concussion","week_18","Cincinnati Bengals",2014
"29","['J.K. Schaffer']","Injured Reserve: concussion","week_18","Cincinnati Bengals",2014
