name,injury,week,team,year
['John Abraham'],NA,week_1,Arizona Cardinals,2014
['Sam Acho'],NA,week_1,Arizona Cardinals,2014
['Lorenzo Alexander'],NA,week_1,Arizona Cardinals,2014
['Marcus Benard'],NA,week_1,Arizona Cardinals,2014
['Justin Bethel'],NA,week_1,Arizona Cardinals,2014
['Desmond Bishop'],NA,week_1,Arizona Cardinals,2014
['Jaron Brown'],NA,week_1,Arizona Cardinals,2014
['John Brown'],NA,week_1,Arizona Cardinals,2014
['Deone Bucannon'],NA,week_1,Arizona Cardinals,2014
['Calais Campbell'],NA,week_1,Arizona Cardinals,2014
['John Carlson'],NA,week_1,Arizona Cardinals,2014
['Glenn Carson'],NA,week_1,Arizona Cardinals,2014
['Jonathan Cooper'],Probable: toe,week_1,Arizona Cardinals,2014
['Antonio Cromartie'],NA,week_1,Arizona Cardinals,2014
['Kenny Demens'],NA,week_1,Arizona Cardinals,2014
['Darnell Dockett'],Injured Reserve: knee,week_1,Arizona Cardinals,2014
['Jonathan Dwyer'],NA,week_1,Arizona Cardinals,2014
['Andre Ellington'],Doubtful: foot,week_1,Arizona Cardinals,2014
['Paul Fanaika'],NA,week_1,Arizona Cardinals,2014
['Larry Fitzgerald'],Probable: knee,week_1,Arizona Cardinals,2014
['Michael Floyd'],NA,week_1,Arizona Cardinals,2014
['Larry Foote'],NA,week_1,Arizona Cardinals,2014
['Rob Housler'],NA,week_1,Arizona Cardinals,2014
['Robert Hughes'],NA,week_1,Arizona Cardinals,2014
['Tony Jefferson'],NA,week_1,Arizona Cardinals,2014
['Rashad Johnson'],NA,week_1,Arizona Cardinals,2014
['Ted Larsen'],NA,week_1,Arizona Cardinals,2014
['Bobby Massie'],NA,week_1,Arizona Cardinals,2014
['Tyrann Mathieu'],Out: knee,week_1,Arizona Cardinals,2014
['Kevin Minter'],Probable: chest,week_1,Arizona Cardinals,2014
['Troy Niklas'],NA,week_1,Arizona Cardinals,2014
['Alex Okafor'],Questionable: thigh,week_1,Arizona Cardinals,2014
['Carson Palmer'],NA,week_1,Arizona Cardinals,2014
['Patrick Peterson'],NA,week_1,Arizona Cardinals,2014
['Frostee Rucker'],Questionable: back,week_1,Arizona Cardinals,2014
['Lyle Sendlein'],NA,week_1,Arizona Cardinals,2014
['Matt Shaughnessy'],NA,week_1,Arizona Cardinals,2014
['Drew Stanton'],NA,week_1,Arizona Cardinals,2014
['Ed Stinson'],NA,week_1,Arizona Cardinals,2014
"[""Alameda Ta'amu""]",NA,week_1,Arizona Cardinals,2014
['Stepfan Taylor'],NA,week_1,Arizona Cardinals,2014
['Jared Veldheer'],NA,week_1,Arizona Cardinals,2014
['Daryl Washington'],Suspended: ,week_1,Arizona Cardinals,2014
['Eddie Whitley'],Injured Reserve: foot,week_1,Arizona Cardinals,2014
['Dan Williams'],NA,week_1,Arizona Cardinals,2014
['Kerwynn Williams'],NA,week_1,Arizona Cardinals,2014
['Dave Zastudil'],Questionable: left groin,week_1,Arizona Cardinals,2014
['John Abraham'],Out: concussion,week_2,Arizona Cardinals,2014
['Sam Acho'],NA,week_2,Arizona Cardinals,2014
['Lorenzo Alexander'],NA,week_2,Arizona Cardinals,2014
['Marcus Benard'],NA,week_2,Arizona Cardinals,2014
['Justin Bethel'],NA,week_2,Arizona Cardinals,2014
['Desmond Bishop'],NA,week_2,Arizona Cardinals,2014
['Jaron Brown'],NA,week_2,Arizona Cardinals,2014
['John Brown'],NA,week_2,Arizona Cardinals,2014
['Deone Bucannon'],NA,week_2,Arizona Cardinals,2014
['Calais Campbell'],NA,week_2,Arizona Cardinals,2014
['John Carlson'],NA,week_2,Arizona Cardinals,2014
['Glenn Carson'],NA,week_2,Arizona Cardinals,2014
['Jonathan Cooper'],NA,week_2,Arizona Cardinals,2014
['Antonio Cromartie'],NA,week_2,Arizona Cardinals,2014
['Kenny Demens'],NA,week_2,Arizona Cardinals,2014
['Darnell Dockett'],Injured Reserve: knee,week_2,Arizona Cardinals,2014
['Jonathan Dwyer'],NA,week_2,Arizona Cardinals,2014
['Andre Ellington'],Questionable: foot,week_2,Arizona Cardinals,2014
['Paul Fanaika'],Questionable: knee,week_2,Arizona Cardinals,2014
['Larry Fitzgerald'],NA,week_2,Arizona Cardinals,2014
['Michael Floyd'],NA,week_2,Arizona Cardinals,2014
['Larry Foote'],NA,week_2,Arizona Cardinals,2014
['Rob Housler'],NA,week_2,Arizona Cardinals,2014
['Robert Hughes'],NA,week_2,Arizona Cardinals,2014
['Tony Jefferson'],NA,week_2,Arizona Cardinals,2014
['Rashad Johnson'],Probable: ankle,week_2,Arizona Cardinals,2014
['Ted Larsen'],NA,week_2,Arizona Cardinals,2014
['Bobby Massie'],NA,week_2,Arizona Cardinals,2014
['Tyrann Mathieu'],Questionable: knee,week_2,Arizona Cardinals,2014
