"","name","injury","week","team","year"
"1","['John Abraham']","Out: concussion","week_2","Arizona Cardinals",2014
"2","['John Abraham']","Doubtful: concussion","week_3","Arizona Cardinals",2014
"3","['John Abraham']","Injured Reserve: concussion","week_5","Arizona Cardinals",2014
"4","['John Abraham']","Injured Reserve: concussion","week_6","Arizona Cardinals",2014
"5","['Drew Stanton']","Questionable: concussion","week_6","Arizona Cardinals",2014
"6","['John Abraham']","Injured Reserve: concussion","week_7","Arizona Cardinals",2014
"7","['John Abraham']","Injured Reserve: concussion","week_8","Arizona Cardinals",2014
"8","['John Abraham']","Injured Reserve: concussion","week_9","Arizona Cardinals",2014
"9","['Tony Jefferson']","Doubtful: concussion","week_9","Arizona Cardinals",2014
"10","['Patrick Peterson']","Probable: concussion","week_9","Arizona Cardinals",2014
"11","['John Abraham']","Injured Reserve: concussion","week_10","Arizona Cardinals",2014
"12","['John Abraham']","Injured Reserve: concussion","week_11","Arizona Cardinals",2014
"13","['John Abraham']","Injured Reserve: concussion","week_12","Arizona Cardinals",2014
"14","['John Abraham']","Injured Reserve: concussion","week_13","Arizona Cardinals",2014
"15","['John Abraham']","Injured Reserve: concussion","week_14","Arizona Cardinals",2014
"16","['John Abraham']","Injured Reserve: concussion","week_15","Arizona Cardinals",2014
"17","['John Abraham']","Injured Reserve: concussion","week_16","Arizona Cardinals",2014
"18","['John Abraham']","Injured Reserve: concussion","week_17","Arizona Cardinals",2014
"19","['John Abraham']","Injured Reserve: concussion","week_18","Arizona Cardinals",2014
