"","name","injury","week","team","year"
"1","['A.J. Jenkins']","Questionable: concussion","week_1","Kansas City Chiefs",2014
"2","['Phillip Gaines']","Probable: concussion","week_7","Kansas City Chiefs",2014
"3","['Junior Hemingway']","Questionable: concussion","week_13","Kansas City Chiefs",2014
"4","['Allen Bailey']","Questionable: concussion","week_14","Kansas City Chiefs",2014
"5","['Junior Hemingway']","Questionable: concussion","week_14","Kansas City Chiefs",2014
"6","['Allen Bailey']","Questionable: concussion","week_15","Kansas City Chiefs",2014
"7","['Phillip Gaines']","Doubtful: concussion","week_15","Kansas City Chiefs",2014
"8","['Junior Hemingway']","Probable: concussion","week_15","Kansas City Chiefs",2014
"9","['Allen Bailey']","Probable: concussion","week_16","Kansas City Chiefs",2014
"10","['Phillip Gaines']","Probable: concussion","week_16","Kansas City Chiefs",2014
