name,injury,week,team,year
['Robert Alford'],NA,week_1,Atlanta Falcons,2014
['Jon Asamoah'],NA,week_1,Atlanta Falcons,2014
['Jonathan Babineaux'],NA,week_1,Atlanta Falcons,2014
['Sam Baker'],Injured Reserve: knee,week_1,Atlanta Falcons,2014
['Justin Blalock'],NA,week_1,Atlanta Falcons,2014
['Matt Bryant'],NA,week_1,Atlanta Falcons,2014
['Gabe Carimi'],NA,week_1,Atlanta Falcons,2014
['Drew Davis'],Physically Unable to Perform: foot,week_1,Atlanta Falcons,2014
['Patrick DiMarco'],NA,week_1,Atlanta Falcons,2014
['Harry Douglas'],NA,week_1,Atlanta Falcons,2014
['Joe Hawley'],NA,week_1,Atlanta Falcons,2014
['Devin Hester'],NA,week_1,Atlanta Falcons,2014
['Lamar Holmes'],NA,week_1,Atlanta Falcons,2014
['Kemal Ishmael'],NA,week_1,Atlanta Falcons,2014
['Steven Jackson'],NA,week_1,Atlanta Falcons,2014
['Mike Johnson'],Injured Reserve: foot,week_1,Atlanta Falcons,2014
['Julio Jones'],NA,week_1,Atlanta Falcons,2014
['Peter Konz'],NA,week_1,Atlanta Falcons,2014
['Stansly Maponga'],NA,week_1,Atlanta Falcons,2014
['Jonathan Massaquoi'],NA,week_1,Atlanta Falcons,2014
['Jake Matthews'],Questionable: ankle,week_1,Atlanta Falcons,2014
['Robert McClain'],NA,week_1,Atlanta Falcons,2014
['William Moore'],NA,week_1,Atlanta Falcons,2014
['Zeke Motta'],Physically Unable to Perform: neck,week_1,Atlanta Falcons,2014
['Corey Peters'],Probable: achilles,week_1,Atlanta Falcons,2014
['Jonathan Scott'],NA,week_1,Atlanta Falcons,2014
['Prince Shembo'],NA,week_1,Atlanta Falcons,2014
['Antone Smith'],NA,week_1,Atlanta Falcons,2014
['Paul Soliai'],NA,week_1,Atlanta Falcons,2014
['Dezmen Southward'],Probable: concussion,week_1,Atlanta Falcons,2014
['Marquis Spruill'],Injured Reserve: knee,week_1,Atlanta Falcons,2014
['Nathan Stupar'],NA,week_1,Atlanta Falcons,2014
['Sean Weatherspoon'],Injured Reserve: Achilles,week_1,Atlanta Falcons,2014
['Roddy White'],Questionable: knee,week_1,Atlanta Falcons,2014
['Josh Wilson'],NA,week_1,Atlanta Falcons,2014
['Robert Alford'],NA,week_2,Atlanta Falcons,2014
['Jon Asamoah'],NA,week_2,Atlanta Falcons,2014
['Jonathan Babineaux'],NA,week_2,Atlanta Falcons,2014
['Sam Baker'],Injured Reserve: knee,week_2,Atlanta Falcons,2014
['Justin Blalock'],NA,week_2,Atlanta Falcons,2014
['Matt Bryant'],NA,week_2,Atlanta Falcons,2014
['Gabe Carimi'],NA,week_2,Atlanta Falcons,2014
['Drew Davis'],Physically Unable to Perform: foot,week_2,Atlanta Falcons,2014
['Patrick DiMarco'],NA,week_2,Atlanta Falcons,2014
['Harry Douglas'],NA,week_2,Atlanta Falcons,2014
['Joe Hawley'],NA,week_2,Atlanta Falcons,2014
['Devin Hester'],NA,week_2,Atlanta Falcons,2014
['Lamar Holmes'],NA,week_2,Atlanta Falcons,2014
['Kemal Ishmael'],NA,week_2,Atlanta Falcons,2014
['Steven Jackson'],NA,week_2,Atlanta Falcons,2014
['Mike Johnson'],Injured Reserve: foot,week_2,Atlanta Falcons,2014
['Julio Jones'],NA,week_2,Atlanta Falcons,2014
['Peter Konz'],NA,week_2,Atlanta Falcons,2014
['Stansly Maponga'],NA,week_2,Atlanta Falcons,2014
['Jonathan Massaquoi'],NA,week_2,Atlanta Falcons,2014
['Jake Matthews'],Doubtful: ankle,week_2,Atlanta Falcons,2014
['Robert McClain'],NA,week_2,Atlanta Falcons,2014
['William Moore'],NA,week_2,Atlanta Falcons,2014
['Zeke Motta'],Physically Unable to Perform: neck,week_2,Atlanta Falcons,2014
['Corey Peters'],NA,week_2,Atlanta Falcons,2014
['Jonathan Scott'],NA,week_2,Atlanta Falcons,2014
['Prince Shembo'],NA,week_2,Atlanta Falcons,2014
['Antone Smith'],NA,week_2,Atlanta Falcons,2014
['Paul Soliai'],NA,week_2,Atlanta Falcons,2014
['Dezmen Southward'],NA,week_2,Atlanta Falcons,2014
['Marquis Spruill'],Injured Reserve: knee,week_2,Atlanta Falcons,2014
['Nathan Stupar'],NA,week_2,Atlanta Falcons,2014
['Sean Weatherspoon'],Injured Reserve: Achilles,week_2,Atlanta Falcons,2014
['Roddy White'],Probable: knee,week_2,Atlanta Falcons,2014
['Josh Wilson'],NA,week_2,Atlanta Falcons,2014
['Robert Alford'],NA,week_3,Atlanta Falcons,2014
['Jon Asamoah'],NA,week_3,Atlanta Falcons,2014
['Jonathan Babineaux'],NA,week_3,Atlanta Falcons,2014
['Sam Baker'],Injured Reserve: knee,week_3,Atlanta Falcons,2014
['Justin Blalock'],NA,week_3,Atlanta Falcons,2014
['Matt Bryant'],NA,week_3,Atlanta Falcons,2014
['Gabe Carimi'],NA,week_3,Atlanta Falcons,2014
['Drew Davis'],Physically Unable to Perform: foot,week_3,Atlanta Falcons,2014
['Patrick DiMarco'],NA,week_3,Atlanta Falcons,2014
['Harry Douglas'],NA,week_3,Atlanta Falcons,2014
['Joe Hawley'],NA,week_3,Atlanta Falcons,2014
['Devin Hester'],NA,week_3,Atlanta Falcons,2014
['Lamar Holmes'],NA,week_3,Atlanta Falcons,2014
['Kemal Ishmael'],NA,week_3,Atlanta Falcons,2014
['Steven Jackson'],NA,week_3,Atlanta Falcons,2014
['Mike Johnson'],Injured Reserve: foot,week_3,Atlanta Falcons,2014
['Julio Jones'],Probable: ankle,week_3,Atlanta Falcons,2014
['Peter Konz'],NA,week_3,Atlanta Falcons,2014
['Stansly Maponga'],NA,week_3,Atlanta Falcons,2014
['Jonathan Massaquoi'],NA,week_3,Atlanta Falcons,2014
['Jake Matthews'],Questionable: ankle,week_3,Atlanta Falcons,2014
['Robert McClain'],NA,week_3,Atlanta Falcons,2014
['William Moore'],NA,week_3,Atlanta Falcons,2014
['Zeke Motta'],Physically Unable to Perform: neck,week_3,Atlanta Falcons,2014
['Corey Peters'],NA,week_3,Atlanta Falcons,2014
['Jonathan Scott'],NA,week_3,Atlanta Falcons,2014
