name,injury,week,team,year
['Bryan Anger'],Questionable: groin,week_1,Jacksonville Jaguars,2014
['Alan Ball'],NA,week_1,Jacksonville Jaguars,2014
['Brandon Barden'],Injured Reserve: groin,week_1,Jacksonville Jaguars,2014
['Zane Beadles'],Questionable: calf,week_1,Jacksonville Jaguars,2014
['Deion Belue'],Injured Reserve: back,week_1,Jacksonville Jaguars,2014
['Justin Blackmon'],Suspended: ,week_1,Jacksonville Jaguars,2014
['Will Blackmon'],NA,week_1,Jacksonville Jaguars,2014
['Blake Bortles'],NA,week_1,Jacksonville Jaguars,2014
['Luke Bowanko'],Probable: quadriceps,week_1,Jacksonville Jaguars,2014
['Andre Branch'],NA,week_1,Jacksonville Jaguars,2014
['Chris Clemons'],NA,week_1,Jacksonville Jaguars,2014
['Aaron Colvin'],Out: knee,week_1,Jacksonville Jaguars,2014
['Damian Copeland'],Injured Reserve: wrist,week_1,Jacksonville Jaguars,2014
['Johnathan Cyprien'],NA,week_1,Jacksonville Jaguars,2014
['Ryan Davis'],NA,week_1,Jacksonville Jaguars,2014
['Tandon Doss'],Injured Reserve: ankle,week_1,Jacksonville Jaguars,2014
['Josh Evans'],NA,week_1,Jacksonville Jaguars,2014
['Bradie Ewing'],Injured Reserve: wrist,week_1,Jacksonville Jaguars,2014
['Khairi Fortt'],NA,week_1,Jacksonville Jaguars,2014
['Jeremiah George'],NA,week_1,Jacksonville Jaguars,2014
['Toby Gerhart'],NA,week_1,Jacksonville Jaguars,2014
['Dwayne Gratz'],NA,week_1,Jacksonville Jaguars,2014
['Winston Guy'],NA,week_1,Jacksonville Jaguars,2014
['Clay Harbor'],Out: calf,week_1,Jacksonville Jaguars,2014
['Geno Hayes'],NA,week_1,Jacksonville Jaguars,2014
['Allen Hurns'],NA,week_1,Jacksonville Jaguars,2014
['Luke Joeckel'],NA,week_1,Jacksonville Jaguars,2014
['Storm Johnson'],Questionable: ankle,week_1,Jacksonville Jaguars,2014
['Abry Jones'],NA,week_1,Jacksonville Jaguars,2014
['Reggie Jordan'],Injured Reserve: hamstring,week_1,Jacksonville Jaguars,2014
['Marqise Lee'],NA,week_1,Jacksonville Jaguars,2014
['Marcedes Lewis'],NA,week_1,Jacksonville Jaguars,2014
['Brandon Linder'],NA,week_1,Jacksonville Jaguars,2014
['Craig Loston'],NA,week_1,Jacksonville Jaguars,2014
['John Lotulelei'],Injured Reserve: knee,week_1,Jacksonville Jaguars,2014
"[""Sen'Derrick Marks""]",Questionable: shoulder,week_1,Jacksonville Jaguars,2014
['Sherrod Martin'],NA,week_1,Jacksonville Jaguars,2014
['Demetrius McCray'],NA,week_1,Jacksonville Jaguars,2014
['Roy Miller'],NA,week_1,Jacksonville Jaguars,2014
['Fendi Onobun'],Injured Reserve: quadriceps,week_1,Jacksonville Jaguars,2014
['Austin Pasztor'],Questionable: hand,week_1,Jacksonville Jaguars,2014
['Paul Posluszny'],NA,week_1,Jacksonville Jaguars,2014
['Chris Prosinski'],NA,week_1,Jacksonville Jaguars,2014
['LaRoy Reynolds'],NA,week_1,Jacksonville Jaguars,2014
['Rashaad Reynolds'],Injured Reserve: hand,week_1,Jacksonville Jaguars,2014
['Allen Robinson'],Questionable: hamstring,week_1,Jacksonville Jaguars,2014
['Denard Robinson'],NA,week_1,Jacksonville Jaguars,2014
['Ace Sanders'],Suspended: ,week_1,Jacksonville Jaguars,2014
['Josh Scobee'],Probable: groin,week_1,Jacksonville Jaguars,2014
['Cecil Shorts'],Questionable: hamstring,week_1,Jacksonville Jaguars,2014
['Mickey Shuler'],NA,week_1,Jacksonville Jaguars,2014
['Nathan Slaughter'],Injured Reserve: foot,week_1,Jacksonville Jaguars,2014
['Tommy Streeter'],NA,week_1,Jacksonville Jaguars,2014
