name,injury,week,team,year
['Danny Aiken'],NA,week_1,New England Patriots,2014
['Kyle Arrington'],NA,week_1,New England Patriots,2014
['Akeem Ayers'],NA,week_1,New England Patriots,2014
['LeGarrette Blount'],NA,week_1,New England Patriots,2014
['Tom Brady'],Probable: calf,week_1,New England Patriots,2014
['Brandon Browner'],Suspended: ,week_1,New England Patriots,2014
['Michael Buchanan'],Questionable: ankle,week_1,New England Patriots,2014
['Marcus Cannon'],NA,week_1,New England Patriots,2014
['Jonathan Casillas'],NA,week_1,New England Patriots,2014
['Jamie Collins'],NA,week_1,New England Patriots,2014
['Dan Connolly'],NA,week_1,New England Patriots,2014
['Alfonzo Dennard'],NA,week_1,New England Patriots,2014
['Aaron Dobson'],NA,week_1,New England Patriots,2014
['Dominique Easley'],NA,week_1,New England Patriots,2014
['Nate Ebner'],NA,week_1,New England Patriots,2014
['Julian Edelman'],NA,week_1,New England Patriots,2014
['Cameron Fleming'],NA,week_1,New England Patriots,2014
['Tyler Gaffney'],Injured Reserve: knee ,week_1,New England Patriots,2014
['Cameron Gordon'],Injured Reserve: undisclosed,week_1,New England Patriots,2014
['Jonas Gray'],NA,week_1,New England Patriots,2014
['Rob Gronkowski'],Questionable: knee,week_1,New England Patriots,2014
"[""Dont'a Hightower""]",NA,week_1,New England Patriots,2014
['Chandler Jones'],NA,week_1,New England Patriots,2014
['Chris Jones'],Questionable: ankle,week_1,New England Patriots,2014
['Don Jones'],NA,week_1,New England Patriots,2014
['Brandon LaFell'],NA,week_1,New England Patriots,2014
['Jerod Mayo'],NA,week_1,New England Patriots,2014
['Devin McCourty'],NA,week_1,New England Patriots,2014
['Terrence Miller'],Injured Reserve: undisclosed,week_1,New England Patriots,2014
['James Morris'],Injured Reserve: ankle,week_1,New England Patriots,2014
['Rob Ninkovich'],NA,week_1,New England Patriots,2014
['Greg Orton'],Injured Reserve: Achilles,week_1,New England Patriots,2014
['Darrelle Revis'],NA,week_1,New England Patriots,2014
['Stevan Ridley'],NA,week_1,New England Patriots,2014
['Sealver Siliga'],Questionable: hand,week_1,New England Patriots,2014
['Matthew Slater'],NA,week_1,New England Patriots,2014
['Nate Solder'],NA,week_1,New England Patriots,2014
['Bryan Stork'],NA,week_1,New England Patriots,2014
['Brian Tyms'],Suspended: ,week_1,New England Patriots,2014
['Shane Vereen'],NA,week_1,New England Patriots,2014
['Ryan Wendell'],NA,week_1,New England Patriots,2014
['Chris White'],NA,week_1,New England Patriots,2014
['Danny Aiken'],NA,week_2,New England Patriots,2014
['Kyle Arrington'],NA,week_2,New England Patriots,2014
['Akeem Ayers'],NA,week_2,New England Patriots,2014
['LeGarrette Blount'],NA,week_2,New England Patriots,2014
['Tom Brady'],NA,week_2,New England Patriots,2014
['Brandon Browner'],Suspended: ,week_2,New England Patriots,2014
['Michael Buchanan'],Questionable: ankle,week_2,New England Patriots,2014
['Marcus Cannon'],NA,week_2,New England Patriots,2014
['Jonathan Casillas'],NA,week_2,New England Patriots,2014
['Jamie Collins'],Questionable: thigh,week_2,New England Patriots,2014
['Dan Connolly'],NA,week_2,New England Patriots,2014
['Alfonzo Dennard'],NA,week_2,New England Patriots,2014
['Aaron Dobson'],NA,week_2,New England Patriots,2014
['Dominique Easley'],NA,week_2,New England Patriots,2014
['Nate Ebner'],NA,week_2,New England Patriots,2014
['Julian Edelman'],NA,week_2,New England Patriots,2014
['Cameron Fleming'],NA,week_2,New England Patriots,2014
['Tyler Gaffney'],Injured Reserve: knee ,week_2,New England Patriots,2014
['Cameron Gordon'],Injured Reserve: undisclosed,week_2,New England Patriots,2014
['Jonas Gray'],NA,week_2,New England Patriots,2014
['Rob Gronkowski'],Probable: knee,week_2,New England Patriots,2014
"[""Dont'a Hightower""]",NA,week_2,New England Patriots,2014
['Chandler Jones'],NA,week_2,New England Patriots,2014
['Chris Jones'],Questionable: ankle,week_2,New England Patriots,2014
['Don Jones'],NA,week_2,New England Patriots,2014
['Brandon LaFell'],NA,week_2,New England Patriots,2014
['Jerod Mayo'],NA,week_2,New England Patriots,2014
['Devin McCourty'],NA,week_2,New England Patriots,2014
['Terrence Miller'],Injured Reserve: undisclosed,week_2,New England Patriots,2014
['James Morris'],Injured Reserve: ankle,week_2,New England Patriots,2014
['Rob Ninkovich'],NA,week_2,New England Patriots,2014
['Greg Orton'],Injured Reserve: Achilles,week_2,New England Patriots,2014
['Darrelle Revis'],NA,week_2,New England Patriots,2014
['Stevan Ridley'],NA,week_2,New England Patriots,2014
['Sealver Siliga'],Questionable: hand,week_2,New England Patriots,2014
['Matthew Slater'],NA,week_2,New England Patriots,2014
['Nate Solder'],NA,week_2,New England Patriots,2014
['Bryan Stork'],NA,week_2,New England Patriots,2014
['Brian Tyms'],Suspended: ,week_2,New England Patriots,2014
['Shane Vereen'],NA,week_2,New England Patriots,2014
['Ryan Wendell'],Questionable: knee,week_2,New England Patriots,2014
['Chris White'],NA,week_2,New England Patriots,2014
['Danny Aiken'],NA,week_3,New England Patriots,2014
['Kyle Arrington'],NA,week_3,New England Patriots,2014
['Akeem Ayers'],NA,week_3,New England Patriots,2014
['LeGarrette Blount'],NA,week_3,New England Patriots,2014
['Tom Brady'],NA,week_3,New England Patriots,2014
['Brandon Browner'],Suspended: ,week_3,New England Patriots,2014
['Michael Buchanan'],Questionable: ankle,week_3,New England Patriots,2014
['Marcus Cannon'],NA,week_3,New England Patriots,2014
['Jonathan Casillas'],NA,week_3,New England Patriots,2014
['Jamie Collins'],Questionable: thigh,week_3,New England Patriots,2014
['Dan Connolly'],Questionable: knee,week_3,New England Patriots,2014
['Alfonzo Dennard'],Questionable: shoulder,week_3,New England Patriots,2014
['Aaron Dobson'],NA,week_3,New England Patriots,2014
['Dominique Easley'],NA,week_3,New England Patriots,2014
['Nate Ebner'],NA,week_3,New England Patriots,2014
['Julian Edelman'],Probable: back,week_3,New England Patriots,2014
['Cameron Fleming'],NA,week_3,New England Patriots,2014
['Tyler Gaffney'],Injured Reserve: knee ,week_3,New England Patriots,2014
['Cameron Gordon'],Injured Reserve: undisclosed,week_3,New England Patriots,2014
['Jonas Gray'],NA,week_3,New England Patriots,2014
['Rob Gronkowski'],Probable: knee,week_3,New England Patriots,2014
"[""Dont'a Hightower""]",NA,week_3,New England Patriots,2014
['Chandler Jones'],NA,week_3,New England Patriots,2014
['Chris Jones'],NA,week_3,New England Patriots,2014
['Don Jones'],Questionable: hamstring,week_3,New England Patriots,2014
['Brandon LaFell'],NA,week_3,New England Patriots,2014
['Jerod Mayo'],NA,week_3,New England Patriots,2014
['Devin McCourty'],NA,week_3,New England Patriots,2014
['Terrence Miller'],Injured Reserve: undisclosed,week_3,New England Patriots,2014
['James Morris'],Injured Reserve: ankle,week_3,New England Patriots,2014
['Rob Ninkovich'],NA,week_3,New England Patriots,2014
['Greg Orton'],Injured Reserve: Achilles,week_3,New England Patriots,2014
['Darrelle Revis'],NA,week_3,New England Patriots,2014
['Stevan Ridley'],NA,week_3,New England Patriots,2014
['Sealver Siliga'],Questionable: hand,week_3,New England Patriots,2014
['Matthew Slater'],NA,week_3,New England Patriots,2014
['Nate Solder'],NA,week_3,New England Patriots,2014
['Bryan Stork'],NA,week_3,New England Patriots,2014
['Brian Tyms'],Suspended: ,week_3,New England Patriots,2014
['Shane Vereen'],Probable: shoulder,week_3,New England Patriots,2014
['Ryan Wendell'],Questionable: knee,week_3,New England Patriots,2014
['Chris White'],NA,week_3,New England Patriots,2014
['Danny Aiken'],NA,week_4,New England Patriots,2014
['Kyle Arrington'],NA,week_4,New England Patriots,2014
['Akeem Ayers'],NA,week_4,New England Patriots,2014
['LeGarrette Blount'],NA,week_4,New England Patriots,2014
['Tom Brady'],NA,week_4,New England Patriots,2014
['Brandon Browner'],Suspended: ,week_4,New England Patriots,2014
['Michael Buchanan'],Questionable: ankle,week_4,New England Patriots,2014
['Marcus Cannon'],NA,week_4,New England Patriots,2014
['Jonathan Casillas'],NA,week_4,New England Patriots,2014
['Jamie Collins'],Questionable: thigh,week_4,New England Patriots,2014
['Dan Connolly'],Questionable: foot,week_4,New England Patriots,2014
['Alfonzo Dennard'],Questionable: shoulder,week_4,New England Patriots,2014
['Aaron Dobson'],NA,week_4,New England Patriots,2014
['Dominique Easley'],NA,week_4,New England Patriots,2014
['Nate Ebner'],NA,week_4,New England Patriots,2014
['Julian Edelman'],NA,week_4,New England Patriots,2014
['Cameron Fleming'],NA,week_4,New England Patriots,2014
['Tyler Gaffney'],Injured Reserve: knee ,week_4,New England Patriots,2014
['Cameron Gordon'],Injured Reserve: undisclosed,week_4,New England Patriots,2014
['Jonas Gray'],NA,week_4,New England Patriots,2014
['Rob Gronkowski'],Probable: knee,week_4,New England Patriots,2014
"[""Dont'a Hightower""]",NA,week_4,New England Patriots,2014
['Chandler Jones'],NA,week_4,New England Patriots,2014
