"","name","injury","week","team","year"
"1","['Will Yeatman']","Injured Reserve: concussion","week_1","Houston Texans",2014
"2","['Will Yeatman']","Injured Reserve: concussion","week_2","Houston Texans",2014
"3","['Will Yeatman']","Injured Reserve: concussion","week_3","Houston Texans",2014
"4","['Will Yeatman']","Injured Reserve: concussion","week_4","Houston Texans",2014
"5","['Will Yeatman']","Injured Reserve: concussion","week_5","Houston Texans",2014
"6","['Will Yeatman']","Injured Reserve: concussion","week_6","Houston Texans",2014
"7","['Will Yeatman']","Injured Reserve: concussion","week_7","Houston Texans",2014
"8","['Will Yeatman']","Injured Reserve: concussion","week_8","Houston Texans",2014
"9","['Will Yeatman']","Injured Reserve: concussion","week_9","Houston Texans",2014
"10","['Johnathan Joseph']","Probable: concussion/knee","week_11","Houston Texans",2014
"11","['Will Yeatman']","Injured Reserve: concussion","week_11","Houston Texans",2014
"12","['Will Yeatman']","Injured Reserve: concussion","week_12","Houston Texans",2014
"13","['Will Yeatman']","Injured Reserve: concussion","week_13","Houston Texans",2014
"14","['Will Yeatman']","Injured Reserve: concussion","week_14","Houston Texans",2014
"15","['Andre Johnson']","Questionable: concussion","week_15","Houston Texans",2014
"16","['Will Yeatman']","Injured Reserve: concussion","week_15","Houston Texans",2014
"17","['Andre Johnson']","Probable: concussion","week_16","Houston Texans",2014
"18","['Mike Mohamed']","Out: concussion","week_16","Houston Texans",2014
"19","['Will Yeatman']","Injured Reserve: concussion","week_16","Houston Texans",2014
"20","['Mike Mohamed']","Questionable: concussion","week_17","Houston Texans",2014
"21","['Will Yeatman']","Injured Reserve: concussion","week_17","Houston Texans",2014
