"","name","injury","week","team","year"
"1","['Jimmy Clausen']","Probable: Concussion","week_1","Chicago Bears",2015
"2","['Eddie Goldman']","Probable: Concussion","week_1","Chicago Bears",2015
"3","['Jermon Bushrod']","Out: Concussion","week_4","Chicago Bears",2015
"4","['Jermon Bushrod']","Out: Concussion","week_5","Chicago Bears",2015
"5","['Bryce Callahan']","Questionable: Concussion","week_9","Chicago Bears",2015
"6","[""Ka'Deem Carey""]","Out: Concussion","week_12","Chicago Bears",2015
"7","[""Ka'Deem Carey""]","Probable: Concussion","week_13","Chicago Bears",2015
"8","['Sherrick McManis']","Questionable: Concussion","week_15","Chicago Bears",2015
"9","['Shea McClellin']","Doubtful: Concussion","week_16","Chicago Bears",2015
"10","['Shea McClellin']","Questionable: Concussion","week_17","Chicago Bears",2015
