"","name","injury","week","team","year"
"1","['Andre Smith']","Out: Concussion","week_9","Cincinnati Bengals",2015
"2","['Andre Smith']","Out: Concussion","week_10","Cincinnati Bengals",2015
"3","['Andre Smith']","Probable: Concussion","week_11","Cincinnati Bengals",2015
"4","['Jake Fisher']","Doubtful: Concussion","week_14","Cincinnati Bengals",2015
"5","['Tyler Eifert']","Out: Concussion","week_15","Cincinnati Bengals",2015
"6","['Jake Fisher']","Out: Concussion","week_15","Cincinnati Bengals",2015
"7","['Tyler Eifert']","Out: Concussion","week_16","Cincinnati Bengals",2015
"8","['Jake Fisher']","Probable: Concussion","week_16","Cincinnati Bengals",2015
"9","['Tyler Eifert']","Probable: Concussion","week_17","Cincinnati Bengals",2015
"10","['Leon Hall']","Probable: concussion, back","week_18","Cincinnati Bengals",2015
