name,injury,week,team,year
['Nigel Bradham'],NA,week_1,Buffalo Bills,2015
['Ron Brooks'],NA,week_1,Buffalo Bills,2015
['Preston Brown'],NA,week_1,Buffalo Bills,2015
['Dan Carpenter'],NA,week_1,Buffalo Bills,2015
['Alex Carrington'],NA,week_1,Buffalo Bills,2015
['Stefan Charles'],NA,week_1,Buffalo Bills,2015
['Charles Clay'],Probable: Knee,week_1,Buffalo Bills,2015
['Ronald Darby'],NA,week_1,Buffalo Bills,2015
['Marcell Dareus'],NA,week_1,Buffalo Bills,2015
['Anthony Dixon'],NA,week_1,Buffalo Bills,2015
['Marcus Easley'],NA,week_1,Buffalo Bills,2015
['Jerome Felton'],NA,week_1,Buffalo Bills,2015
['Stephon Gilmore'],NA,week_1,Buffalo Bills,2015
['Cordy Glenn'],NA,week_1,Buffalo Bills,2015
['Marquise Goodwin'],Out: Ribs,week_1,Buffalo Bills,2015
['Corey Graham'],NA,week_1,Buffalo Bills,2015
['MarQueis Gray'],NA,week_1,Buffalo Bills,2015
['Percy Harvin'],Probable: Hip,week_1,Buffalo Bills,2015
['Seantrel Henderson'],NA,week_1,Buffalo Bills,2015
['Chris Hogan'],Probable: Knee,week_1,Buffalo Bills,2015
['Jerry Hughes'],NA,week_1,Buffalo Bills,2015
['Richie Incognito'],NA,week_1,Buffalo Bills,2015
['Randell Johnson'],NA,week_1,Buffalo Bills,2015
['Cyrus Kouandjio'],NA,week_1,Buffalo Bills,2015
['LeSean McCoy'],Probable: Hamstring,week_1,Buffalo Bills,2015
['Leodis McKelvin'],Injured Reserve: Knee,week_1,Buffalo Bills,2015
['John Miller'],NA,week_1,Buffalo Bills,2015
['Ty Powell'],Injured Reserve: Knee,week_1,Buffalo Bills,2015
['Walt Powell'],NA,week_1,Buffalo Bills,2015
['Bacarri Rambo'],NA,week_1,Buffalo Bills,2015
['Colton Schmidt'],NA,week_1,Buffalo Bills,2015
['Tony Steward'],Out: Knee,week_1,Buffalo Bills,2015
['A.J. Tarpley'],NA,week_1,Buffalo Bills,2015
['Tyrod Taylor'],NA,week_1,Buffalo Bills,2015
['Sammy Watkins'],Probable: Hamstring,week_1,Buffalo Bills,2015
['Aaron Williams'],NA,week_1,Buffalo Bills,2015
['Karlos Williams'],NA,week_1,Buffalo Bills,2015
['Kyle Williams'],NA,week_1,Buffalo Bills,2015
['Mario Williams'],Probable: Calf,week_1,Buffalo Bills,2015
['Cierre Wood'],NA,week_1,Buffalo Bills,2015
['Eric Wood'],NA,week_1,Buffalo Bills,2015
['Robert Woods'],Probable: Hip,week_1,Buffalo Bills,2015
['Jarius Wynn'],Injured Reserve: Knee,week_1,Buffalo Bills,2015
['Nigel Bradham'],NA,week_2,Buffalo Bills,2015
['Ron Brooks'],NA,week_2,Buffalo Bills,2015
['Preston Brown'],NA,week_2,Buffalo Bills,2015
['Dan Carpenter'],NA,week_2,Buffalo Bills,2015
['Alex Carrington'],NA,week_2,Buffalo Bills,2015
['Stefan Charles'],NA,week_2,Buffalo Bills,2015
['Charles Clay'],NA,week_2,Buffalo Bills,2015
['Ronald Darby'],NA,week_2,Buffalo Bills,2015
['Marcell Dareus'],NA,week_2,Buffalo Bills,2015
['Anthony Dixon'],NA,week_2,Buffalo Bills,2015
['Marcus Easley'],NA,week_2,Buffalo Bills,2015
['Jerome Felton'],NA,week_2,Buffalo Bills,2015
['Stephon Gilmore'],NA,week_2,Buffalo Bills,2015
['Cordy Glenn'],NA,week_2,Buffalo Bills,2015
['Marquise Goodwin'],Out: Ribs,week_2,Buffalo Bills,2015
['Corey Graham'],Probable: Concussion,week_2,Buffalo Bills,2015
['MarQueis Gray'],NA,week_2,Buffalo Bills,2015
['Percy Harvin'],Probable: Hip,week_2,Buffalo Bills,2015
['Seantrel Henderson'],NA,week_2,Buffalo Bills,2015
['Chris Hogan'],NA,week_2,Buffalo Bills,2015
['Jerry Hughes'],NA,week_2,Buffalo Bills,2015
['Richie Incognito'],NA,week_2,Buffalo Bills,2015
['Randell Johnson'],NA,week_2,Buffalo Bills,2015
['Cyrus Kouandjio'],NA,week_2,Buffalo Bills,2015
['LeSean McCoy'],Questionable: Hamstring,week_2,Buffalo Bills,2015
['Leodis McKelvin'],Injured Reserve: Knee,week_2,Buffalo Bills,2015
['John Miller'],NA,week_2,Buffalo Bills,2015
['Ty Powell'],Injured Reserve: Knee,week_2,Buffalo Bills,2015
['Walt Powell'],NA,week_2,Buffalo Bills,2015
['Bacarri Rambo'],NA,week_2,Buffalo Bills,2015
['Colton Schmidt'],NA,week_2,Buffalo Bills,2015
['Tony Steward'],Out: Knee,week_2,Buffalo Bills,2015
['A.J. Tarpley'],NA,week_2,Buffalo Bills,2015
['Tyrod Taylor'],NA,week_2,Buffalo Bills,2015
['Sammy Watkins'],NA,week_2,Buffalo Bills,2015
['Aaron Williams'],NA,week_2,Buffalo Bills,2015
['Karlos Williams'],NA,week_2,Buffalo Bills,2015
['Kyle Williams'],NA,week_2,Buffalo Bills,2015
['Mario Williams'],NA,week_2,Buffalo Bills,2015
['Cierre Wood'],NA,week_2,Buffalo Bills,2015
['Eric Wood'],NA,week_2,Buffalo Bills,2015
['Robert Woods'],NA,week_2,Buffalo Bills,2015
['Jarius Wynn'],Injured Reserve: Knee,week_2,Buffalo Bills,2015
['Nigel Bradham'],NA,week_3,Buffalo Bills,2015
['Ron Brooks'],NA,week_3,Buffalo Bills,2015
['Preston Brown'],NA,week_3,Buffalo Bills,2015
['Dan Carpenter'],Probable: Abdomen,week_3,Buffalo Bills,2015
['Alex Carrington'],NA,week_3,Buffalo Bills,2015
