"","name","injury","week","team","year"
"1","['Corey Graham']","Probable: Concussion","week_2","Buffalo Bills",2015
"2","['Karlos Williams']","Out: Concussion","week_5","Buffalo Bills",2015
"3","['Karlos Williams']","Out: Concussion","week_6","Buffalo Bills",2015
"4","['Seantrel Henderson']","Out: Concussion","week_7","Buffalo Bills",2015
"5","['Karlos Williams']","Out: Concussion","week_7","Buffalo Bills",2015
"6","['Seantrel Henderson']","Probable: Concussion","week_9","Buffalo Bills",2015
"7","['A.J. Tarpley']","Probable: Concussion","week_9","Buffalo Bills",2015
"8","['Karlos Williams']","Probable: Concussion","week_9","Buffalo Bills",2015
"9","['Marcus Easley']","Out: Concussion","week_12","Buffalo Bills",2015
"10","['Marcus Easley']","Probable: Concussion","week_13","Buffalo Bills",2015
"11","['Ron Brooks']","Out: Concussion","week_14","Buffalo Bills",2015
"12","['Ron Brooks']","Out: Concussion","week_15","Buffalo Bills",2015
