name,injury,week,team,year
['Antonio Allen'],Injured Reserve: Achilles,week_1,New York Jets,2015
['Jace Amaro'],Injured Reserve: Shoulder,week_1,New York Jets,2015
['Dion Bailey'],NA,week_1,New York Jets,2015
['T.J. Barnes'],NA,week_1,New York Jets,2015
['Tommy Bohanon'],NA,week_1,New York Jets,2015
['Stephen Bowen'],Probable: Knee,week_1,New York Jets,2015
['James Carpenter'],Probable: Back,week_1,New York Jets,2015
['Mike Catapano'],NA,week_1,New York Jets,2015
['Willie Colon'],Probable: Knee,week_1,New York Jets,2015
['Quinton Coples'],NA,week_1,New York Jets,2015
['Antonio Cromartie'],Probable: Hip,week_1,New York Jets,2015
['Jeff Cumberland'],NA,week_1,New York Jets,2015
['Demario Davis'],NA,week_1,New York Jets,2015
['Kellen Davis'],NA,week_1,New York Jets,2015
['Eric Decker'],NA,week_1,New York Jets,2015
['Leger Douzable'],NA,week_1,New York Jets,2015
['Quincy Enunwa'],NA,week_1,New York Jets,2015
['Ryan Fitzpatrick'],NA,week_1,New York Jets,2015
['Nick Folk'],NA,week_1,New York Jets,2015
['Breno Giacomini'],NA,week_1,New York Jets,2015
['David Harris'],NA,week_1,New York Jets,2015
['Damon Harrison'],NA,week_1,New York Jets,2015
['Erin Henderson'],Probable: Knee,week_1,New York Jets,2015
['Ben Ijalana'],Probable: Knee,week_1,New York Jets,2015
['Chris Ivory'],Probable: Knee,week_1,New York Jets,2015
['Jaiquawn Jarrett'],Probable: Shoulder,week_1,New York Jets,2015
['Jeremy Kerley'],Probable: Concussion,week_1,New York Jets,2015
['Jamari Lattimore'],NA,week_1,New York Jets,2015
['Nick Mangold'],NA,week_1,New York Jets,2015
['Brandon Marshall'],NA,week_1,New York Jets,2015
['Ronald Martin'],NA,week_1,New York Jets,2015
['Lorenzo Mauldin'],Probable: Knee,week_1,New York Jets,2015
['Dexter McDougle'],NA,week_1,New York Jets,2015
['Rontez Miles'],NA,week_1,New York Jets,2015
['Dee Milliner'],Injured Reserve: Wrist,week_1,New York Jets,2015
['Chris Owusu'],NA,week_1,New York Jets,2015
['Calvin Pace'],NA,week_1,New York Jets,2015
['Bilal Powell'],NA,week_1,New York Jets,2015
['Calvin Pryor'],NA,week_1,New York Jets,2015
['Ryan Quigley'],NA,week_1,New York Jets,2015
['Brent Qvale'],NA,week_1,New York Jets,2015
['Trevor Reilly'],NA,week_1,New York Jets,2015
['Darrelle Revis'],NA,week_1,New York Jets,2015
['Sheldon Richardson'],NA,week_1,New York Jets,2015
['Stevan Ridley'],Injured Reserve: Knee,week_1,New York Jets,2015
['Buster Skrine'],NA,week_1,New York Jets,2015
['Devin Smith'],Probable: Ribs,week_1,New York Jets,2015
['Geno Smith'],Out: Jaw,week_1,New York Jets,2015
['Zach Sudfeld'],Injured Reserve: Knee,week_1,New York Jets,2015
['Kenbrell Thompkins'],NA,week_1,New York Jets,2015
['Kevin Vickerson'],Injured Reserve: Hamstring,week_1,New York Jets,2015
['Darrin Walls'],NA,week_1,New York Jets,2015
['Muhammad Wilkerson'],NA,week_1,New York Jets,2015
['Leonard Williams'],Probable: Calf,week_1,New York Jets,2015
['Marcus Williams'],NA,week_1,New York Jets,2015
['Antonio Allen'],Injured Reserve: Achilles,week_2,New York Jets,2015
['Jace Amaro'],Injured Reserve: Shoulder,week_2,New York Jets,2015
['Dion Bailey'],NA,week_2,New York Jets,2015
['T.J. Barnes'],NA,week_2,New York Jets,2015
['Tommy Bohanon'],NA,week_2,New York Jets,2015
['Stephen Bowen'],Probable: Knee,week_2,New York Jets,2015
['James Carpenter'],Probable: Back,week_2,New York Jets,2015
['Mike Catapano'],NA,week_2,New York Jets,2015
['Willie Colon'],Probable: Knee,week_2,New York Jets,2015
['Quinton Coples'],NA,week_2,New York Jets,2015
['Antonio Cromartie'],Questionable: Knee,week_2,New York Jets,2015
['Jeff Cumberland'],NA,week_2,New York Jets,2015
['Demario Davis'],NA,week_2,New York Jets,2015
['Kellen Davis'],NA,week_2,New York Jets,2015
['Eric Decker'],NA,week_2,New York Jets,2015
['Leger Douzable'],NA,week_2,New York Jets,2015
['Quincy Enunwa'],NA,week_2,New York Jets,2015
['Ryan Fitzpatrick'],NA,week_2,New York Jets,2015
['Nick Folk'],NA,week_2,New York Jets,2015
['Breno Giacomini'],Probable: Biceps,week_2,New York Jets,2015
['David Harris'],NA,week_2,New York Jets,2015
['Damon Harrison'],NA,week_2,New York Jets,2015
['Erin Henderson'],NA,week_2,New York Jets,2015
['Ben Ijalana'],NA,week_2,New York Jets,2015
['Chris Ivory'],Questionable: Groin,week_2,New York Jets,2015
['Jaiquawn Jarrett'],Probable: Shoulder,week_2,New York Jets,2015
['Jeremy Kerley'],NA,week_2,New York Jets,2015
['Jamari Lattimore'],NA,week_2,New York Jets,2015
['Nick Mangold'],NA,week_2,New York Jets,2015
['Brandon Marshall'],NA,week_2,New York Jets,2015
['Ronald Martin'],NA,week_2,New York Jets,2015
['Lorenzo Mauldin'],Out: Concussion,week_2,New York Jets,2015
['Dexter McDougle'],NA,week_2,New York Jets,2015
['Rontez Miles'],NA,week_2,New York Jets,2015
['Dee Milliner'],Injured Reserve: Wrist,week_2,New York Jets,2015
['Chris Owusu'],NA,week_2,New York Jets,2015
['Calvin Pace'],NA,week_2,New York Jets,2015
['Bilal Powell'],NA,week_2,New York Jets,2015
['Calvin Pryor'],NA,week_2,New York Jets,2015
['Ryan Quigley'],NA,week_2,New York Jets,2015
['Brent Qvale'],Probable: Finger,week_2,New York Jets,2015
['Trevor Reilly'],Probable: Finger,week_2,New York Jets,2015
['Darrelle Revis'],NA,week_2,New York Jets,2015
['Sheldon Richardson'],NA,week_2,New York Jets,2015
['Stevan Ridley'],Injured Reserve: Knee,week_2,New York Jets,2015
['Buster Skrine'],NA,week_2,New York Jets,2015
['Devin Smith'],Probable: Ribs,week_2,New York Jets,2015
['Geno Smith'],Out: Jaw,week_2,New York Jets,2015
['Zach Sudfeld'],Injured Reserve: Knee,week_2,New York Jets,2015
['Kenbrell Thompkins'],NA,week_2,New York Jets,2015
['Kevin Vickerson'],Injured Reserve: Hamstring,week_2,New York Jets,2015
['Darrin Walls'],Doubtful: Hamstring,week_2,New York Jets,2015
['Muhammad Wilkerson'],NA,week_2,New York Jets,2015
['Leonard Williams'],NA,week_2,New York Jets,2015
['Marcus Williams'],NA,week_2,New York Jets,2015
['Antonio Allen'],Injured Reserve: Achilles,week_3,New York Jets,2015
['Jace Amaro'],Injured Reserve: Shoulder,week_3,New York Jets,2015
['Dion Bailey'],NA,week_3,New York Jets,2015
['T.J. Barnes'],NA,week_3,New York Jets,2015
['Tommy Bohanon'],NA,week_3,New York Jets,2015
['Stephen Bowen'],Probable: Knee,week_3,New York Jets,2015
['James Carpenter'],Probable: Back,week_3,New York Jets,2015
['Mike Catapano'],NA,week_3,New York Jets,2015
['Willie Colon'],Questionable: Knee,week_3,New York Jets,2015
['Quinton Coples'],NA,week_3,New York Jets,2015
['Antonio Cromartie'],Probable: Knee,week_3,New York Jets,2015
['Jeff Cumberland'],NA,week_3,New York Jets,2015
['Demario Davis'],NA,week_3,New York Jets,2015
['Kellen Davis'],NA,week_3,New York Jets,2015
['Eric Decker'],Questionable: Knee,week_3,New York Jets,2015
['Leger Douzable'],NA,week_3,New York Jets,2015
['Quincy Enunwa'],NA,week_3,New York Jets,2015
['Ryan Fitzpatrick'],NA,week_3,New York Jets,2015
['Nick Folk'],NA,week_3,New York Jets,2015
['Breno Giacomini'],Probable: Biceps,week_3,New York Jets,2015
['David Harris'],NA,week_3,New York Jets,2015
['Damon Harrison'],NA,week_3,New York Jets,2015
['Erin Henderson'],NA,week_3,New York Jets,2015
['Ben Ijalana'],NA,week_3,New York Jets,2015
['Chris Ivory'],Questionable: Quadricep,week_3,New York Jets,2015
['Jaiquawn Jarrett'],Probable: Shoulder,week_3,New York Jets,2015
['Jeremy Kerley'],NA,week_3,New York Jets,2015
['Jamari Lattimore'],NA,week_3,New York Jets,2015
['Nick Mangold'],NA,week_3,New York Jets,2015
['Brandon Marshall'],NA,week_3,New York Jets,2015
['Ronald Martin'],NA,week_3,New York Jets,2015
['Lorenzo Mauldin'],Probable: Concussion,week_3,New York Jets,2015
['Dexter McDougle'],NA,week_3,New York Jets,2015
['Rontez Miles'],NA,week_3,New York Jets,2015
['Dee Milliner'],Injured Reserve: Wrist,week_3,New York Jets,2015
['Chris Owusu'],Out: Knee,week_3,New York Jets,2015
['Calvin Pace'],NA,week_3,New York Jets,2015
['Bilal Powell'],NA,week_3,New York Jets,2015
['Calvin Pryor'],NA,week_3,New York Jets,2015
['Ryan Quigley'],NA,week_3,New York Jets,2015
['Brent Qvale'],NA,week_3,New York Jets,2015
['Trevor Reilly'],Out: Finger,week_3,New York Jets,2015
['Darrelle Revis'],Questionable: Groin,week_3,New York Jets,2015
['Sheldon Richardson'],NA,week_3,New York Jets,2015
['Stevan Ridley'],Injured Reserve: Knee,week_3,New York Jets,2015
['Buster Skrine'],NA,week_3,New York Jets,2015
['Devin Smith'],Probable: Ribs,week_3,New York Jets,2015
