name,injury,week,team,year
['Isa Abdul-Quddus'],NA,week_1,Detroit Lions,2015
['Ameer Abdullah'],NA,week_1,Detroit Lions,2015
['Ezekiel Ansah'],NA,week_1,Detroit Lions,2015
['Joique Bell'],NA,week_1,Detroit Lions,2015
['Bill Bentley'],NA,week_1,Detroit Lions,2015
['Crezdon Butler'],NA,week_1,Detroit Lions,2015
['Josh Bynes'],NA,week_1,Detroit Lions,2015
['Don Carey'],NA,week_1,Detroit Lions,2015
['Alex Carter'],Injured Reserve: Ankle,week_1,Detroit Lions,2015
['Eric Ebron'],Probable: Ankle,week_1,Detroit Lions,2015
['Andre Fluellen'],NA,week_1,Detroit Lions,2015
['James Ihedigbo'],NA,week_1,Detroit Lions,2015
['Calvin Johnson'],NA,week_1,Detroit Lions,2015
['Jason Jones'],NA,week_1,Detroit Lions,2015
['Darren Keyton'],Injured Reserve: Knee,week_1,Detroit Lions,2015
['Nevin Lawson'],NA,week_1,Detroit Lions,2015
['DeAndre Levy'],Injured Reserve: Hip,week_1,Detroit Lions,2015
['Travis Lewis'],NA,week_1,Detroit Lions,2015
['Cornelius Lucas'],NA,week_1,Detroit Lions,2015
['Sam Martin'],NA,week_1,Detroit Lions,2015
['Rashean Mathis'],NA,week_1,Detroit Lions,2015
['Lance Moore'],NA,week_1,Detroit Lions,2015
['Haloti Ngata'],NA,week_1,Detroit Lions,2015
['Michael Ola'],NA,week_1,Detroit Lions,2015
['Chris Owens'],Injured Reserve: Undisclosed,week_1,Detroit Lions,2015
['Brandon Pettigrew'],NA,week_1,Detroit Lions,2015
['Matt Prater'],NA,week_1,Detroit Lions,2015
['Glover Quin'],NA,week_1,Detroit Lions,2015
['Caraun Reid'],Out: Ankle,week_1,Detroit Lions,2015
['Theo Riddick'],NA,week_1,Detroit Lions,2015
['Corey Robinson'],NA,week_1,Detroit Lions,2015
['Darius Slay'],NA,week_1,Detroit Lions,2015
['Matthew Stafford'],NA,week_1,Detroit Lions,2015
['Travis Swanson'],NA,week_1,Detroit Lions,2015
['Darryl Tapp'],NA,week_1,Detroit Lions,2015
['Golden Tate'],NA,week_1,Detroit Lions,2015
['Stephen Tulloch'],NA,week_1,Detroit Lions,2015
['LaAdrian Waddle'],Questionable: Elbow,week_1,Detroit Lions,2015
['Tyrunn Walker'],NA,week_1,Detroit Lions,2015
['Larry Warford'],Out: Ankle,week_1,Detroit Lions,2015
['Tahir Whitehead'],Probable: Elbow,week_1,Detroit Lions,2015
['Josh Wilson'],NA,week_1,Detroit Lions,2015
['Gabe Wright'],NA,week_1,Detroit Lions,2015
['Zach Zenner'],NA,week_1,Detroit Lions,2015
['Isa Abdul-Quddus'],NA,week_2,Detroit Lions,2015
['Ameer Abdullah'],NA,week_2,Detroit Lions,2015
['Ezekiel Ansah'],NA,week_2,Detroit Lions,2015
['Joique Bell'],NA,week_2,Detroit Lions,2015
['Bill Bentley'],NA,week_2,Detroit Lions,2015
['Crezdon Butler'],NA,week_2,Detroit Lions,2015
['Josh Bynes'],NA,week_2,Detroit Lions,2015
['Don Carey'],NA,week_2,Detroit Lions,2015
['Alex Carter'],Injured Reserve: Ankle,week_2,Detroit Lions,2015
['Eric Ebron'],NA,week_2,Detroit Lions,2015
['Andre Fluellen'],NA,week_2,Detroit Lions,2015
['James Ihedigbo'],NA,week_2,Detroit Lions,2015
['Calvin Johnson'],NA,week_2,Detroit Lions,2015
['Jason Jones'],NA,week_2,Detroit Lions,2015
['Darren Keyton'],Injured Reserve: Knee,week_2,Detroit Lions,2015
['Nevin Lawson'],NA,week_2,Detroit Lions,2015
['DeAndre Levy'],Injured Reserve: Hip,week_2,Detroit Lions,2015
['Travis Lewis'],NA,week_2,Detroit Lions,2015
['Cornelius Lucas'],NA,week_2,Detroit Lions,2015
['Sam Martin'],NA,week_2,Detroit Lions,2015
['Rashean Mathis'],NA,week_2,Detroit Lions,2015
['Lance Moore'],NA,week_2,Detroit Lions,2015
['Haloti Ngata'],Questionable: Shoulder,week_2,Detroit Lions,2015
['Michael Ola'],NA,week_2,Detroit Lions,2015
['Chris Owens'],Injured Reserve: Undisclosed,week_2,Detroit Lions,2015
['Brandon Pettigrew'],Out: Hamstring,week_2,Detroit Lions,2015
['Matt Prater'],NA,week_2,Detroit Lions,2015
['Glover Quin'],NA,week_2,Detroit Lions,2015
['Caraun Reid'],Questionable: Ankle,week_2,Detroit Lions,2015
['Theo Riddick'],NA,week_2,Detroit Lions,2015
['Corey Robinson'],NA,week_2,Detroit Lions,2015
['Darius Slay'],Probable: Ankle,week_2,Detroit Lions,2015
['Matthew Stafford'],Probable: RightUpperArm,week_2,Detroit Lions,2015
['Travis Swanson'],NA,week_2,Detroit Lions,2015
['Darryl Tapp'],NA,week_2,Detroit Lions,2015
['Golden Tate'],Probable: Quadricep,week_2,Detroit Lions,2015
['Stephen Tulloch'],NA,week_2,Detroit Lions,2015
['LaAdrian Waddle'],Probable: Elbow,week_2,Detroit Lions,2015
['Tyrunn Walker'],NA,week_2,Detroit Lions,2015
['Larry Warford'],Probable: Ankle,week_2,Detroit Lions,2015
['Tahir Whitehead'],NA,week_2,Detroit Lions,2015
['Josh Wilson'],NA,week_2,Detroit Lions,2015
['Gabe Wright'],NA,week_2,Detroit Lions,2015
['Zach Zenner'],NA,week_2,Detroit Lions,2015
['Isa Abdul-Quddus'],NA,week_3,Detroit Lions,2015
['Ameer Abdullah'],NA,week_3,Detroit Lions,2015
['Ezekiel Ansah'],Probable: Back,week_3,Detroit Lions,2015
['Joique Bell'],NA,week_3,Detroit Lions,2015
['Bill Bentley'],NA,week_3,Detroit Lions,2015
['Crezdon Butler'],NA,week_3,Detroit Lions,2015
['Josh Bynes'],NA,week_3,Detroit Lions,2015
['Don Carey'],Probable: Foot,week_3,Detroit Lions,2015
['Alex Carter'],Injured Reserve: Ankle,week_3,Detroit Lions,2015
['Eric Ebron'],NA,week_3,Detroit Lions,2015
['Andre Fluellen'],NA,week_3,Detroit Lions,2015
['James Ihedigbo'],Probable: Knee,week_3,Detroit Lions,2015
['Calvin Johnson'],NA,week_3,Detroit Lions,2015
['Jason Jones'],NA,week_3,Detroit Lions,2015
['Darren Keyton'],Injured Reserve: Knee,week_3,Detroit Lions,2015
['Nevin Lawson'],NA,week_3,Detroit Lions,2015
['DeAndre Levy'],Injured Reserve: Hip,week_3,Detroit Lions,2015
['Travis Lewis'],NA,week_3,Detroit Lions,2015
['Cornelius Lucas'],Probable: Ankle,week_3,Detroit Lions,2015
['Sam Martin'],NA,week_3,Detroit Lions,2015
['Rashean Mathis'],NA,week_3,Detroit Lions,2015
['Lance Moore'],NA,week_3,Detroit Lions,2015
['Haloti Ngata'],NA,week_3,Detroit Lions,2015
['Michael Ola'],NA,week_3,Detroit Lions,2015
['Chris Owens'],Injured Reserve: Undisclosed,week_3,Detroit Lions,2015
['Brandon Pettigrew'],Out: Hamstring,week_3,Detroit Lions,2015
['Matt Prater'],NA,week_3,Detroit Lions,2015
['Glover Quin'],Probable: Lowerleg,week_3,Detroit Lions,2015
['Caraun Reid'],NA,week_3,Detroit Lions,2015
['Theo Riddick'],NA,week_3,Detroit Lions,2015
['Corey Robinson'],NA,week_3,Detroit Lions,2015
['Darius Slay'],NA,week_3,Detroit Lions,2015
['Matthew Stafford'],Probable: Ribs,week_3,Detroit Lions,2015
['Travis Swanson'],NA,week_3,Detroit Lions,2015
['Darryl Tapp'],NA,week_3,Detroit Lions,2015
['Golden Tate'],NA,week_3,Detroit Lions,2015
['Stephen Tulloch'],NA,week_3,Detroit Lions,2015
['LaAdrian Waddle'],NA,week_3,Detroit Lions,2015
['Tyrunn Walker'],NA,week_3,Detroit Lions,2015
['Larry Warford'],Probable: Ankle,week_3,Detroit Lions,2015
['Tahir Whitehead'],NA,week_3,Detroit Lions,2015
