"","name","injury","week","team","year"
"1","['Josh Wilson']","Questionable: Concussion","week_7","Detroit Lions",2015
"2","['Rashean Mathis']","Injured Reserve: Concussion","week_8","Detroit Lions",2015
"3","['Rashean Mathis']","Out: Concussion","week_10","Detroit Lions",2015
"4","['Nevin Lawson']","Questionable: Concussion","week_11","Detroit Lions",2015
"5","['Rashean Mathis']","Injured Reserve: Concussion","week_11","Detroit Lions",2015
"6","['Rashean Mathis']","Injured Reserve: Concussion","week_12","Detroit Lions",2015
"7","['Rashean Mathis']","Injured Reserve: Concussion","week_13","Detroit Lions",2015
"8","['Larry Warford']","Questionable: Concussion","week_13","Detroit Lions",2015
"9","['Rashean Mathis']","Injured Reserve: Concussion","week_14","Detroit Lions",2015
"10","['Rashean Mathis']","Injured Reserve: Concussion","week_15","Detroit Lions",2015
"11","['Rashean Mathis']","Injured Reserve: Concussion","week_16","Detroit Lions",2015
"12","['Glover Quin']","Questionable: Concussion","week_16","Detroit Lions",2015
"13","['Rashean Mathis']","Injured Reserve: Concussion","week_17","Detroit Lions",2015
