"","name","injury","week","team","year"
"1","['Trumaine Johnson']","Probable: Concussion","week_2","Los Angeles Rams",2015
"2","['Janoris Jenkins']","Probable: Concussion","week_7","Los Angeles Rams",2015
"3","['Tim Barnes']","Probable: Concussion","week_11","Los Angeles Rams",2015
"4","['Case Keenum']","Questionable: Concussion","week_12","Los Angeles Rams",2015
"5","['Case Keenum']","Questionable: Concussion","week_13","Los Angeles Rams",2015
"6","['Janoris Jenkins']","Doubtful: Concussion","week_14","Los Angeles Rams",2015
"7","['Case Keenum']","Probable: Concussion","week_14","Los Angeles Rams",2015
"8","['Lance Kendricks']","Probable: Concussion","week_14","Los Angeles Rams",2015
"9","['Janoris Jenkins']","Probable: Concussion","week_15","Los Angeles Rams",2015
"10","['Mark Barron']","Probable: Concussion","week_17","Los Angeles Rams",2015
"11","['Nick Fairley']","Injured Reserve: Concussion","week_17","Los Angeles Rams",2015
"12","['Ethan Westbrooks']","Probable: Concussion","week_17","Los Angeles Rams",2015
