name,injury,week,team,year
['Stephone Anthony'],NA,week_1,New Orleans Saints,2015
['Terron Armstead'],NA,week_1,New Orleans Saints,2015
['Delvin Breaux'],NA,week_1,New Orleans Saints,2015
['Drew Brees'],NA,week_1,New Orleans Saints,2015
['Rafael Bush'],NA,week_1,New Orleans Saints,2015
['Jairus Byrd'],Out: Knee,week_1,New Orleans Saints,2015
['Marques Colston'],NA,week_1,New Orleans Saints,2015
['Brandin Cooks'],NA,week_1,New Orleans Saints,2015
['Brian Dixon'],NA,week_1,New Orleans Saints,2015
['Dannell Ellerbe'],Out: Toe,week_1,New Orleans Saints,2015
['Jahri Evans'],NA,week_1,New Orleans Saints,2015
['David Hawthorne'],NA,week_1,New Orleans Saints,2015
['Tim Hightower'],Probable: Knee,week_1,New Orleans Saints,2015
['Josh Hill'],NA,week_1,New Orleans Saints,2015
['Ramon Humber'],NA,week_1,New Orleans Saints,2015
['Kendall Hunter'],NA,week_1,New Orleans Saints,2015
['Mark Ingram'],NA,week_1,New Orleans Saints,2015
['John Jenkins'],NA,week_1,New Orleans Saints,2015
['Cameron Jordan'],NA,week_1,New Orleans Saints,2015
"[""Hau'oli Kikaha""]",NA,week_1,New Orleans Saints,2015
['Tim Lelito'],NA,week_1,New Orleans Saints,2015
['Keenan Lewis'],Out: Hip,week_1,New Orleans Saints,2015
['Michael Mauti'],NA,week_1,New Orleans Saints,2015
['Luke McCown'],NA,week_1,New Orleans Saints,2015
['Mike McGlynn'],NA,week_1,New Orleans Saints,2015
['Thomas Morstead'],NA,week_1,New Orleans Saints,2015
['Marcus Murphy'],NA,week_1,New Orleans Saints,2015
['Andrus Peat'],NA,week_1,New Orleans Saints,2015
['Bobby Richardson'],NA,week_1,New Orleans Saints,2015
['Khiry Robinson'],NA,week_1,New Orleans Saints,2015
['Jamarca Sanford'],NA,week_1,New Orleans Saints,2015
['Willie Snead'],NA,week_1,New Orleans Saints,2015
['Anthony Spencer'],Injured Reserve: Undisclosed,week_1,New Orleans Saints,2015
['C.J. Spiller'],Out: Knee,week_1,New Orleans Saints,2015
['Zach Strief'],NA,week_1,New Orleans Saints,2015
['Damian Swann'],NA,week_1,New Orleans Saints,2015
['Davis Tull'],Out: Shoulder,week_1,New Orleans Saints,2015
['Ben Watson'],NA,week_1,New Orleans Saints,2015
['Kevin Williams'],NA,week_1,New Orleans Saints,2015
['P.J. Williams'],Injured Reserve: Hamstring,week_1,New Orleans Saints,2015
['Stephone Anthony'],NA,week_2,New Orleans Saints,2015
['Terron Armstead'],NA,week_2,New Orleans Saints,2015
