"","name","injury","week","team","year"
"1","['Quinton Patton']","Questionable: Concussion","week_5","San Francisco 49ers",2015
"2","['Garrett Celek']","Questionable: Concussion","week_9","San Francisco 49ers",2015
"3","['Kenneth Acker']","Probable: Concussion","week_11","San Francisco 49ers",2015
"4","['Ahmad Brooks']","Questionable: Concussion","week_12","San Francisco 49ers",2015
"5","['Aaron Lynch']","Questionable: Concussion","week_14","San Francisco 49ers",2015
"6","['Vance McDonald']","Out: Concussion","week_14","San Francisco 49ers",2015
"7","['Kendall Gaskins']","Probable: Concussion","week_15","San Francisco 49ers",2015
"8","['Aaron Lynch']","Questionable: Concussion","week_15","San Francisco 49ers",2015
"9","['Vance McDonald']","Probable: Concussion","week_15","San Francisco 49ers",2015
"10","['Aaron Lynch']","Probable: Concussion","week_16","San Francisco 49ers",2015
"11","['Marcus Martin']","Out: Concussion","week_16","San Francisco 49ers",2015
"12","['Marcus Martin']","Doubtful: Concussion","week_17","San Francisco 49ers",2015
