"","name","injury","week","team","year"
"1","['Derrick Coleman']","Out: Concussion","week_7","Seattle Seahawks",2015
"2","['Derrick Coleman']","Probable: Concussion","week_8","Seattle Seahawks",2015
"3","['Demarcus Dobbs']","Out: Concussion","week_13","Seattle Seahawks",2015
"4","['Will Tukuafu']","Questionable: Concussion","week_13","Seattle Seahawks",2015
"5","['Demarcus Dobbs']","Out: Concussion","week_14","Seattle Seahawks",2015
"6","['Demarcus Dobbs']","Probable: Concussion","week_15","Seattle Seahawks",2015
"7","['J.R. Sweezy']","Out: Concussion","week_17","Seattle Seahawks",2015
"8","['Luke Willson']","Out: Concussion","week_17","Seattle Seahawks",2015
"9","['J.R. Sweezy']","Probable: concussion","week_18","Seattle Seahawks",2015
"10","['Luke Willson']","Out: concussion","week_18","Seattle Seahawks",2015
"11","['Luke Willson']","Probable: concussion","week_19","Seattle Seahawks",2015
