"","name","injury","week","team","year"
"1","['Brandon Fusco']","Questionable: Concussion","week_3","Minnesota Vikings",2015
"2","['Xavier Rhodes']","Probable: Concussion","week_4","Minnesota Vikings",2015
"3","['Rhett Ellison']","Out: Concussion","week_8","Minnesota Vikings",2015
"4","['Jarius Wright']","Probable: Concussion","week_8","Minnesota Vikings",2015
"5","['Rhett Ellison']","Probable: Concussion","week_9","Minnesota Vikings",2015
"6","['Teddy Bridgewater']","Questionable: Concussion","week_10","Minnesota Vikings",2015
"7","['Terence Newman']","Probable: Concussion","week_10","Minnesota Vikings",2015
"8","['Tom Johnson']","Probable: Concussion","week_11","Minnesota Vikings",2015
"9","['Scott Crichton']","Injured Reserve: Concussion","week_15","Minnesota Vikings",2015
"10","['Scott Crichton']","Injured Reserve: Concussion","week_16","Minnesota Vikings",2015
"11","['Josh Robinson']","Probable: Concussion","week_16","Minnesota Vikings",2015
"12","['Scott Crichton']","Injured Reserve: Concussion","week_17","Minnesota Vikings",2015
"13","['Scott Crichton']","Injured Reserve: Concussion","week_18","Minnesota Vikings",2015
