"","name","injury","week","team","year"
"1","['James Wilder']","Injured Reserve: Concussion","week_1","Buffalo Bills",2016
"2","['James Wilder']","Injured Reserve: Concussion","week_2","Buffalo Bills",2016
"3","['James Wilder']","Injured Reserve: Concussion","week_3","Buffalo Bills",2016
"4","['James Wilder']","Injured Reserve: Concussion","week_4","Buffalo Bills",2016
"5","['James Wilder']","Injured Reserve: Concussion","week_5","Buffalo Bills",2016
"6","['James Wilder']","Injured Reserve: Concussion","week_6","Buffalo Bills",2016
"7","['James Wilder']","Injured Reserve: Concussion","week_7","Buffalo Bills",2016
"8","['James Wilder']","Injured Reserve: Concussion","week_8","Buffalo Bills",2016
"9","['Brandon Tate']","Out: concussion","week_9","Buffalo Bills",2016
"10","['James Wilder']","Injured Reserve: Concussion","week_9","Buffalo Bills",2016
"11","['James Wilder']","Injured Reserve: Concussion","week_11","Buffalo Bills",2016
"12","['James Wilder']","Injured Reserve: Concussion","week_12","Buffalo Bills",2016
"13","['Ronald Darby']","Out: concussion","week_13","Buffalo Bills",2016
"14","['James Wilder']","Injured Reserve: Concussion","week_13","Buffalo Bills",2016
"15","['James Wilder']","Injured Reserve: Concussion","week_14","Buffalo Bills",2016
"16","['James Wilder']","Injured Reserve: Concussion","week_15","Buffalo Bills",2016
"17","['James Wilder']","Injured Reserve: Concussion","week_16","Buffalo Bills",2016
"18","['James Wilder']","Injured Reserve: Concussion","week_17","Buffalo Bills",2016
