"","name","injury","week","team","year"
"1","['Carson Palmer']",": concussion","week_4","Arizona Cardinals",2016
"2","['Carson Palmer']",": concussion","week_6","Arizona Cardinals",2016
"3","['Carson Palmer']",": concussion","week_8","Arizona Cardinals",2016
"4","['Carson Palmer']",": concussion","week_10","Arizona Cardinals",2016
"5","['Carson Palmer']",": concussion","week_11","Arizona Cardinals",2016
"6","['Carson Palmer']",": concussion","week_12","Arizona Cardinals",2016
"7","['Carson Palmer']",": concussion","week_13","Arizona Cardinals",2016
"8","['Carson Palmer']",": concussion","week_14","Arizona Cardinals",2016
"9","['D.J. Humphries']","Out: concussion","week_15","Arizona Cardinals",2016
"10","['Carson Palmer']",": concussion","week_15","Arizona Cardinals",2016
"11","['D.J. Humphries']","Out: concussion","week_16","Arizona Cardinals",2016
"12","['Carson Palmer']",": concussion","week_16","Arizona Cardinals",2016
"13","['D.J. Humphries']","Out: concussion","week_17","Arizona Cardinals",2016
"14","['Carson Palmer']",": concussion","week_17","Arizona Cardinals",2016
