"","name","injury","week","team","year"
"1","['Mario Williams']","Questionable: concussion","week_2","Miami Dolphins",2016
"2","['Jordan Cameron']","Injured Reserve: Concussion","week_4","Miami Dolphins",2016
"3","['Jordan Cameron']","Injured Reserve: Concussion","week_5","Miami Dolphins",2016
"4","['Jordan Cameron']","Injured Reserve: Concussion","week_6","Miami Dolphins",2016
"5","['Jordan Cameron']","Injured Reserve: Concussion","week_7","Miami Dolphins",2016
"6","['Jordan Cameron']","Injured Reserve: Concussion","week_9","Miami Dolphins",2016
"7","['Jordan Cameron']","Injured Reserve: Concussion","week_10","Miami Dolphins",2016
"8","['Jordan Cameron']","Injured Reserve: Concussion","week_11","Miami Dolphins",2016
"9","['Jordan Cameron']","Injured Reserve: Concussion","week_12","Miami Dolphins",2016
"10","['Jordan Cameron']","Injured Reserve: Concussion","week_13","Miami Dolphins",2016
"11","['Jordan Cameron']","Injured Reserve: Concussion","week_14","Miami Dolphins",2016
"12","['Jordan Cameron']","Injured Reserve: Concussion","week_15","Miami Dolphins",2016
"13","['Jordan Cameron']","Injured Reserve: Concussion","week_16","Miami Dolphins",2016
"14","['Jordan Cameron']","Injured Reserve: Concussion","week_17","Miami Dolphins",2016
"15","['Jordan Cameron']","Injured Reserve: Concussion","week_18","Miami Dolphins",2016
