"","name","injury","week","team","year"
"1","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_1","Atlanta Falcons",2016
"2","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_2","Atlanta Falcons",2016
"3","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_3","Atlanta Falcons",2016
"4","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_4","Atlanta Falcons",2016
"5","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_5","Atlanta Falcons",2016
"6","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_6","Atlanta Falcons",2016
"7","['Taylor Gabriel']","Out: concussion","week_7","Atlanta Falcons",2016
"8","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_7","Atlanta Falcons",2016
"9","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_8","Atlanta Falcons",2016
"10","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_9","Atlanta Falcons",2016
"11","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_10","Atlanta Falcons",2016
"12","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_12","Atlanta Falcons",2016
"13","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_13","Atlanta Falcons",2016
"14","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_14","Atlanta Falcons",2016
"15","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_15","Atlanta Falcons",2016
"16","['Nick Williams']","Out: concussion","week_15","Atlanta Falcons",2016
"17","[""De'Vondre Campbell""]","Out: concussion","week_16","Atlanta Falcons",2016
"18","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_16","Atlanta Falcons",2016
"19","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_17","Atlanta Falcons",2016
"20","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_19","Atlanta Falcons",2016
"21","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_20","Atlanta Falcons",2016
"22","['DeMarcus Van Dyke']","Injured Reserve: Concussion","week_21","Atlanta Falcons",2016
