"","name","injury","week","team","year"
"1","['Byron Stingily']","Injured Reserve: Concussion","week_1","New York Giants",2016
"2","['Byron Stingily']","Injured Reserve: Concussion","week_2","New York Giants",2016
"3","['Byron Stingily']","Injured Reserve: Concussion","week_3","New York Giants",2016
"4","['Nat Berhe']","Out: concussion","week_4","New York Giants",2016
"5","['Byron Stingily']","Injured Reserve: Concussion","week_4","New York Giants",2016
"6","['Nat Berhe']","Out: concussion","week_5","New York Giants",2016
"7","['Larry Donnell']","Out: concussion","week_5","New York Giants",2016
"8","['Byron Stingily']","Injured Reserve: Concussion","week_5","New York Giants",2016
"9","['Nat Berhe']","Out: concussion","week_6","New York Giants",2016
"10","['Devon Kennard']","Questionable: concussion","week_6","New York Giants",2016
"11","['Byron Stingily']","Injured Reserve: Concussion","week_6","New York Giants",2016
"12","['Nat Berhe']","Out: concussion","week_7","New York Giants",2016
"13","['Byron Stingily']","Injured Reserve: Concussion","week_7","New York Giants",2016
"14","['Nat Berhe']","Questionable: concussion","week_9","New York Giants",2016
"15","['Byron Stingily']","Injured Reserve: Concussion","week_9","New York Giants",2016
"16","['Kerry Wynn']","Out: concussion","week_9","New York Giants",2016
"17","['Byron Stingily']","Injured Reserve: Concussion","week_10","New York Giants",2016
"18","['Kerry Wynn']","Questionable: concussion","week_10","New York Giants",2016
"19","['Byron Stingily']","Injured Reserve: Concussion","week_11","New York Giants",2016
"20","['Roger Lewis']","Questionable: concussion","week_12","New York Giants",2016
"21","['Byron Stingily']","Injured Reserve: Concussion","week_12","New York Giants",2016
"22","['Nat Berhe']","Out: concussion","week_13","New York Giants",2016
"23","['Mark Herzlich']","Out: concussion","week_13","New York Giants",2016
"24","['Byron Stingily']","Injured Reserve: Concussion","week_13","New York Giants",2016
"25","['Nat Berhe']","Out: concussion","week_14","New York Giants",2016
"26","['Mark Herzlich']","Out: concussion","week_14","New York Giants",2016
"27","['Byron Stingily']","Injured Reserve: Concussion","week_14","New York Giants",2016
"28","['Nat Berhe']","Questionable: concussion","week_15","New York Giants",2016
"29","['Byron Stingily']","Injured Reserve: Concussion","week_15","New York Giants",2016
"30","['Nat Berhe']","Out: concussion","week_16","New York Giants",2016
"31","['Byron Stingily']","Injured Reserve: Concussion","week_16","New York Giants",2016
"32","['Nat Berhe']","Out: concussion","week_17","New York Giants",2016
"33","['B.J. Goodson']","Questionable: concussion","week_17","New York Giants",2016
"34","['Byron Stingily']","Injured Reserve: Concussion","week_17","New York Giants",2016
"35","['Byron Stingily']","Injured Reserve: Concussion","week_18","New York Giants",2016
