"","name","injury","week","team","year"
"1","['Brian Winters']","Out: concussion","week_5","New York Jets",2016
"2","['Josh Martin']","Out: concussion","week_10","New York Jets",2016
"3","['Jalin Marshall']","Out: concussion","week_13","New York Jets",2016
"4","['Calvin Pryor']","Out: concussion","week_13","New York Jets",2016
"5","['Antonio Allen']","Out: concussion","week_14","New York Jets",2016
"6","['Jalin Marshall']","Out: concussion","week_14","New York Jets",2016
"7","['Antonio Allen']","Injured Reserve: Concussion","week_15","New York Jets",2016
"8","['Buster Skrine']","Out: concussion","week_15","New York Jets",2016
"9","['Antonio Allen']","Injured Reserve: Concussion","week_16","New York Jets",2016
"10","['Antonio Allen']","Injured Reserve: Concussion","week_17","New York Jets",2016
