name,injury,week,team,year
['Javorius Allen'],NA,week_1,Baltimore Ravens,2016
['Kyle Arrington'],Injured Reserve: Concussion,week_1,Baltimore Ravens,2016
['Michael Campanaro'],Injured Reserve: Calf,week_1,Baltimore Ravens,2016
['Maurice Canady'],NA,week_1,Baltimore Ravens,2016
['Kaelin Clay'],Injured Reserve: Foot,week_1,Baltimore Ravens,2016
['Kamalei Correa'],NA,week_1,Baltimore Ravens,2016
['Carl Davis'],Injured Reserve: Ankle,week_1,Baltimore Ravens,2016
['Kenneth Dixon'],Out: knee,week_1,Baltimore Ravens,2016
['Elvis Dumervil'],Out: foot,week_1,Baltimore Ravens,2016
['Matt Elam'],Injured Reserve: Knee,week_1,Baltimore Ravens,2016
['Joe Flacco'],NA,week_1,Baltimore Ravens,2016
['Crockett Gillmore'],NA,week_1,Baltimore Ravens,2016
['Willie Henry'],NA,week_1,Baltimore Ravens,2016
['Bronson Kaufusi'],Injured Reserve: Ankle,week_1,Baltimore Ravens,2016
['Anthony Levine'],NA,week_1,Baltimore Ravens,2016
['Alex Lewis'],NA,week_1,Baltimore Ravens,2016
['Kendrick Lewis'],NA,week_1,Baltimore Ravens,2016
['Cavellis Luckett'],Injured Reserve: Undisclosed,week_1,Baltimore Ravens,2016
['Chris Matthews'],Injured Reserve: Undisclosed,week_1,Baltimore Ravens,2016
['Albert McClellan'],NA,week_1,Baltimore Ravens,2016
['C.J. Mosley'],NA,week_1,Baltimore Ravens,2016
['Stephane Nembot'],Injured Reserve: Undisclosed,week_1,Baltimore Ravens,2016
['Zach Orr'],NA,week_1,Baltimore Ravens,2016
['Breshad Perriman'],NA,week_1,Baltimore Ravens,2016
['Dennis Pitta'],Questionable: finger,week_1,Baltimore Ravens,2016
['Jerraud Powers'],Out: ankle,week_1,Baltimore Ravens,2016
['Sheldon Price'],NA,week_1,Baltimore Ravens,2016
['Jumal Rolle'],Injured Reserve: Achilles,week_1,Baltimore Ravens,2016
['Jimmy Smith'],NA,week_1,Baltimore Ravens,2016
"[""Za'Darius Smith""]",NA,week_1,Baltimore Ravens,2016
['Ronnie Stanley'],NA,week_1,Baltimore Ravens,2016
['Terrell Suggs'],NA,week_1,Baltimore Ravens,2016
['Lorenzo Taliaferro'],Injured Reserve: Foot,week_1,Baltimore Ravens,2016
['Brent Urban'],NA,week_1,Baltimore Ravens,2016
['John Urschel'],Questionable: shoulder,week_1,Baltimore Ravens,2016
['Mike Wallace'],NA,week_1,Baltimore Ravens,2016
['Ben Watson'],Injured Reserve: Achilles,week_1,Baltimore Ravens,2016
['Lardarius Webb'],NA,week_1,Baltimore Ravens,2016
"[""De'Ondre Wesley""]",Injured Reserve: Undisclosed,week_1,Baltimore Ravens,2016
['Brandon Williams'],NA,week_1,Baltimore Ravens,2016
['Maxx Williams'],Questionable: knee,week_1,Baltimore Ravens,2016
['Shareece Wright'],Questionable: foot,week_1,Baltimore Ravens,2016
['Marshal Yanda'],NA,week_1,Baltimore Ravens,2016
['Tavon Young'],NA,week_1,Baltimore Ravens,2016
['Javorius Allen'],NA,week_2,Baltimore Ravens,2016
['Kyle Arrington'],Injured Reserve: Concussion,week_2,Baltimore Ravens,2016
['Michael Campanaro'],Injured Reserve: Calf,week_2,Baltimore Ravens,2016
['Maurice Canady'],NA,week_2,Baltimore Ravens,2016
['Kaelin Clay'],Injured Reserve: Foot,week_2,Baltimore Ravens,2016
['Kamalei Correa'],NA,week_2,Baltimore Ravens,2016
['Carl Davis'],Injured Reserve: Ankle,week_2,Baltimore Ravens,2016
['Kenneth Dixon'],Out: knee,week_2,Baltimore Ravens,2016
['Elvis Dumervil'],Out: foot,week_2,Baltimore Ravens,2016
['Matt Elam'],Injured Reserve: Knee,week_2,Baltimore Ravens,2016
['Joe Flacco'],NA,week_2,Baltimore Ravens,2016
['Crockett Gillmore'],NA,week_2,Baltimore Ravens,2016
['Willie Henry'],NA,week_2,Baltimore Ravens,2016
['Bronson Kaufusi'],Injured Reserve: Ankle,week_2,Baltimore Ravens,2016
['Anthony Levine'],NA,week_2,Baltimore Ravens,2016
['Alex Lewis'],NA,week_2,Baltimore Ravens,2016
['Kendrick Lewis'],NA,week_2,Baltimore Ravens,2016
['Cavellis Luckett'],Injured Reserve: Undisclosed,week_2,Baltimore Ravens,2016
['Chris Matthews'],Injured Reserve: Undisclosed,week_2,Baltimore Ravens,2016
['Albert McClellan'],NA,week_2,Baltimore Ravens,2016
['C.J. Mosley'],Questionable: thigh,week_2,Baltimore Ravens,2016
['Stephane Nembot'],Injured Reserve: Undisclosed,week_2,Baltimore Ravens,2016
['Zach Orr'],NA,week_2,Baltimore Ravens,2016
['Breshad Perriman'],Questionable: calf,week_2,Baltimore Ravens,2016
['Dennis Pitta'],NA,week_2,Baltimore Ravens,2016
['Jerraud Powers'],Questionable: ankle,week_2,Baltimore Ravens,2016
['Sheldon Price'],NA,week_2,Baltimore Ravens,2016
['Jumal Rolle'],Injured Reserve: Achilles,week_2,Baltimore Ravens,2016
['Jimmy Smith'],NA,week_2,Baltimore Ravens,2016
"[""Za'Darius Smith""]",Questionable: ankle,week_2,Baltimore Ravens,2016
['Ronnie Stanley'],NA,week_2,Baltimore Ravens,2016
['Terrell Suggs'],NA,week_2,Baltimore Ravens,2016
['Lorenzo Taliaferro'],Injured Reserve: Foot,week_2,Baltimore Ravens,2016
['Brent Urban'],NA,week_2,Baltimore Ravens,2016
['John Urschel'],Questionable: shoulder,week_2,Baltimore Ravens,2016
['Mike Wallace'],NA,week_2,Baltimore Ravens,2016
['Ben Watson'],Injured Reserve: Achilles,week_2,Baltimore Ravens,2016
['Lardarius Webb'],NA,week_2,Baltimore Ravens,2016
"[""De'Ondre Wesley""]",Injured Reserve: Undisclosed,week_2,Baltimore Ravens,2016
['Brandon Williams'],NA,week_2,Baltimore Ravens,2016
['Maxx Williams'],NA,week_2,Baltimore Ravens,2016
['Shareece Wright'],NA,week_2,Baltimore Ravens,2016
['Marshal Yanda'],NA,week_2,Baltimore Ravens,2016
['Tavon Young'],NA,week_2,Baltimore Ravens,2016
['Javorius Allen'],NA,week_3,Baltimore Ravens,2016
['Kyle Arrington'],Injured Reserve: Concussion,week_3,Baltimore Ravens,2016
['Michael Campanaro'],Injured Reserve: Calf,week_3,Baltimore Ravens,2016
['Maurice Canady'],NA,week_3,Baltimore Ravens,2016
['Kaelin Clay'],Injured Reserve: Foot,week_3,Baltimore Ravens,2016
['Kamalei Correa'],NA,week_3,Baltimore Ravens,2016
['Carl Davis'],Injured Reserve: Ankle,week_3,Baltimore Ravens,2016
['Kenneth Dixon'],Out: knee,week_3,Baltimore Ravens,2016
['Elvis Dumervil'],Questionable: foot,week_3,Baltimore Ravens,2016
['Matt Elam'],Injured Reserve: Knee,week_3,Baltimore Ravens,2016
['Joe Flacco'],NA,week_3,Baltimore Ravens,2016
['Crockett Gillmore'],NA,week_3,Baltimore Ravens,2016
['Willie Henry'],NA,week_3,Baltimore Ravens,2016
['Bronson Kaufusi'],Injured Reserve: Ankle,week_3,Baltimore Ravens,2016
['Anthony Levine'],NA,week_3,Baltimore Ravens,2016
['Alex Lewis'],NA,week_3,Baltimore Ravens,2016
['Kendrick Lewis'],NA,week_3,Baltimore Ravens,2016
['Cavellis Luckett'],Injured Reserve: Undisclosed,week_3,Baltimore Ravens,2016
['Chris Matthews'],Injured Reserve: Undisclosed,week_3,Baltimore Ravens,2016
['Albert McClellan'],NA,week_3,Baltimore Ravens,2016
['C.J. Mosley'],NA,week_3,Baltimore Ravens,2016
['Stephane Nembot'],Injured Reserve: Undisclosed,week_3,Baltimore Ravens,2016
['Zach Orr'],NA,week_3,Baltimore Ravens,2016
['Breshad Perriman'],NA,week_3,Baltimore Ravens,2016
['Dennis Pitta'],NA,week_3,Baltimore Ravens,2016
['Jerraud Powers'],NA,week_3,Baltimore Ravens,2016
['Sheldon Price'],NA,week_3,Baltimore Ravens,2016
['Jumal Rolle'],Injured Reserve: Achilles,week_3,Baltimore Ravens,2016
['Jimmy Smith'],NA,week_3,Baltimore Ravens,2016
"[""Za'Darius Smith""]",NA,week_3,Baltimore Ravens,2016
['Ronnie Stanley'],Questionable: foot,week_3,Baltimore Ravens,2016
['Terrell Suggs'],NA,week_3,Baltimore Ravens,2016
['Lorenzo Taliaferro'],Injured Reserve: Foot,week_3,Baltimore Ravens,2016
['Brent Urban'],NA,week_3,Baltimore Ravens,2016
['John Urschel'],Questionable: shoulder,week_3,Baltimore Ravens,2016
['Mike Wallace'],NA,week_3,Baltimore Ravens,2016
['Ben Watson'],Injured Reserve: Achilles,week_3,Baltimore Ravens,2016
['Lardarius Webb'],NA,week_3,Baltimore Ravens,2016
"[""De'Ondre Wesley""]",Injured Reserve: Undisclosed,week_3,Baltimore Ravens,2016
['Brandon Williams'],NA,week_3,Baltimore Ravens,2016
['Maxx Williams'],NA,week_3,Baltimore Ravens,2016
['Shareece Wright'],NA,week_3,Baltimore Ravens,2016
['Marshal Yanda'],NA,week_3,Baltimore Ravens,2016
['Tavon Young'],NA,week_3,Baltimore Ravens,2016
['Javorius Allen'],NA,week_4,Baltimore Ravens,2016
['Kyle Arrington'],Injured Reserve: Concussion,week_4,Baltimore Ravens,2016
['Michael Campanaro'],Injured Reserve: Calf,week_4,Baltimore Ravens,2016
['Maurice Canady'],NA,week_4,Baltimore Ravens,2016
['Kaelin Clay'],Injured Reserve: Foot,week_4,Baltimore Ravens,2016
['Kamalei Correa'],NA,week_4,Baltimore Ravens,2016
['Carl Davis'],Injured Reserve: Ankle,week_4,Baltimore Ravens,2016
['Kenneth Dixon'],Doubtful: knee,week_4,Baltimore Ravens,2016
['Elvis Dumervil'],Questionable: foot,week_4,Baltimore Ravens,2016
['Matt Elam'],Injured Reserve: Knee,week_4,Baltimore Ravens,2016
