name,injury,week,team,year
['Chris Boswell'],NA,week_1,Pittsburgh Steelers,2016
['Anthony Chickillo'],NA,week_1,Pittsburgh Steelers,2016
['Sammie Coates'],NA,week_1,Pittsburgh Steelers,2016
['Jordan Dangerfield'],NA,week_1,Pittsburgh Steelers,2016
['Bud Dupree'],Injured Reserve: Abdominal,week_1,Pittsburgh Steelers,2016
['Ramon Foster'],NA,week_1,Pittsburgh Steelers,2016
['William Gay'],NA,week_1,Pittsburgh Steelers,2016
['Justin Gilbert'],NA,week_1,Pittsburgh Steelers,2016
['Marcus Gilbert'],NA,week_1,Pittsburgh Steelers,2016
['Robert Golden'],NA,week_1,Pittsburgh Steelers,2016
['Senquez Golson'],Injured Reserve: Foot,week_1,Pittsburgh Steelers,2016
['Bruce Gradkowski'],Injured Reserve: Hamstring,week_1,Pittsburgh Steelers,2016
['Ladarius Green'],Injured Reserve: Ankle,week_1,Pittsburgh Steelers,2016
['Xavier Grimble'],NA,week_1,Pittsburgh Steelers,2016
['Javon Hargrave'],NA,week_1,Pittsburgh Steelers,2016
['Ryan Harris'],NA,week_1,Pittsburgh Steelers,2016
['James Harrison'],NA,week_1,Pittsburgh Steelers,2016
['Jerald Hawkins'],Injured Reserve: Shoulder,week_1,Pittsburgh Steelers,2016
['Cameron Heyward'],NA,week_1,Pittsburgh Steelers,2016
['Darrius Heyward-Bey'],NA,week_1,Pittsburgh Steelers,2016
['Steven Johnson'],NA,week_1,Pittsburgh Steelers,2016
['Cole Manhart'],Injured Reserve: Undisclosed,week_1,Pittsburgh Steelers,2016
['Ricardo Mathews'],NA,week_1,Pittsburgh Steelers,2016
['Roosevelt Nix'],Out: back,week_1,Pittsburgh Steelers,2016
['Ben Roethlisberger'],NA,week_1,Pittsburgh Steelers,2016
['Eli Rogers'],NA,week_1,Pittsburgh Steelers,2016
['Ryan Shazier'],NA,week_1,Pittsburgh Steelers,2016
['Shamarko Thomas'],NA,week_1,Pittsburgh Steelers,2016
['Fitzgerald Toussaint'],NA,week_1,Pittsburgh Steelers,2016
['Stephon Tuitt'],NA,week_1,Pittsburgh Steelers,2016
['Valerian Ume-Ezeoke'],Injured Reserve: Undisclosed,week_1,Pittsburgh Steelers,2016
['Cody Wallace'],Out: knee,week_1,Pittsburgh Steelers,2016
['Markus Wheaton'],NA,week_1,Pittsburgh Steelers,2016
['DeAngelo Williams'],NA,week_1,Pittsburgh Steelers,2016
['Vince Williams'],NA,week_1,Pittsburgh Steelers,2016
['Chris Boswell'],NA,week_2,Pittsburgh Steelers,2016
['Anthony Chickillo'],NA,week_2,Pittsburgh Steelers,2016
['Sammie Coates'],NA,week_2,Pittsburgh Steelers,2016
['Jordan Dangerfield'],NA,week_2,Pittsburgh Steelers,2016
['Bud Dupree'],Injured Reserve: Abdominal,week_2,Pittsburgh Steelers,2016
['Ramon Foster'],NA,week_2,Pittsburgh Steelers,2016
['William Gay'],NA,week_2,Pittsburgh Steelers,2016
['Justin Gilbert'],NA,week_2,Pittsburgh Steelers,2016
['Marcus Gilbert'],NA,week_2,Pittsburgh Steelers,2016
['Robert Golden'],NA,week_2,Pittsburgh Steelers,2016
['Senquez Golson'],Injured Reserve: Foot,week_2,Pittsburgh Steelers,2016
['Bruce Gradkowski'],Injured Reserve: Hamstring,week_2,Pittsburgh Steelers,2016
['Ladarius Green'],Injured Reserve: Ankle,week_2,Pittsburgh Steelers,2016
['Xavier Grimble'],NA,week_2,Pittsburgh Steelers,2016
['Javon Hargrave'],NA,week_2,Pittsburgh Steelers,2016
['Ryan Harris'],NA,week_2,Pittsburgh Steelers,2016
['James Harrison'],NA,week_2,Pittsburgh Steelers,2016
['Jerald Hawkins'],Injured Reserve: Shoulder,week_2,Pittsburgh Steelers,2016
['Cameron Heyward'],NA,week_2,Pittsburgh Steelers,2016
['Darrius Heyward-Bey'],NA,week_2,Pittsburgh Steelers,2016
['Steven Johnson'],NA,week_2,Pittsburgh Steelers,2016
['Cole Manhart'],Injured Reserve: Undisclosed,week_2,Pittsburgh Steelers,2016
['Ricardo Mathews'],NA,week_2,Pittsburgh Steelers,2016
['Roosevelt Nix'],Out: back,week_2,Pittsburgh Steelers,2016
['Ben Roethlisberger'],NA,week_2,Pittsburgh Steelers,2016
['Eli Rogers'],NA,week_2,Pittsburgh Steelers,2016
['Ryan Shazier'],Questionable: knee,week_2,Pittsburgh Steelers,2016
['Shamarko Thomas'],NA,week_2,Pittsburgh Steelers,2016
['Fitzgerald Toussaint'],NA,week_2,Pittsburgh Steelers,2016
['Stephon Tuitt'],NA,week_2,Pittsburgh Steelers,2016
['Valerian Ume-Ezeoke'],Injured Reserve: Undisclosed,week_2,Pittsburgh Steelers,2016
['Cody Wallace'],Injured Reserve: Knee,week_2,Pittsburgh Steelers,2016
['Markus Wheaton'],NA,week_2,Pittsburgh Steelers,2016
['DeAngelo Williams'],NA,week_2,Pittsburgh Steelers,2016
['Vince Williams'],NA,week_2,Pittsburgh Steelers,2016
['Chris Boswell'],NA,week_3,Pittsburgh Steelers,2016
['Anthony Chickillo'],NA,week_3,Pittsburgh Steelers,2016
['Sammie Coates'],NA,week_3,Pittsburgh Steelers,2016
['Jordan Dangerfield'],NA,week_3,Pittsburgh Steelers,2016
['Bud Dupree'],Injured Reserve: Abdominal,week_3,Pittsburgh Steelers,2016
['Ramon Foster'],Questionable: elbow,week_3,Pittsburgh Steelers,2016
['William Gay'],NA,week_3,Pittsburgh Steelers,2016
['Justin Gilbert'],NA,week_3,Pittsburgh Steelers,2016
['Marcus Gilbert'],NA,week_3,Pittsburgh Steelers,2016
['Robert Golden'],NA,week_3,Pittsburgh Steelers,2016
['Senquez Golson'],Injured Reserve: Foot,week_3,Pittsburgh Steelers,2016
['Bruce Gradkowski'],Injured Reserve: Hamstring,week_3,Pittsburgh Steelers,2016
['Ladarius Green'],Injured Reserve: Ankle,week_3,Pittsburgh Steelers,2016
['Xavier Grimble'],NA,week_3,Pittsburgh Steelers,2016
['Javon Hargrave'],NA,week_3,Pittsburgh Steelers,2016
['Ryan Harris'],NA,week_3,Pittsburgh Steelers,2016
['James Harrison'],NA,week_3,Pittsburgh Steelers,2016
['Jerald Hawkins'],Injured Reserve: Shoulder,week_3,Pittsburgh Steelers,2016
['Cameron Heyward'],NA,week_3,Pittsburgh Steelers,2016
['Darrius Heyward-Bey'],NA,week_3,Pittsburgh Steelers,2016
['Steven Johnson'],NA,week_3,Pittsburgh Steelers,2016
['Cole Manhart'],Injured Reserve: Undisclosed,week_3,Pittsburgh Steelers,2016
['Ricardo Mathews'],NA,week_3,Pittsburgh Steelers,2016
['Roosevelt Nix'],Doubtful: back,week_3,Pittsburgh Steelers,2016
['Ben Roethlisberger'],NA,week_3,Pittsburgh Steelers,2016
['Eli Rogers'],NA,week_3,Pittsburgh Steelers,2016
['Ryan Shazier'],NA,week_3,Pittsburgh Steelers,2016
['Shamarko Thomas'],NA,week_3,Pittsburgh Steelers,2016
['Fitzgerald Toussaint'],NA,week_3,Pittsburgh Steelers,2016
['Stephon Tuitt'],NA,week_3,Pittsburgh Steelers,2016
['Valerian Ume-Ezeoke'],Injured Reserve: Undisclosed,week_3,Pittsburgh Steelers,2016
['Cody Wallace'],Injured Reserve: Knee,week_3,Pittsburgh Steelers,2016
['Markus Wheaton'],NA,week_3,Pittsburgh Steelers,2016
['DeAngelo Williams'],NA,week_3,Pittsburgh Steelers,2016
['Vince Williams'],NA,week_3,Pittsburgh Steelers,2016
['Chris Boswell'],NA,week_4,Pittsburgh Steelers,2016
['Anthony Chickillo'],NA,week_4,Pittsburgh Steelers,2016
['Sammie Coates'],NA,week_4,Pittsburgh Steelers,2016
['Jordan Dangerfield'],NA,week_4,Pittsburgh Steelers,2016
['Bud Dupree'],Injured Reserve: Abdominal,week_4,Pittsburgh Steelers,2016
['Ramon Foster'],Out: chest,week_4,Pittsburgh Steelers,2016
['William Gay'],NA,week_4,Pittsburgh Steelers,2016
['Justin Gilbert'],NA,week_4,Pittsburgh Steelers,2016
['Marcus Gilbert'],NA,week_4,Pittsburgh Steelers,2016
['Robert Golden'],Out: hamstring,week_4,Pittsburgh Steelers,2016
['Senquez Golson'],Injured Reserve: Foot,week_4,Pittsburgh Steelers,2016
['Bruce Gradkowski'],Injured Reserve: Hamstring,week_4,Pittsburgh Steelers,2016
['Ladarius Green'],Injured Reserve: Ankle,week_4,Pittsburgh Steelers,2016
['Xavier Grimble'],NA,week_4,Pittsburgh Steelers,2016
['Javon Hargrave'],NA,week_4,Pittsburgh Steelers,2016
['Ryan Harris'],NA,week_4,Pittsburgh Steelers,2016
['James Harrison'],NA,week_4,Pittsburgh Steelers,2016
['Jerald Hawkins'],Injured Reserve: Shoulder,week_4,Pittsburgh Steelers,2016
['Cameron Heyward'],NA,week_4,Pittsburgh Steelers,2016
['Darrius Heyward-Bey'],NA,week_4,Pittsburgh Steelers,2016
['Steven Johnson'],NA,week_4,Pittsburgh Steelers,2016
['Cole Manhart'],Injured Reserve: Undisclosed,week_4,Pittsburgh Steelers,2016
['Ricardo Mathews'],NA,week_4,Pittsburgh Steelers,2016
['Roosevelt Nix'],Out: back,week_4,Pittsburgh Steelers,2016
['Ben Roethlisberger'],NA,week_4,Pittsburgh Steelers,2016
['Eli Rogers'],Out: toe,week_4,Pittsburgh Steelers,2016
['Ryan Shazier'],Out: knee,week_4,Pittsburgh Steelers,2016
['Shamarko Thomas'],NA,week_4,Pittsburgh Steelers,2016
['Fitzgerald Toussaint'],NA,week_4,Pittsburgh Steelers,2016
['Stephon Tuitt'],NA,week_4,Pittsburgh Steelers,2016
['Valerian Ume-Ezeoke'],Injured Reserve: Undisclosed,week_4,Pittsburgh Steelers,2016
['Cody Wallace'],Injured Reserve: Knee,week_4,Pittsburgh Steelers,2016
['Markus Wheaton'],NA,week_4,Pittsburgh Steelers,2016
['DeAngelo Williams'],NA,week_4,Pittsburgh Steelers,2016
['Vince Williams'],NA,week_4,Pittsburgh Steelers,2016
['Chris Boswell'],NA,week_5,Pittsburgh Steelers,2016
['Anthony Chickillo'],NA,week_5,Pittsburgh Steelers,2016
['Sammie Coates'],NA,week_5,Pittsburgh Steelers,2016
['Jordan Dangerfield'],NA,week_5,Pittsburgh Steelers,2016
['Bud Dupree'],Injured Reserve: Abdominal,week_5,Pittsburgh Steelers,2016
['Ramon Foster'],NA,week_5,Pittsburgh Steelers,2016
['William Gay'],NA,week_5,Pittsburgh Steelers,2016
['Justin Gilbert'],Out: knee,week_5,Pittsburgh Steelers,2016
['Marcus Gilbert'],Out: ankle,week_5,Pittsburgh Steelers,2016
['Robert Golden'],Out: hamstring,week_5,Pittsburgh Steelers,2016
['Senquez Golson'],Injured Reserve: Foot,week_5,Pittsburgh Steelers,2016
['Bruce Gradkowski'],Injured Reserve: Hamstring,week_5,Pittsburgh Steelers,2016
['Ladarius Green'],Injured Reserve: Ankle,week_5,Pittsburgh Steelers,2016
['Xavier Grimble'],NA,week_5,Pittsburgh Steelers,2016
['Javon Hargrave'],NA,week_5,Pittsburgh Steelers,2016
['Ryan Harris'],Injured Reserve: Shin,week_5,Pittsburgh Steelers,2016
['James Harrison'],NA,week_5,Pittsburgh Steelers,2016
['Jerald Hawkins'],Injured Reserve: Shoulder,week_5,Pittsburgh Steelers,2016
['Cameron Heyward'],NA,week_5,Pittsburgh Steelers,2016
['Darrius Heyward-Bey'],NA,week_5,Pittsburgh Steelers,2016
['Steven Johnson'],NA,week_5,Pittsburgh Steelers,2016
['Cole Manhart'],Injured Reserve: Undisclosed,week_5,Pittsburgh Steelers,2016
['Ricardo Mathews'],NA,week_5,Pittsburgh Steelers,2016
['Roosevelt Nix'],Out: back,week_5,Pittsburgh Steelers,2016
['Ben Roethlisberger'],NA,week_5,Pittsburgh Steelers,2016
['Eli Rogers'],Out: toe,week_5,Pittsburgh Steelers,2016
['Ryan Shazier'],Out: knee,week_5,Pittsburgh Steelers,2016
['Shamarko Thomas'],NA,week_5,Pittsburgh Steelers,2016
['Fitzgerald Toussaint'],NA,week_5,Pittsburgh Steelers,2016
['Stephon Tuitt'],NA,week_5,Pittsburgh Steelers,2016
['Valerian Ume-Ezeoke'],Injured Reserve: Undisclosed,week_5,Pittsburgh Steelers,2016
['Cody Wallace'],Injured Reserve: Knee,week_5,Pittsburgh Steelers,2016
['Markus Wheaton'],NA,week_5,Pittsburgh Steelers,2016
['DeAngelo Williams'],NA,week_5,Pittsburgh Steelers,2016
['Vince Williams'],NA,week_5,Pittsburgh Steelers,2016
