"","name","injury","week","team","year"
"1","['Javon Hargrave']","Doubtful: concussion","week_14","Pittsburgh Steelers",2016
"2","['Shamarko Thomas']","Injured Reserve: Concussion","week_14","Pittsburgh Steelers",2016
"3","['Shamarko Thomas']","Injured Reserve: Concussion","week_15","Pittsburgh Steelers",2016
"4","['Ladarius Green']","Doubtful: concussion","week_16","Pittsburgh Steelers",2016
"5","['Shamarko Thomas']","Out: concussion","week_16","Pittsburgh Steelers",2016
"6","['Ladarius Green']","Out: concussion","week_17","Pittsburgh Steelers",2016
"7","['Shamarko Thomas']","Injured Reserve: Concussion","week_17","Pittsburgh Steelers",2016
"8","['Ladarius Green']","Questionable: concussion","week_18","Pittsburgh Steelers",2016
"9","['Shamarko Thomas']","Injured Reserve: Concussion","week_18","Pittsburgh Steelers",2016
"10","['Ladarius Green']","Doubtful: concussion","week_19","Pittsburgh Steelers",2016
"11","['Shamarko Thomas']","Injured Reserve: Concussion","week_19","Pittsburgh Steelers",2016
"12","['Fitzgerald Toussaint']","Questionable: concussion","week_19","Pittsburgh Steelers",2016
"13","['Ladarius Green']","Questionable: concussion","week_20","Pittsburgh Steelers",2016
"14","['Shamarko Thomas']","Injured Reserve: Concussion","week_20","Pittsburgh Steelers",2016
