name,injury,week,team,year
['Jude Adjei-Barimah'],Injured Reserve: Knee,week_2,Tampa Bay Buccaneers,2017
['Kwon Alexander'],Questionable: Illness,week_2,Tampa Bay Buccaneers,2017
['Robert Ayers'],NA,week_2,Tampa Bay Buccaneers,2017
['Chris Baker'],NA,week_2,Tampa Bay Buccaneers,2017
['Kendell Beckwith'],NA,week_2,Tampa Bay Buccaneers,2017
['Devante Bond'],Out: Knee,week_2,Tampa Bay Buccaneers,2017
['Cameron Brate'],NA,week_2,Tampa Bay Buccaneers,2017
['Lavonte David'],NA,week_2,Tampa Bay Buccaneers,2017
['Evan Dietrich-Smith'],Questionable: Illness,week_2,Tampa Bay Buccaneers,2017
['Demar Dotson'],NA,week_2,Tampa Bay Buccaneers,2017
['Justin Evans'],NA,week_2,Tampa Bay Buccaneers,2017
['Nick Folk'],NA,week_2,Tampa Bay Buccaneers,2017
['William Gholston'],NA,week_2,Tampa Bay Buccaneers,2017
['Ryan Griffin'],Injured Reserve: Shoulder,week_2,Tampa Bay Buccaneers,2017
['Brent Grimes'],NA,week_2,Tampa Bay Buccaneers,2017
['Vernon Hargreaves'],NA,week_2,Tampa Bay Buccaneers,2017
['O.J. Howard'],NA,week_2,Tampa Bay Buccaneers,2017
['Adam Humphries'],NA,week_2,Tampa Bay Buccaneers,2017
['DeSean Jackson'],NA,week_2,Tampa Bay Buccaneers,2017
['DaVonte Lambert'],Injured Reserve: Wrist,week_2,Tampa Bay Buccaneers,2017
['Ali Marpet'],NA,week_2,Tampa Bay Buccaneers,2017
['Doug Martin'],NA,week_2,Tampa Bay Buccaneers,2017
['Robert McClain'],NA,week_2,Tampa Bay Buccaneers,2017
['Gerald McCoy'],NA,week_2,Tampa Bay Buccaneers,2017
['Clinton McDonald'],NA,week_2,Tampa Bay Buccaneers,2017
['Kevin Pamphile'],NA,week_2,Tampa Bay Buccaneers,2017
['Josh Robinson'],NA,week_2,Tampa Bay Buccaneers,2017
['Ryan Russell'],NA,week_2,Tampa Bay Buccaneers,2017
['Donovan Smith'],NA,week_2,Tampa Bay Buccaneers,2017
['Jacquies Smith'],Injured Reserve: Knee,week_2,Tampa Bay Buccaneers,2017
['Ryan Smith'],NA,week_2,Tampa Bay Buccaneers,2017
['Noah Spence'],NA,week_2,Tampa Bay Buccaneers,2017
['J.R. Sweezy'],NA,week_2,Tampa Bay Buccaneers,2017
['Keith Tandy'],NA,week_2,Tampa Bay Buccaneers,2017
['Adarius Taylor'],NA,week_2,Tampa Bay Buccaneers,2017
['Justin Trattou'],Injured Reserve: Undisclosed,week_2,Tampa Bay Buccaneers,2017
"[""Stevie Tu'ikolovatu""]",Injured Reserve: Knee,week_2,Tampa Bay Buccaneers,2017
['T.J. Ward'],NA,week_2,Tampa Bay Buccaneers,2017
['Leonard Wester'],NA,week_2,Tampa Bay Buccaneers,2017
['Jameis Winston'],NA,week_2,Tampa Bay Buccaneers,2017
['Jude Adjei-Barimah'],Injured Reserve: Knee,week_3,Tampa Bay Buccaneers,2017
['Kwon Alexander'],Out: Hamstring,week_3,Tampa Bay Buccaneers,2017
['Robert Ayers'],NA,week_3,Tampa Bay Buccaneers,2017
['Chris Baker'],Doubtful: Illness,week_3,Tampa Bay Buccaneers,2017
['Kendell Beckwith'],NA,week_3,Tampa Bay Buccaneers,2017
['Devante Bond'],Questionable: Knee,week_3,Tampa Bay Buccaneers,2017
['Cameron Brate'],NA,week_3,Tampa Bay Buccaneers,2017
['Lavonte David'],NA,week_3,Tampa Bay Buccaneers,2017
['Evan Dietrich-Smith'],NA,week_3,Tampa Bay Buccaneers,2017
['Demar Dotson'],NA,week_3,Tampa Bay Buccaneers,2017
['Justin Evans'],NA,week_3,Tampa Bay Buccaneers,2017
['Nick Folk'],NA,week_3,Tampa Bay Buccaneers,2017
['William Gholston'],NA,week_3,Tampa Bay Buccaneers,2017
['Ryan Griffin'],Injured Reserve: Shoulder,week_3,Tampa Bay Buccaneers,2017
['Brent Grimes'],Questionable: Shoulder,week_3,Tampa Bay Buccaneers,2017
['Vernon Hargreaves'],NA,week_3,Tampa Bay Buccaneers,2017
['O.J. Howard'],NA,week_3,Tampa Bay Buccaneers,2017
['Adam Humphries'],NA,week_3,Tampa Bay Buccaneers,2017
['DeSean Jackson'],NA,week_3,Tampa Bay Buccaneers,2017
['DaVonte Lambert'],Injured Reserve: Wrist,week_3,Tampa Bay Buccaneers,2017
['Ali Marpet'],NA,week_3,Tampa Bay Buccaneers,2017
['Doug Martin'],NA,week_3,Tampa Bay Buccaneers,2017
['Robert McClain'],NA,week_3,Tampa Bay Buccaneers,2017
['Gerald McCoy'],Questionable: Ankle,week_3,Tampa Bay Buccaneers,2017
['Clinton McDonald'],NA,week_3,Tampa Bay Buccaneers,2017
['Kevin Pamphile'],Questionable: Illness,week_3,Tampa Bay Buccaneers,2017
['Josh Robinson'],NA,week_3,Tampa Bay Buccaneers,2017
['Ryan Russell'],NA,week_3,Tampa Bay Buccaneers,2017
['Donovan Smith'],NA,week_3,Tampa Bay Buccaneers,2017
['Jacquies Smith'],Doubtful: Illness,week_3,Tampa Bay Buccaneers,2017
['Ryan Smith'],NA,week_3,Tampa Bay Buccaneers,2017
['Noah Spence'],NA,week_3,Tampa Bay Buccaneers,2017
['J.R. Sweezy'],NA,week_3,Tampa Bay Buccaneers,2017
['Keith Tandy'],NA,week_3,Tampa Bay Buccaneers,2017
['Adarius Taylor'],NA,week_3,Tampa Bay Buccaneers,2017
['Justin Trattou'],Injured Reserve: Undisclosed,week_3,Tampa Bay Buccaneers,2017
"[""Stevie Tu'ikolovatu""]",Injured Reserve: Knee,week_3,Tampa Bay Buccaneers,2017
['T.J. Ward'],NA,week_3,Tampa Bay Buccaneers,2017
['Leonard Wester'],NA,week_3,Tampa Bay Buccaneers,2017
['Jameis Winston'],NA,week_3,Tampa Bay Buccaneers,2017
['Jude Adjei-Barimah'],Injured Reserve: Knee,week_4,Tampa Bay Buccaneers,2017
['Kwon Alexander'],Out: Hamstring,week_4,Tampa Bay Buccaneers,2017
['Robert Ayers'],Questionable: Knee,week_4,Tampa Bay Buccaneers,2017
['Chris Baker'],NA,week_4,Tampa Bay Buccaneers,2017
['Kendell Beckwith'],NA,week_4,Tampa Bay Buccaneers,2017
['Devante Bond'],NA,week_4,Tampa Bay Buccaneers,2017
['Cameron Brate'],NA,week_4,Tampa Bay Buccaneers,2017
['Lavonte David'],Doubtful: Ankle,week_4,Tampa Bay Buccaneers,2017
['Evan Dietrich-Smith'],NA,week_4,Tampa Bay Buccaneers,2017
['Demar Dotson'],NA,week_4,Tampa Bay Buccaneers,2017
['Justin Evans'],NA,week_4,Tampa Bay Buccaneers,2017
['Nick Folk'],NA,week_4,Tampa Bay Buccaneers,2017
['William Gholston'],NA,week_4,Tampa Bay Buccaneers,2017
['Ryan Griffin'],Injured Reserve: Shoulder,week_4,Tampa Bay Buccaneers,2017
['Brent Grimes'],Questionable: Shoulder,week_4,Tampa Bay Buccaneers,2017
['Vernon Hargreaves'],NA,week_4,Tampa Bay Buccaneers,2017
['O.J. Howard'],NA,week_4,Tampa Bay Buccaneers,2017
['Adam Humphries'],NA,week_4,Tampa Bay Buccaneers,2017
['DeSean Jackson'],NA,week_4,Tampa Bay Buccaneers,2017
['DaVonte Lambert'],Injured Reserve: Wrist,week_4,Tampa Bay Buccaneers,2017
['Ali Marpet'],NA,week_4,Tampa Bay Buccaneers,2017
['Doug Martin'],NA,week_4,Tampa Bay Buccaneers,2017
['Robert McClain'],NA,week_4,Tampa Bay Buccaneers,2017
['Gerald McCoy'],Questionable: Ankle,week_4,Tampa Bay Buccaneers,2017
['Clinton McDonald'],NA,week_4,Tampa Bay Buccaneers,2017
['Kevin Pamphile'],NA,week_4,Tampa Bay Buccaneers,2017
['Josh Robinson'],NA,week_4,Tampa Bay Buccaneers,2017
['Ryan Russell'],NA,week_4,Tampa Bay Buccaneers,2017
['Donovan Smith'],NA,week_4,Tampa Bay Buccaneers,2017
['Jacquies Smith'],NA,week_4,Tampa Bay Buccaneers,2017
['Ryan Smith'],NA,week_4,Tampa Bay Buccaneers,2017
['Noah Spence'],Questionable: Shoulder,week_4,Tampa Bay Buccaneers,2017
['J.R. Sweezy'],Questionable: Back,week_4,Tampa Bay Buccaneers,2017
['Keith Tandy'],NA,week_4,Tampa Bay Buccaneers,2017
['Adarius Taylor'],NA,week_4,Tampa Bay Buccaneers,2017
['Justin Trattou'],Injured Reserve: Undisclosed,week_4,Tampa Bay Buccaneers,2017
"[""Stevie Tu'ikolovatu""]",Injured Reserve: Knee,week_4,Tampa Bay Buccaneers,2017
['T.J. Ward'],Doubtful: Hip,week_4,Tampa Bay Buccaneers,2017
['Leonard Wester'],NA,week_4,Tampa Bay Buccaneers,2017
['Jameis Winston'],NA,week_4,Tampa Bay Buccaneers,2017
['Jude Adjei-Barimah'],Injured Reserve: Knee,week_5,Tampa Bay Buccaneers,2017
['Kwon Alexander'],Out: Hamstring,week_5,Tampa Bay Buccaneers,2017
['Robert Ayers'],NA,week_5,Tampa Bay Buccaneers,2017
['Chris Baker'],NA,week_5,Tampa Bay Buccaneers,2017
['Kendell Beckwith'],NA,week_5,Tampa Bay Buccaneers,2017
['Devante Bond'],NA,week_5,Tampa Bay Buccaneers,2017
['Cameron Brate'],NA,week_5,Tampa Bay Buccaneers,2017
['Lavonte David'],Doubtful: Ankle,week_5,Tampa Bay Buccaneers,2017
['Evan Dietrich-Smith'],NA,week_5,Tampa Bay Buccaneers,2017
['Demar Dotson'],NA,week_5,Tampa Bay Buccaneers,2017
['Justin Evans'],NA,week_5,Tampa Bay Buccaneers,2017
['Nick Folk'],NA,week_5,Tampa Bay Buccaneers,2017
['William Gholston'],NA,week_5,Tampa Bay Buccaneers,2017
['Ryan Griffin'],Injured Reserve: Shoulder,week_5,Tampa Bay Buccaneers,2017
['Brent Grimes'],NA,week_5,Tampa Bay Buccaneers,2017
['Vernon Hargreaves'],NA,week_5,Tampa Bay Buccaneers,2017
['O.J. Howard'],NA,week_5,Tampa Bay Buccaneers,2017
['Adam Humphries'],NA,week_5,Tampa Bay Buccaneers,2017
['DeSean Jackson'],NA,week_5,Tampa Bay Buccaneers,2017
['DaVonte Lambert'],Injured Reserve: Wrist,week_5,Tampa Bay Buccaneers,2017
['Ali Marpet'],NA,week_5,Tampa Bay Buccaneers,2017
['Doug Martin'],NA,week_5,Tampa Bay Buccaneers,2017
['Robert McClain'],NA,week_5,Tampa Bay Buccaneers,2017
['Gerald McCoy'],NA,week_5,Tampa Bay Buccaneers,2017
['Clinton McDonald'],NA,week_5,Tampa Bay Buccaneers,2017
['Kevin Pamphile'],NA,week_5,Tampa Bay Buccaneers,2017
['Josh Robinson'],NA,week_5,Tampa Bay Buccaneers,2017
['Ryan Russell'],NA,week_5,Tampa Bay Buccaneers,2017
['Donovan Smith'],NA,week_5,Tampa Bay Buccaneers,2017
['Jacquies Smith'],Injured Reserve: Knee,week_5,Tampa Bay Buccaneers,2017
['Ryan Smith'],NA,week_5,Tampa Bay Buccaneers,2017
['Noah Spence'],NA,week_5,Tampa Bay Buccaneers,2017
['J.R. Sweezy'],NA,week_5,Tampa Bay Buccaneers,2017
['Keith Tandy'],Doubtful: Hip,week_5,Tampa Bay Buccaneers,2017
['Adarius Taylor'],NA,week_5,Tampa Bay Buccaneers,2017
['Justin Trattou'],Injured Reserve: Undisclosed,week_5,Tampa Bay Buccaneers,2017
"[""Stevie Tu'ikolovatu""]",Injured Reserve: Knee,week_5,Tampa Bay Buccaneers,2017
['T.J. Ward'],Doubtful: Hip,week_5,Tampa Bay Buccaneers,2017
['Leonard Wester'],NA,week_5,Tampa Bay Buccaneers,2017
['Jameis Winston'],NA,week_5,Tampa Bay Buccaneers,2017
['Jude Adjei-Barimah'],Injured Reserve: Knee,week_6,Tampa Bay Buccaneers,2017
['Kwon Alexander'],Out: Hamstring,week_6,Tampa Bay Buccaneers,2017
['Robert Ayers'],Questionable: Back,week_6,Tampa Bay Buccaneers,2017
['Chris Baker'],NA,week_6,Tampa Bay Buccaneers,2017
['Kendell Beckwith'],NA,week_6,Tampa Bay Buccaneers,2017
['Devante Bond'],NA,week_6,Tampa Bay Buccaneers,2017
['Cameron Brate'],NA,week_6,Tampa Bay Buccaneers,2017
['Lavonte David'],Questionable: Ankle,week_6,Tampa Bay Buccaneers,2017
['Evan Dietrich-Smith'],NA,week_6,Tampa Bay Buccaneers,2017
['Demar Dotson'],NA,week_6,Tampa Bay Buccaneers,2017
['Justin Evans'],NA,week_6,Tampa Bay Buccaneers,2017
['Nick Folk'],Injured Reserve: Leg,week_6,Tampa Bay Buccaneers,2017
['William Gholston'],NA,week_6,Tampa Bay Buccaneers,2017
['Ryan Griffin'],Injured Reserve: Shoulder,week_6,Tampa Bay Buccaneers,2017
['Brent Grimes'],NA,week_6,Tampa Bay Buccaneers,2017
['Vernon Hargreaves'],NA,week_6,Tampa Bay Buccaneers,2017
['O.J. Howard'],NA,week_6,Tampa Bay Buccaneers,2017
['Adam Humphries'],NA,week_6,Tampa Bay Buccaneers,2017
['DeSean Jackson'],NA,week_6,Tampa Bay Buccaneers,2017
['DaVonte Lambert'],Injured Reserve: Wrist,week_6,Tampa Bay Buccaneers,2017
['Ali Marpet'],Questionable: Illness,week_6,Tampa Bay Buccaneers,2017
['Doug Martin'],NA,week_6,Tampa Bay Buccaneers,2017
['Robert McClain'],NA,week_6,Tampa Bay Buccaneers,2017
