"","name","injury","week","team","year"
"1","['Rico Gathers']","Injured Reserve: Concussion","week_1","Dallas Cowboys",2017
"2","['Rico Gathers']","Injured Reserve: Concussion","week_2","Dallas Cowboys",2017
"3","['Nolan Carroll']","Out: Concussion","week_3","Dallas Cowboys",2017
"4","['Rico Gathers']","Injured Reserve: Concussion","week_3","Dallas Cowboys",2017
"5","['Nolan Carroll']","Questionable: Concussion","week_4","Dallas Cowboys",2017
"6","['Rico Gathers']","Injured Reserve: Concussion","week_4","Dallas Cowboys",2017
"7","['Nolan Carroll']","Questionable: Concussion","week_5","Dallas Cowboys",2017
"8","['Rico Gathers']","Injured Reserve: Concussion","week_5","Dallas Cowboys",2017
"9","['Rico Gathers']","Injured Reserve: Concussion","week_7","Dallas Cowboys",2017
"10","['Rico Gathers']","Injured Reserve: Concussion","week_8","Dallas Cowboys",2017
"11","['Cole Beasley']","Questionable: Concussion","week_9","Dallas Cowboys",2017
"12","['Rico Gathers']","Injured Reserve: Concussion","week_9","Dallas Cowboys",2017
"13","['Rico Gathers']","Injured Reserve: Concussion","week_10","Dallas Cowboys",2017
"14","['Rico Gathers']","Injured Reserve: Concussion","week_11","Dallas Cowboys",2017
"15","['Jeff Heath']","Questionable: Concussion","week_11","Dallas Cowboys",2017
"16","['Rico Gathers']","Injured Reserve: Concussion","week_12","Dallas Cowboys",2017
"17","['Justin Durant']","Out: Concussion","week_13","Dallas Cowboys",2017
"18","['Rico Gathers']","Injured Reserve: Concussion","week_13","Dallas Cowboys",2017
"19","['Zack Martin']","Questionable: Concussion","week_13","Dallas Cowboys",2017
"20","['Justin Durant']","Questionable: Concussion","week_14","Dallas Cowboys",2017
"21","['Rico Gathers']","Injured Reserve: Concussion","week_14","Dallas Cowboys",2017
"22","['David Irving']","Questionable: Concussion","week_14","Dallas Cowboys",2017
"23","['Justin Durant']","Out: Concussion","week_15","Dallas Cowboys",2017
"24","['Rico Gathers']","Injured Reserve: Concussion","week_15","Dallas Cowboys",2017
"25","['David Irving']","Out: Concussion","week_15","Dallas Cowboys",2017
"26","['Rico Gathers']","Injured Reserve: Concussion","week_16","Dallas Cowboys",2017
"27","['David Irving']","Out: Concussion","week_16","Dallas Cowboys",2017
"28","['Rico Gathers']","Injured Reserve: Concussion","week_17","Dallas Cowboys",2017
"29","['David Irving']","Out: Concussion","week_17","Dallas Cowboys",2017
