name,injury,week,team,year
['Jay Ajayi'],NA,week_2,Miami Dolphins,2017
['Chase Allen'],NA,week_2,Miami Dolphins,2017
['Nate Allen'],NA,week_2,Miami Dolphins,2017
['Kiko Alonso'],NA,week_2,Miami Dolphins,2017
['Stephone Anthony'],NA,week_2,Miami Dolphins,2017
['Isaac Asiata'],NA,week_2,Miami Dolphins,2017
['Lamin Barrow'],Injured Reserve: Foot,week_2,Miami Dolphins,2017
['Andre Branch'],NA,week_2,Miami Dolphins,2017
['Jermon Bushrod'],NA,week_2,Miami Dolphins,2017
['Leonte Carroo'],NA,week_2,Miami Dolphins,2017
['Jay Cutler'],NA,week_2,Miami Dolphins,2017
['John Denney'],NA,week_2,Miami Dolphins,2017
['Terrence Fede'],NA,week_2,Miami Dolphins,2017
['Isaiah Ford'],Injured Reserve: Knee,week_2,Miami Dolphins,2017
['Davon Godchaux'],NA,week_2,Miami Dolphins,2017
['Jakeem Grant'],NA,week_2,Miami Dolphins,2017
['MarQueis Gray'],NA,week_2,Miami Dolphins,2017
['Charles Harris'],NA,week_2,Miami Dolphins,2017
['William Hayes'],NA,week_2,Miami Dolphins,2017
['Neville Hewitt'],NA,week_2,Miami Dolphins,2017
['Xavien Howard'],NA,week_2,Miami Dolphins,2017
['Mike Hull'],NA,week_2,Miami Dolphins,2017
"[""Ja'Wuan James""]",NA,week_2,Miami Dolphins,2017
['Jarvis Landry'],Questionable: Knee,week_2,Miami Dolphins,2017
['Ted Larsen'],Injured Reserve: Bicep,week_2,Miami Dolphins,2017
['Tony Lippett'],Injured Reserve: Achilles,week_2,Miami Dolphins,2017
['Rey Maualuga'],Out: Hamstring,week_2,Miami Dolphins,2017
['Byron Maxwell'],NA,week_2,Miami Dolphins,2017
['Bobby McCain'],NA,week_2,Miami Dolphins,2017
['T.J. McDonald'],NA,week_2,Miami Dolphins,2017
['Raekwon McMillan'],Injured Reserve: Knee,week_2,Miami Dolphins,2017
['Koa Misi'],Injured Reserve: Neck,week_2,Miami Dolphins,2017
['Matt Moore'],NA,week_2,Miami Dolphins,2017
['DeVante Parker'],NA,week_2,Miami Dolphins,2017
['Senorise Perry'],NA,week_2,Miami Dolphins,2017
['Jordan Phillips'],NA,week_2,Miami Dolphins,2017
['Mike Pouncey'],NA,week_2,Miami Dolphins,2017
['Rashawn Scott'],Injured Reserve: Foot,week_2,Miami Dolphins,2017
['Eric Smith'],NA,week_2,Miami Dolphins,2017
['Maurice Smith'],NA,week_2,Miami Dolphins,2017
['Anthony Steen'],NA,week_2,Miami Dolphins,2017
['Kenny Stills'],NA,week_2,Miami Dolphins,2017
['Cordrea Tankersley'],NA,week_2,Miami Dolphins,2017
['Ryan Tannehill'],Injured Reserve: Knee,week_2,Miami Dolphins,2017
