"","name","injury","week","team","year"
"1","['Ryan Schraeder']","Out: Concussion","week_3","Atlanta Falcons",2017
"2","['Ricardo Allen']","Out: Concussion","week_4","Atlanta Falcons",2017
"3","['Ryan Schraeder']","Out: Concussion","week_4","Atlanta Falcons",2017
"4","['Jordan Tripp']","Injured Reserve: Concussion","week_7","Atlanta Falcons",2017
"5","['Jordan Tripp']","Injured Reserve: Concussion","week_8","Atlanta Falcons",2017
"6","['Jordan Tripp']","Injured Reserve: Concussion","week_9","Atlanta Falcons",2017
"7","['Jordan Tripp']","Injured Reserve: Concussion","week_10","Atlanta Falcons",2017
"8","['Devonta Freeman']","Out: Concussion","week_11","Atlanta Falcons",2017
"9","['Jordan Tripp']","Injured Reserve: Concussion","week_11","Atlanta Falcons",2017
"10","['Devonta Freeman']","Out: Concussion","week_12","Atlanta Falcons",2017
"11","['Jordan Tripp']","Injured Reserve: Concussion","week_12","Atlanta Falcons",2017
"12","['Jordan Tripp']","Injured Reserve: Concussion","week_13","Atlanta Falcons",2017
"13","['Desmond Trufant']","Out: Concussion","week_13","Atlanta Falcons",2017
"14","['Jordan Tripp']","Injured Reserve: Concussion","week_14","Atlanta Falcons",2017
"15","['Tevin Coleman']","Out: Concussion","week_15","Atlanta Falcons",2017
"16","['Jordan Tripp']","Injured Reserve: Concussion","week_15","Atlanta Falcons",2017
"17","['Jordan Tripp']","Injured Reserve: Concussion","week_16","Atlanta Falcons",2017
"18","['Jordan Tripp']","Injured Reserve: Concussion","week_17","Atlanta Falcons",2017
"19","['Jordan Tripp']","Injured Reserve: Concussion","week_18","Atlanta Falcons",2017
"20","['Jordan Tripp']","Injured Reserve: Concussion","week_19","Atlanta Falcons",2017
