name,injury,week,team,year
['Vadal Alexander'],NA,week_1,Oakland Raiders,2017
['David Amerson'],NA,week_1,Oakland Raiders,2017
['Denico Autry'],NA,week_1,Oakland Raiders,2017
['Derek Carr'],NA,week_1,Oakland Raiders,2017
['Gareon Conley'],Injured Reserve: Shin,week_1,Oakland Raiders,2017
['Amari Cooper'],NA,week_1,Oakland Raiders,2017
['Michael Crabtree'],NA,week_1,Oakland Raiders,2017
['Mario Edwards'],NA,week_1,Oakland Raiders,2017
['Jon Feliciano'],NA,week_1,Oakland Raiders,2017
['Antonio Hamilton'],NA,week_1,Oakland Raiders,2017
['Ben Heeney'],Injured Reserve: Ankle,week_1,Oakland Raiders,2017
['Cooper Helfet'],Injured Reserve: Foot,week_1,Oakland Raiders,2017
['Treyvon Hester'],NA,week_1,Oakland Raiders,2017
['Johnny Holton'],NA,week_1,Oakland Raiders,2017
['Rodney Hudson'],NA,week_1,Oakland Raiders,2017
['Bruce Irvin'],NA,week_1,Oakland Raiders,2017
['Gabe Jackson'],NA,week_1,Oakland Raiders,2017
['Cory James'],Questionable: Knee,week_1,Oakland Raiders,2017
['Sebastian Janikowski'],Injured Reserve: Back,week_1,Oakland Raiders,2017
['Jelani Jenkins'],Injured Reserve: Undisclosed,week_1,Oakland Raiders,2017
['Karl Joseph'],NA,week_1,Oakland Raiders,2017
['Marquette King'],NA,week_1,Oakland Raiders,2017
['Denver Kirkland'],Injured Reserve: Leg,week_1,Oakland Raiders,2017
['Marquel Lee'],NA,week_1,Oakland Raiders,2017
['Demetrius McCray'],NA,week_1,Oakland Raiders,2017
['Dexter McDonald'],NA,week_1,Oakland Raiders,2017
['Keith McGill'],Out: Foot,week_1,Oakland Raiders,2017
['Obi Melifonwu'],Injured Reserve: Knee,week_1,Oakland Raiders,2017
['Nicholas Morrow'],NA,week_1,Oakland Raiders,2017
['Marshall Newhouse'],NA,week_1,Oakland Raiders,2017
['Jamize Olawale'],Out: Quadricep,week_1,Oakland Raiders,2017
['Cordarrelle Patterson'],NA,week_1,Oakland Raiders,2017
['Donald Penn'],NA,week_1,Oakland Raiders,2017
['David Sharpe'],NA,week_1,Oakland Raiders,2017
['Sean Smith'],NA,week_1,Oakland Raiders,2017
['Clive Walford'],NA,week_1,Oakland Raiders,2017
['Jihad Ward'],Injured Reserve: Foot,week_1,Oakland Raiders,2017
['DeAndre Washington'],NA,week_1,Oakland Raiders,2017
['Vadal Alexander'],NA,week_2,Oakland Raiders,2017
['David Amerson'],NA,week_2,Oakland Raiders,2017
['Denico Autry'],NA,week_2,Oakland Raiders,2017
['Derek Carr'],NA,week_2,Oakland Raiders,2017
['Gareon Conley'],NA,week_2,Oakland Raiders,2017
['Amari Cooper'],NA,week_2,Oakland Raiders,2017
['Michael Crabtree'],NA,week_2,Oakland Raiders,2017
['Mario Edwards'],NA,week_2,Oakland Raiders,2017
['Jon Feliciano'],NA,week_2,Oakland Raiders,2017
['Antonio Hamilton'],NA,week_2,Oakland Raiders,2017
['Ben Heeney'],Injured Reserve: Ankle,week_2,Oakland Raiders,2017
['Cooper Helfet'],Injured Reserve: Foot,week_2,Oakland Raiders,2017
['Treyvon Hester'],NA,week_2,Oakland Raiders,2017
['Johnny Holton'],NA,week_2,Oakland Raiders,2017
['Rodney Hudson'],NA,week_2,Oakland Raiders,2017
['Bruce Irvin'],NA,week_2,Oakland Raiders,2017
['Gabe Jackson'],NA,week_2,Oakland Raiders,2017
['Cory James'],NA,week_2,Oakland Raiders,2017
['Sebastian Janikowski'],Injured Reserve: Back,week_2,Oakland Raiders,2017
['Jelani Jenkins'],Injured Reserve: Undisclosed,week_2,Oakland Raiders,2017
['Karl Joseph'],NA,week_2,Oakland Raiders,2017
['Marquette King'],NA,week_2,Oakland Raiders,2017
['Denver Kirkland'],Injured Reserve: Leg,week_2,Oakland Raiders,2017
['Marquel Lee'],NA,week_2,Oakland Raiders,2017
['Demetrius McCray'],NA,week_2,Oakland Raiders,2017
['Dexter McDonald'],NA,week_2,Oakland Raiders,2017
['Keith McGill'],Questionable: Foot,week_2,Oakland Raiders,2017
['Obi Melifonwu'],Injured Reserve: Knee,week_2,Oakland Raiders,2017
['Nicholas Morrow'],NA,week_2,Oakland Raiders,2017
['Marshall Newhouse'],NA,week_2,Oakland Raiders,2017
['Jamize Olawale'],Questionable: Quadricep,week_2,Oakland Raiders,2017
['Cordarrelle Patterson'],NA,week_2,Oakland Raiders,2017
['Donald Penn'],NA,week_2,Oakland Raiders,2017
['David Sharpe'],NA,week_2,Oakland Raiders,2017
['Sean Smith'],Questionable: Neck,week_2,Oakland Raiders,2017
['Clive Walford'],NA,week_2,Oakland Raiders,2017
['Jihad Ward'],NA,week_2,Oakland Raiders,2017
['DeAndre Washington'],NA,week_2,Oakland Raiders,2017
['Vadal Alexander'],NA,week_3,Oakland Raiders,2017
['David Amerson'],NA,week_3,Oakland Raiders,2017
['Denico Autry'],NA,week_3,Oakland Raiders,2017
['Derek Carr'],NA,week_3,Oakland Raiders,2017
['Gareon Conley'],NA,week_3,Oakland Raiders,2017
['Amari Cooper'],NA,week_3,Oakland Raiders,2017
['Michael Crabtree'],NA,week_3,Oakland Raiders,2017
['Mario Edwards'],NA,week_3,Oakland Raiders,2017
['Jon Feliciano'],NA,week_3,Oakland Raiders,2017
['Antonio Hamilton'],NA,week_3,Oakland Raiders,2017
['Ben Heeney'],Injured Reserve: Ankle,week_3,Oakland Raiders,2017
['Cooper Helfet'],Injured Reserve: Foot,week_3,Oakland Raiders,2017
['Treyvon Hester'],NA,week_3,Oakland Raiders,2017
['Johnny Holton'],NA,week_3,Oakland Raiders,2017
['Rodney Hudson'],NA,week_3,Oakland Raiders,2017
['Bruce Irvin'],NA,week_3,Oakland Raiders,2017
['Gabe Jackson'],NA,week_3,Oakland Raiders,2017
['Cory James'],NA,week_3,Oakland Raiders,2017
['Sebastian Janikowski'],Injured Reserve: Back,week_3,Oakland Raiders,2017
