name,injury,week,team,year
['Jonathan Allen'],NA,week_1,Washington Redskins,2017
['Houston Bates'],Injured Reserve: Knee,week_1,Washington Redskins,2017
['Kevin Bowen'],Injured Reserve: Ankle,week_1,Washington Redskins,2017
['Bashaud Breeland'],NA,week_1,Washington Redskins,2017
['Zach Brown'],NA,week_1,Washington Redskins,2017
['Chris Carter'],NA,week_1,Washington Redskins,2017
['Tyler Catalina'],NA,week_1,Washington Redskins,2017
['T.J. Clemmings'],NA,week_1,Washington Redskins,2017
['William Compton'],NA,week_1,Washington Redskins,2017
"[""Su'a Cravens""]",Injured Reserve: Knee,week_1,Washington Redskins,2017
['Jamison Crowder'],Questionable: Hip,week_1,Washington Redskins,2017
['LeShun Daniels'],NA,week_1,Washington Redskins,2017
['Robert Davis'],NA,week_1,Washington Redskins,2017
['Josh Doctson'],NA,week_1,Washington Redskins,2017
['Quinton Dunbar'],NA,week_1,Washington Redskins,2017
['Deshazor Everett'],NA,week_1,Washington Redskins,2017
['Mason Foster'],NA,week_1,Washington Redskins,2017
['Kendall Fuller'],NA,week_1,Washington Redskins,2017
['Ryan Grant'],NA,week_1,Washington Redskins,2017
['DeAngelo Hall'],Injured Reserve: Knee,week_1,Washington Redskins,2017
['Maurice Harris'],NA,week_1,Washington Redskins,2017
['Evander Hood'],NA,week_1,Washington Redskins,2017
['Dustin Hopkins'],NA,week_1,Washington Redskins,2017
['Matthew Ioannidis'],NA,week_1,Washington Redskins,2017
['Arthur Jones'],NA,week_1,Washington Redskins,2017
['Kyle Kalis'],NA,week_1,Washington Redskins,2017
['Robert Kelley'],NA,week_1,Washington Redskins,2017
['Ryan Kerrigan'],NA,week_1,Washington Redskins,2017
['Anthony Lanier'],NA,week_1,Washington Redskins,2017
['Shawn Lauvao'],NA,week_1,Washington Redskins,2017
['Spencer Long'],Questionable: Knee,week_1,Washington Redskins,2017
['Byron Marshall'],NA,week_1,Washington Redskins,2017
['Keith Marshall'],Injured Reserve: Knee,week_1,Washington Redskins,2017
['Terrell McClain'],NA,week_1,Washington Redskins,2017
['Stefan McClure'],NA,week_1,Washington Redskins,2017
['Fabian Moreau'],NA,week_1,Washington Redskins,2017
['Morgan Moses'],NA,week_1,Washington Redskins,2017
['Trent Murphy'],Injured Reserve: Knee,week_1,Washington Redskins,2017
['Montae Nicholson'],NA,week_1,Washington Redskins,2017
['Josh Norman'],NA,week_1,Washington Redskins,2017
['Ty Nsekhe'],NA,week_1,Washington Redskins,2017
['Niles Paul'],NA,week_1,Washington Redskins,2017
['Samaje Perine'],NA,week_1,Washington Redskins,2017
['Terrelle Pryor'],NA,week_1,Washington Redskins,2017
['Brian Quick'],NA,week_1,Washington Redskins,2017
['Jordan Reed'],NA,week_1,Washington Redskins,2017
['Chase Roullier'],NA,week_1,Washington Redskins,2017
['Brandon Scherff'],NA,week_1,Washington Redskins,2017
['Preston Smith'],NA,week_1,Washington Redskins,2017
['Martrell Spaight'],NA,week_1,Washington Redskins,2017
['D.J. Swearinger'],NA,week_1,Washington Redskins,2017
['Phil Taylor'],Injured Reserve: Quadricep,week_1,Washington Redskins,2017
['Chris Thompson'],NA,week_1,Washington Redskins,2017
['Kendal Thompson'],Injured Reserve: Leg,week_1,Washington Redskins,2017
['Trent Williams'],NA,week_1,Washington Redskins,2017
['Jonathan Allen'],NA,week_2,Washington Redskins,2017
['Houston Bates'],Injured Reserve: Knee,week_2,Washington Redskins,2017
['Kevin Bowen'],Injured Reserve: Ankle,week_2,Washington Redskins,2017
['Bashaud Breeland'],NA,week_2,Washington Redskins,2017
['Zach Brown'],NA,week_2,Washington Redskins,2017
['Chris Carter'],NA,week_2,Washington Redskins,2017
['Tyler Catalina'],NA,week_2,Washington Redskins,2017
['T.J. Clemmings'],NA,week_2,Washington Redskins,2017
['William Compton'],NA,week_2,Washington Redskins,2017
"[""Su'a Cravens""]",Injured Reserve: Knee,week_2,Washington Redskins,2017
['Jamison Crowder'],NA,week_2,Washington Redskins,2017
['LeShun Daniels'],NA,week_2,Washington Redskins,2017
['Robert Davis'],NA,week_2,Washington Redskins,2017
['Josh Doctson'],Questionable: Hamstring,week_2,Washington Redskins,2017
['Quinton Dunbar'],NA,week_2,Washington Redskins,2017
['Deshazor Everett'],NA,week_2,Washington Redskins,2017
['Mason Foster'],NA,week_2,Washington Redskins,2017
['Kendall Fuller'],NA,week_2,Washington Redskins,2017
['Ryan Grant'],NA,week_2,Washington Redskins,2017
['DeAngelo Hall'],Injured Reserve: Knee,week_2,Washington Redskins,2017
['Maurice Harris'],NA,week_2,Washington Redskins,2017
['Evander Hood'],NA,week_2,Washington Redskins,2017
['Dustin Hopkins'],NA,week_2,Washington Redskins,2017
['Matthew Ioannidis'],NA,week_2,Washington Redskins,2017
['Arthur Jones'],NA,week_2,Washington Redskins,2017
['Kyle Kalis'],NA,week_2,Washington Redskins,2017
