name,injury,week,team,year
['Arik Armstead'],NA,week_1,San Francisco 49ers,2017
['Ray-Ray Armstrong'],NA,week_1,San Francisco 49ers,2017
['Ronald Blair'],Injured Reserve: Thumb,week_1,San Francisco 49ers,2017
['Victor Bolden'],NA,week_1,San Francisco 49ers,2017
['Trent Brown'],NA,week_1,San Francisco 49ers,2017
['Aaron Burbridge'],Injured Reserve: Hamstring,week_1,San Francisco 49ers,2017
['Tank Carradine'],NA,week_1,San Francisco 49ers,2017
['Garrett Celek'],NA,week_1,San Francisco 49ers,2017
['Adrian Colbert'],NA,week_1,San Francisco 49ers,2017
['Brock Coyle'],NA,week_1,San Francisco 49ers,2017
['Jayson DiManche'],Injured Reserve: Hamstring,week_1,San Francisco 49ers,2017
['Reuben Foster'],NA,week_1,San Francisco 49ers,2017
['Brandon Fusco'],NA,week_1,San Francisco 49ers,2017
['Pierre Garcon'],NA,week_1,San Francisco 49ers,2017
['Joshua Garnett'],Injured Reserve: Knee,week_1,San Francisco 49ers,2017
['Jimmie Gilbert'],Injured Reserve: Knee,week_1,San Francisco 49ers,2017
['Garry Gilliam'],NA,week_1,San Francisco 49ers,2017
['Marquise Goodwin'],NA,week_1,San Francisco 49ers,2017
['Eli Harold'],NA,week_1,San Francisco 49ers,2017
['Cole Hikutini'],NA,week_1,San Francisco 49ers,2017
['Carlos Hyde'],NA,week_1,San Francisco 49ers,2017
['Asa Jackson'],NA,week_1,San Francisco 49ers,2017
['Chanceller James'],Injured Reserve: Knee,week_1,San Francisco 49ers,2017
['BJ Johnson'],Injured Reserve: Hamstring,week_1,San Francisco 49ers,2017
['Chris Jones'],Injured Reserve: Undisclosed,week_1,San Francisco 49ers,2017
['D.J. Jones'],NA,week_1,San Francisco 49ers,2017
['Don Jones'],Injured Reserve: Knee,week_1,San Francisco 49ers,2017
['Kyle Juszczyk'],NA,week_1,San Francisco 49ers,2017
['George Kittle'],NA,week_1,San Francisco 49ers,2017
['Elijah Lee'],NA,week_1,San Francisco 49ers,2017
['Aaron Lynch'],Questionable: Back,week_1,San Francisco 49ers,2017
['Greg Mabin'],NA,week_1,San Francisco 49ers,2017
['Erik Magnuson'],NA,week_1,San Francisco 49ers,2017
['Raheem Mostert'],NA,week_1,San Francisco 49ers,2017
['Donavin Newsom'],Injured Reserve: Concussion,week_1,San Francisco 49ers,2017
['Eric Reid'],NA,week_1,San Francisco 49ers,2017
['Malcolm Smith'],Injured Reserve: Pectoral,week_1,San Francisco 49ers,2017
['Joe Staley'],NA,week_1,San Francisco 49ers,2017
['Jaquiski Tartt'],NA,week_1,San Francisco 49ers,2017
['Pita Taumoepenu'],NA,week_1,San Francisco 49ers,2017
['Trent Taylor'],NA,week_1,San Francisco 49ers,2017
['Solomon Thomas'],NA,week_1,San Francisco 49ers,2017
['Jimmie Ward'],Doubtful: Hamstring,week_1,San Francisco 49ers,2017
['Dekoda Watson'],NA,week_1,San Francisco 49ers,2017
['Joe Williams'],Injured Reserve: Ankle,week_1,San Francisco 49ers,2017
"[""K'Waun Williams""]",NA,week_1,San Francisco 49ers,2017
['Arik Armstead'],NA,week_2,San Francisco 49ers,2017
['Ray-Ray Armstrong'],NA,week_2,San Francisco 49ers,2017
['Ronald Blair'],Injured Reserve: Thumb,week_2,San Francisco 49ers,2017
['Victor Bolden'],NA,week_2,San Francisco 49ers,2017
['Trent Brown'],NA,week_2,San Francisco 49ers,2017
['Aaron Burbridge'],Injured Reserve: Hamstring,week_2,San Francisco 49ers,2017
['Tank Carradine'],NA,week_2,San Francisco 49ers,2017
['Garrett Celek'],NA,week_2,San Francisco 49ers,2017
['Adrian Colbert'],NA,week_2,San Francisco 49ers,2017
['Brock Coyle'],NA,week_2,San Francisco 49ers,2017
['Jayson DiManche'],Injured Reserve: Hamstring,week_2,San Francisco 49ers,2017
['Reuben Foster'],Out: Ankle,week_2,San Francisco 49ers,2017
['Brandon Fusco'],NA,week_2,San Francisco 49ers,2017
['Pierre Garcon'],NA,week_2,San Francisco 49ers,2017
['Joshua Garnett'],Injured Reserve: Knee,week_2,San Francisco 49ers,2017
['Jimmie Gilbert'],Injured Reserve: Knee,week_2,San Francisco 49ers,2017
['Garry Gilliam'],NA,week_2,San Francisco 49ers,2017
['Marquise Goodwin'],NA,week_2,San Francisco 49ers,2017
['Eli Harold'],NA,week_2,San Francisco 49ers,2017
['Cole Hikutini'],NA,week_2,San Francisco 49ers,2017
['Carlos Hyde'],NA,week_2,San Francisco 49ers,2017
['Asa Jackson'],NA,week_2,San Francisco 49ers,2017
['Chanceller James'],Injured Reserve: Knee,week_2,San Francisco 49ers,2017
['BJ Johnson'],Injured Reserve: Hamstring,week_2,San Francisco 49ers,2017
['Chris Jones'],Injured Reserve: Undisclosed,week_2,San Francisco 49ers,2017
['D.J. Jones'],NA,week_2,San Francisco 49ers,2017
['Don Jones'],Injured Reserve: Knee,week_2,San Francisco 49ers,2017
['Kyle Juszczyk'],NA,week_2,San Francisco 49ers,2017
['George Kittle'],NA,week_2,San Francisco 49ers,2017
['Elijah Lee'],NA,week_2,San Francisco 49ers,2017
['Aaron Lynch'],NA,week_2,San Francisco 49ers,2017
['Greg Mabin'],NA,week_2,San Francisco 49ers,2017
['Erik Magnuson'],NA,week_2,San Francisco 49ers,2017
['Raheem Mostert'],NA,week_2,San Francisco 49ers,2017
['Donavin Newsom'],Injured Reserve: Concussion,week_2,San Francisco 49ers,2017
['Eric Reid'],NA,week_2,San Francisco 49ers,2017
['Malcolm Smith'],Injured Reserve: Pectoral,week_2,San Francisco 49ers,2017
['Joe Staley'],NA,week_2,San Francisco 49ers,2017
['Jaquiski Tartt'],NA,week_2,San Francisco 49ers,2017
['Pita Taumoepenu'],NA,week_2,San Francisco 49ers,2017
['Trent Taylor'],NA,week_2,San Francisco 49ers,2017
['Solomon Thomas'],NA,week_2,San Francisco 49ers,2017
['Jimmie Ward'],Questionable: Hamstring,week_2,San Francisco 49ers,2017
['Dekoda Watson'],NA,week_2,San Francisco 49ers,2017
['Joe Williams'],Injured Reserve: Ankle,week_2,San Francisco 49ers,2017
"[""K'Waun Williams""]",NA,week_2,San Francisco 49ers,2017
['Arik Armstead'],NA,week_3,San Francisco 49ers,2017
['Ray-Ray Armstrong'],NA,week_3,San Francisco 49ers,2017
['Ronald Blair'],Injured Reserve: Thumb,week_3,San Francisco 49ers,2017
['Victor Bolden'],NA,week_3,San Francisco 49ers,2017
['Trent Brown'],NA,week_3,San Francisco 49ers,2017
['Aaron Burbridge'],Injured Reserve: Hamstring,week_3,San Francisco 49ers,2017
['Tank Carradine'],NA,week_3,San Francisco 49ers,2017
['Garrett Celek'],NA,week_3,San Francisco 49ers,2017
['Adrian Colbert'],NA,week_3,San Francisco 49ers,2017
['Brock Coyle'],NA,week_3,San Francisco 49ers,2017
['Jayson DiManche'],Injured Reserve: Hamstring,week_3,San Francisco 49ers,2017
['Reuben Foster'],Out: Ankle,week_3,San Francisco 49ers,2017
['Brandon Fusco'],NA,week_3,San Francisco 49ers,2017
['Pierre Garcon'],NA,week_3,San Francisco 49ers,2017
['Joshua Garnett'],Injured Reserve: Knee,week_3,San Francisco 49ers,2017
['Jimmie Gilbert'],Injured Reserve: Knee,week_3,San Francisco 49ers,2017
['Garry Gilliam'],NA,week_3,San Francisco 49ers,2017
['Marquise Goodwin'],NA,week_3,San Francisco 49ers,2017
['Eli Harold'],Questionable: Foot,week_3,San Francisco 49ers,2017
['Cole Hikutini'],NA,week_3,San Francisco 49ers,2017
['Carlos Hyde'],NA,week_3,San Francisco 49ers,2017
['Asa Jackson'],NA,week_3,San Francisco 49ers,2017
['Chanceller James'],Injured Reserve: Knee,week_3,San Francisco 49ers,2017
['BJ Johnson'],Injured Reserve: Hamstring,week_3,San Francisco 49ers,2017
['Chris Jones'],Injured Reserve: Undisclosed,week_3,San Francisco 49ers,2017
['D.J. Jones'],NA,week_3,San Francisco 49ers,2017
['Don Jones'],Injured Reserve: Knee,week_3,San Francisco 49ers,2017
['Kyle Juszczyk'],NA,week_3,San Francisco 49ers,2017
['George Kittle'],Questionable: Hip,week_3,San Francisco 49ers,2017
['Elijah Lee'],NA,week_3,San Francisco 49ers,2017
['Aaron Lynch'],NA,week_3,San Francisco 49ers,2017
['Greg Mabin'],NA,week_3,San Francisco 49ers,2017
['Erik Magnuson'],NA,week_3,San Francisco 49ers,2017
['Raheem Mostert'],NA,week_3,San Francisco 49ers,2017
['Donavin Newsom'],Injured Reserve: Concussion,week_3,San Francisco 49ers,2017
['Eric Reid'],Out: Knee,week_3,San Francisco 49ers,2017
['Malcolm Smith'],Injured Reserve: Pectoral,week_3,San Francisco 49ers,2017
['Joe Staley'],NA,week_3,San Francisco 49ers,2017
['Jaquiski Tartt'],Questionable: Neck,week_3,San Francisco 49ers,2017
['Pita Taumoepenu'],NA,week_3,San Francisco 49ers,2017
['Trent Taylor'],NA,week_3,San Francisco 49ers,2017
['Solomon Thomas'],NA,week_3,San Francisco 49ers,2017
['Jimmie Ward'],Questionable: Hamstring,week_3,San Francisco 49ers,2017
['Dekoda Watson'],NA,week_3,San Francisco 49ers,2017
['Joe Williams'],Injured Reserve: Ankle,week_3,San Francisco 49ers,2017
"[""K'Waun Williams""]",NA,week_3,San Francisco 49ers,2017
['Arik Armstead'],NA,week_4,San Francisco 49ers,2017
['Ray-Ray Armstrong'],NA,week_4,San Francisco 49ers,2017
['Ronald Blair'],Injured Reserve: Thumb,week_4,San Francisco 49ers,2017
['Victor Bolden'],NA,week_4,San Francisco 49ers,2017
['Trent Brown'],NA,week_4,San Francisco 49ers,2017
['Aaron Burbridge'],Injured Reserve: Hamstring,week_4,San Francisco 49ers,2017
['Tank Carradine'],Injured Reserve: Ankle,week_4,San Francisco 49ers,2017
['Garrett Celek'],NA,week_4,San Francisco 49ers,2017
['Adrian Colbert'],NA,week_4,San Francisco 49ers,2017
['Brock Coyle'],Questionable: Concussion,week_4,San Francisco 49ers,2017
['Jayson DiManche'],Injured Reserve: Hamstring,week_4,San Francisco 49ers,2017
['Reuben Foster'],Out: Ankle,week_4,San Francisco 49ers,2017
['Brandon Fusco'],NA,week_4,San Francisco 49ers,2017
['Pierre Garcon'],NA,week_4,San Francisco 49ers,2017
['Joshua Garnett'],Injured Reserve: Knee,week_4,San Francisco 49ers,2017
['Jimmie Gilbert'],Injured Reserve: Knee,week_4,San Francisco 49ers,2017
['Garry Gilliam'],NA,week_4,San Francisco 49ers,2017
['Marquise Goodwin'],NA,week_4,San Francisco 49ers,2017
['Eli Harold'],NA,week_4,San Francisco 49ers,2017
['Cole Hikutini'],NA,week_4,San Francisco 49ers,2017
['Carlos Hyde'],Questionable: Hip,week_4,San Francisco 49ers,2017
