"","name","injury","week","team","year"
"1","['Mitch Unrein']","Injured Reserve: Concussion","week_1","Tampa Bay Buccaneers",2018
"2","['Mitch Unrein']","Injured Reserve: Concussion","week_2","Tampa Bay Buccaneers",2018
"3","['Mitch Unrein']","Injured Reserve: Concussion","week_3","Tampa Bay Buccaneers",2018
"4","['Mitch Unrein']","Injured Reserve: Concussion","week_4","Tampa Bay Buccaneers",2018
"5","['Mitch Unrein']","Injured Reserve: Concussion","week_6","Tampa Bay Buccaneers",2018
"6","['Mitch Unrein']","Injured Reserve: Concussion","week_7","Tampa Bay Buccaneers",2018
"7","['Mitch Unrein']","Injured Reserve: Concussion","week_8","Tampa Bay Buccaneers",2018
"8","['Mitch Unrein']","Injured Reserve: Concussion","week_9","Tampa Bay Buccaneers",2018
"9","['Mitch Unrein']","Injured Reserve: Concussion","week_10","Tampa Bay Buccaneers",2018
"10","['Mitch Unrein']","Injured Reserve: Concussion","week_11","Tampa Bay Buccaneers",2018
"11","['Mitch Unrein']","Injured Reserve: Concussion","week_12","Tampa Bay Buccaneers",2018
"12","['Jordan Whitehead']","Questionable: Concussion","week_12","Tampa Bay Buccaneers",2018
"13","['Mitch Unrein']","Injured Reserve: Concussion","week_13","Tampa Bay Buccaneers",2018
"14","['Isaiah Johnson']","Out: Concussion","week_14","Tampa Bay Buccaneers",2018
"15","['Mitch Unrein']","Injured Reserve: Concussion","week_14","Tampa Bay Buccaneers",2018
"16","['Isaiah Johnson']","Questionable: Concussion","week_15","Tampa Bay Buccaneers",2018
"17","['Mitch Unrein']","Injured Reserve: Concussion","week_15","Tampa Bay Buccaneers",2018
"18","['Mitch Unrein']","Injured Reserve: Concussion","week_16","Tampa Bay Buccaneers",2018
"19","['Mitch Unrein']","Injured Reserve: Concussion","week_17","Tampa Bay Buccaneers",2018
