name,injury,week,team,year
['Keenan Allen'],NA,week_1,Los Angeles Chargers,2018
['Joe Barksdale'],NA,week_1,Los Angeles Chargers,2018
['Travis Benjamin'],NA,week_1,Los Angeles Chargers,2018
['Joey Bosa'],Out: Foot,week_1,Los Angeles Chargers,2018
['Brett Boyko'],Injured Reserve: Hamstring,week_1,Los Angeles Chargers,2018
['Jatavis Brown'],NA,week_1,Los Angeles Chargers,2018
['Sean Culkin'],NA,week_1,Los Angeles Chargers,2018
['Austin Ekeler'],NA,week_1,Los Angeles Chargers,2018
['Kyle Emanuel'],NA,week_1,Los Angeles Chargers,2018
['Brandon Facyson'],NA,week_1,Los Angeles Chargers,2018
['Antonio Gates'],NA,week_1,Los Angeles Chargers,2018
['Melvin Gordon'],NA,week_1,Los Angeles Chargers,2018
['Hunter Henry'],Injured Reserve: Knee,week_1,Los Angeles Chargers,2018
['Forrest Lamp'],Injured Reserve: Knee,week_1,Los Angeles Chargers,2018
['Chris Landrum'],NA,week_1,Los Angeles Chargers,2018
['Corey Liuget'],NA,week_1,Los Angeles Chargers,2018
['Craig Mager'],NA,week_1,Los Angeles Chargers,2018
['Brandon Mebane'],NA,week_1,Los Angeles Chargers,2018
['Russell Okung'],NA,week_1,Los Angeles Chargers,2018
['Denzel Perryman'],NA,week_1,Los Angeles Chargers,2018
['Darius Philon'],NA,week_1,Los Angeles Chargers,2018
['Austin Roberts'],Injured Reserve: Knee,week_1,Los Angeles Chargers,2018
['Artavis Scott'],Injured Reserve: Ankle,week_1,Los Angeles Chargers,2018
['Caleb Sturgis'],NA,week_1,Los Angeles Chargers,2018
['Jason Verrett'],Injured Reserve: Achilles,week_1,Los Angeles Chargers,2018
['Jaylen Watkins'],Injured Reserve: Knee,week_1,Los Angeles Chargers,2018
['Derek Watt'],NA,week_1,Los Angeles Chargers,2018
['Kyzir White'],NA,week_1,Los Angeles Chargers,2018
['Trevor Williams'],NA,week_1,Los Angeles Chargers,2018
['Tyrell Williams'],NA,week_1,Los Angeles Chargers,2018
['Kyle Wilson'],NA,week_1,Los Angeles Chargers,2018
['Keenan Allen'],NA,week_2,Los Angeles Chargers,2018
['Joe Barksdale'],Out: Knee,week_2,Los Angeles Chargers,2018
['Travis Benjamin'],Questionable: Foot,week_2,Los Angeles Chargers,2018
['Joey Bosa'],Out: Foot,week_2,Los Angeles Chargers,2018
['Brett Boyko'],Injured Reserve: Hamstring,week_2,Los Angeles Chargers,2018
['Jatavis Brown'],NA,week_2,Los Angeles Chargers,2018
['Sean Culkin'],NA,week_2,Los Angeles Chargers,2018
['Austin Ekeler'],NA,week_2,Los Angeles Chargers,2018
['Kyle Emanuel'],NA,week_2,Los Angeles Chargers,2018
['Brandon Facyson'],NA,week_2,Los Angeles Chargers,2018
['Antonio Gates'],NA,week_2,Los Angeles Chargers,2018
['Melvin Gordon'],NA,week_2,Los Angeles Chargers,2018
['Hunter Henry'],Injured Reserve: Knee,week_2,Los Angeles Chargers,2018
['Forrest Lamp'],Injured Reserve: Knee,week_2,Los Angeles Chargers,2018
['Chris Landrum'],NA,week_2,Los Angeles Chargers,2018
['Corey Liuget'],NA,week_2,Los Angeles Chargers,2018
['Craig Mager'],Out: Hamstring,week_2,Los Angeles Chargers,2018
['Brandon Mebane'],NA,week_2,Los Angeles Chargers,2018
['Russell Okung'],NA,week_2,Los Angeles Chargers,2018
['Denzel Perryman'],NA,week_2,Los Angeles Chargers,2018
['Darius Philon'],NA,week_2,Los Angeles Chargers,2018
['Austin Roberts'],Injured Reserve: Knee,week_2,Los Angeles Chargers,2018
['Artavis Scott'],Injured Reserve: Ankle,week_2,Los Angeles Chargers,2018
['Caleb Sturgis'],NA,week_2,Los Angeles Chargers,2018
['Jason Verrett'],Injured Reserve: Achilles,week_2,Los Angeles Chargers,2018
['Jaylen Watkins'],Injured Reserve: Knee,week_2,Los Angeles Chargers,2018
['Derek Watt'],NA,week_2,Los Angeles Chargers,2018
['Kyzir White'],NA,week_2,Los Angeles Chargers,2018
['Trevor Williams'],NA,week_2,Los Angeles Chargers,2018
['Tyrell Williams'],NA,week_2,Los Angeles Chargers,2018
['Kyle Wilson'],NA,week_2,Los Angeles Chargers,2018
['Keenan Allen'],NA,week_3,Los Angeles Chargers,2018
['Joe Barksdale'],Out: Knee,week_3,Los Angeles Chargers,2018
['Travis Benjamin'],Questionable: Foot,week_3,Los Angeles Chargers,2018
['Joey Bosa'],Out: Foot,week_3,Los Angeles Chargers,2018
['Brett Boyko'],Injured Reserve: Hamstring,week_3,Los Angeles Chargers,2018
['Jatavis Brown'],NA,week_3,Los Angeles Chargers,2018
['Sean Culkin'],NA,week_3,Los Angeles Chargers,2018
['Austin Ekeler'],NA,week_3,Los Angeles Chargers,2018
['Kyle Emanuel'],NA,week_3,Los Angeles Chargers,2018
['Brandon Facyson'],NA,week_3,Los Angeles Chargers,2018
['Antonio Gates'],Questionable: Illness,week_3,Los Angeles Chargers,2018
['Melvin Gordon'],NA,week_3,Los Angeles Chargers,2018
['Hunter Henry'],Injured Reserve: Knee,week_3,Los Angeles Chargers,2018
['Forrest Lamp'],Injured Reserve: Knee,week_3,Los Angeles Chargers,2018
['Chris Landrum'],NA,week_3,Los Angeles Chargers,2018
