name,injury,week,team,year
['Eric Berry'],Doubtful: Heel,week_1,Kansas City Chiefs,2018
['Jordan Devey'],NA,week_1,Kansas City Chiefs,2018
['Step Durham'],NA,week_1,Kansas City Chiefs,2018
['Laurent Duvernay-Tardif'],NA,week_1,Kansas City Chiefs,2018
['Alex Ellis'],NA,week_1,Kansas City Chiefs,2018
['Cameron Erving'],NA,week_1,Kansas City Chiefs,2018
['Dee Ford'],NA,week_1,Kansas City Chiefs,2018
['Kendall Fuller'],NA,week_1,Kansas City Chiefs,2018
['Dillon Gordon'],Injured Reserve: Shoulder,week_1,Kansas City Chiefs,2018
['Demetrius Harris'],NA,week_1,Kansas City Chiefs,2018
['Tyreek Hill'],NA,week_1,Kansas City Chiefs,2018
['Anthony Hitchens'],NA,week_1,Kansas City Chiefs,2018
['Justin Houston'],NA,week_1,Kansas City Chiefs,2018
['Akeem Hunt'],Injured Reserve: Ankle,week_1,Kansas City Chiefs,2018
['Tejan Koroma'],Injured Reserve: Knee,week_1,Kansas City Chiefs,2018
['Tanoh Kpassagnon'],NA,week_1,Kansas City Chiefs,2018
['J.D. Moore'],Injured Reserve: Undisclosed,week_1,Kansas City Chiefs,2018
['Mitch Morse'],NA,week_1,Kansas City Chiefs,2018
['Eric Murray'],NA,week_1,Kansas City Chiefs,2018
['Ben Niemann'],NA,week_1,Kansas City Chiefs,2018
"[""Dorian O'Daniel""]",NA,week_1,Kansas City Chiefs,2018
['Byron Pringle'],Injured Reserve: Hamstring,week_1,Kansas City Chiefs,2018
['Keith Reaser'],NA,week_1,Kansas City Chiefs,2018
['Terrance Smith'],NA,week_1,Kansas City Chiefs,2018
['Daniel Sorensen'],Injured Reserve: Knee,week_1,Kansas City Chiefs,2018
"[""De'Anthony Thomas""]",NA,week_1,Kansas City Chiefs,2018
['Spencer Ware'],NA,week_1,Kansas City Chiefs,2018
['Sammy Watkins'],NA,week_1,Kansas City Chiefs,2018
['Armani Watts'],NA,week_1,Kansas City Chiefs,2018
['Darrel Williams'],NA,week_1,Kansas City Chiefs,2018
['Frank Zombo'],NA,week_1,Kansas City Chiefs,2018
['Eric Berry'],Doubtful: Heel,week_2,Kansas City Chiefs,2018
['Jordan Devey'],NA,week_2,Kansas City Chiefs,2018
['Step Durham'],Injured Reserve: Undisclosed,week_2,Kansas City Chiefs,2018
['Laurent Duvernay-Tardif'],NA,week_2,Kansas City Chiefs,2018
['Alex Ellis'],NA,week_2,Kansas City Chiefs,2018
['Cameron Erving'],NA,week_2,Kansas City Chiefs,2018
['Dee Ford'],NA,week_2,Kansas City Chiefs,2018
['Kendall Fuller'],NA,week_2,Kansas City Chiefs,2018
['Dillon Gordon'],Injured Reserve: Shoulder,week_2,Kansas City Chiefs,2018
['Demetrius Harris'],NA,week_2,Kansas City Chiefs,2018
['Tyreek Hill'],NA,week_2,Kansas City Chiefs,2018
['Anthony Hitchens'],NA,week_2,Kansas City Chiefs,2018
['Justin Houston'],NA,week_2,Kansas City Chiefs,2018
['Akeem Hunt'],Injured Reserve: Ankle,week_2,Kansas City Chiefs,2018
['Tejan Koroma'],Injured Reserve: Knee,week_2,Kansas City Chiefs,2018
['Tanoh Kpassagnon'],NA,week_2,Kansas City Chiefs,2018
['J.D. Moore'],Injured Reserve: Undisclosed,week_2,Kansas City Chiefs,2018
